time;WS_1;WS_50;WS_100;WS_150;WS_200;temp_air_1;GHI;DNI;DHI;WP_150;WP_200;SP;Price
1982-01-01 00:00:00;3.1861;5.4341;5.9636;6.2359;6.5314;6.07;0.0;0.0;0.0;0.1634;0.1883;0.0;24.037
1982-01-01 01:00:00;3.4065;5.7687;6.3228;6.6066;6.9161;5.9;0.0;0.0;0.0;0.1955;0.2252;0.0;24.037
1982-01-01 02:00:00;3.1879;5.3829;5.8969;6.1597;6.4469;5.74;0.0;0.0;0.0;0.1572;0.1809;0.0;24.037
1982-01-01 03:00:00;3.0003;4.7518;5.1469;5.3407;5.5634;5.65;0.0;0.0;0.0;0.0998;0.1135;0.0;24.037
1982-01-01 04:00:00;3.1005;4.7598;5.1272;5.3031;5.5116;5.55;0.0;0.0;0.0;0.0976;0.1099;0.0;24.037
1982-01-01 05:00:00;3.005;4.2501;4.512;4.6273;4.7804;5.43;0.0;0.0;0.0;0.0621;0.0694;0.0;24.037
1982-01-01 06:00:00;3.1502;4.4416;4.7128;4.8317;4.9903;5.32;0.0;0.0;0.0;0.0719;0.0794;0.0;23.57
1982-01-01 07:00:00;3.1479;4.7566;5.1093;5.2759;5.477;5.27;0.0;0.0;0.0;0.096;0.1077;0.0;22.983
1982-01-01 08:00:00;3.0342;4.7298;5.1086;5.2922;5.5065;5.23;5.3914;0.0;5.3914;0.0969;0.1095;0.0;23.317
1982-01-01 09:00:00;2.8613;4.6603;5.0728;5.2792;5.5106;5.24;20.5261;0.0;20.5261;0.0962;0.1098;0.0048;22.343
1982-01-01 10:00:00;2.6752;4.6434;5.1117;5.3548;5.6159;5.28;38.2705;0.0;38.2705;0.1006;0.1171;0.0189;22.099
1982-01-01 11:00:00;2.4571;4.028;4.3896;4.5712;4.7739;5.45;52.9603;0.102;52.9356;0.0594;0.0691;0.0308;22.099
1982-01-01 12:00:00;2.238;3.7004;4.0387;4.2095;4.399;5.58;57.1225;0.102;57.0979;0.045;0.0522;0.0342;22.141
