time;WS_1;WS_50;WS_100;WS_150;WS_200;temp_air_1;ghi;dni;dhi;WP_150;WP_200;SP;Price
1982-01-01 00:00:00;2.4905;2.9446;3.029;3.064;3.1007;3.0183;0.0;0.0;0.0;0.0125;0.0133;0.0;23.351
1982-01-01 01:00:00;2.2645;2.7193;2.805;2.8419;2.8793;2.9908;0.0;0.0;0.0;0.0089;0.0094;0.0;23.351
1982-01-01 02:00:00;1.7058;2.0366;2.0987;2.125;2.1521;2.7994;0.0;0.0;0.0;0.0014;0.0016;0.0;23.351
1982-01-01 03:00:00;1.2434;1.3062;1.3158;1.3148;1.3191;2.6216;0.0;0.0;0.0;0.0001;0.0001;0.0;23.351
1982-01-01 04:00:00;0.8925;0.8632;0.8569;0.8489;0.8465;2.4482;0.0;0.0;0.0;0.0;0.0;0.0;23.351
1982-01-01 05:00:00;0.9315;0.8497;0.8348;0.822;0.8162;2.25;0.0;0.0;0.0;0.0;0.0;0.0;23.351
1982-01-01 06:00:00;1.2884;1.2722;1.2676;1.2585;1.2568;2.1442;0.0;0.0;0.0;0.0001;0.0001;0.0;23.029
1982-01-01 07:00:00;1.6609;1.7619;1.7779;1.7783;1.7854;2.0107;0.0;0.0;0.0;0.0004;0.0004;0.0;21.561
1982-01-01 08:00:00;2.3019;2.5927;2.6443;2.6614;2.6838;1.9581;0.005;0.0;0.005;0.0063;0.0067;0.0;21.903
1982-01-01 09:00:00;2.938;3.3698;3.4478;3.4766;3.5105;1.8982;4.0109;0.0;4.0109;0.0214;0.0222;0.0;21.756
1982-01-01 10:00:00;3.5007;4.0366;4.134;4.1708;4.2131;1.9683;14.7975;0.0546;14.7925;0.0435;0.0451;0.0;20.771
1982-01-01 11:00:00;4.0801;4.7617;4.887;4.9368;4.9913;1.9748;25.0859;0.2213;25.0617;0.0769;0.0795;0.0087;20.771
1982-01-01 12:00:00;4.633;5.4351;5.5832;5.6431;5.7076;1.9992;26.0092;0.1667;25.9901;0.119;0.1235;0.0094;20.771
1982-01-01 13:00:00;4.8823;5.7723;5.9379;6.0064;6.0785;2.1055;18.6575;0.0;18.6575;0.1445;0.1504;0.0034;21.285
1982-01-01 14:00:00;4.9234;5.855;6.0291;6.1023;6.1783;2.1761;7.8928;0.0;7.8928;0.1524;0.1587;0.0;22.108
1982-01-01 15:00:00;5.0692;6.0436;6.2261;6.3033;6.3829;2.28;0.9503;0.0;0.9503;0.169;0.1756;0.0;23.351
1982-01-01 16:00:00;5.3051;6.4164;6.6271;6.7193;6.8114;2.4334;0.0;0.0;0.0;0.2063;0.2151;0.0;23.351
1982-01-01 17:00:00;5.6529;6.9097;7.1499;7.2573;7.3625;2.5464;0.0;0.0;0.0;0.2617;0.2733;0.0;23.351
1982-01-01 18:00:00;6.0762;7.526;7.8059;7.9341;8.0569;2.6729;0.0;0.0;0.0;0.3423;0.3582;0.0;23.351
1982-01-01 19:00:00;6.5402;8.1867;8.5071;8.6563;8.7971;2.7711;0.0;0.0;0.0;0.4418;0.4623;0.0;23.351
1982-01-01 20:00:00;6.7974;8.6215;8.9798;9.1498;9.3076;2.9129;0.0;0.0;0.0;0.5143;0.538;0.0;23.351
