,Nordsøen Midt (DK),Thetys HPP (NL),Sud Atlantique HPP (FRw)
DSCR [-] (Mean),0.6,0.5,0.4
DSCR [-] (Min),0.4,0.3,0.2
DSCR [-] (Max),1.1,0.8,0.8
DSCR Breach Years (Mean),25.0,25.0,25.0
DSCR Breach Years (Min),25.0,25.0,25.0
DSCR Breach Years (Max),25.0,25.0,25.0
Debt Headroom [MEuro] (Mean),-383.4,-541.7,-643.5
Debt Headroom [MEuro] (Min),-520.0,-646.1,-781.7
Debt Headroom [MEuro] (Max),-79.4,-309.3,-348.3
Debt Headroom [% of CAPEX] (Mean),-32.3,-41.7,-46.0
Debt Headroom [% of CAPEX] (Min),-43.9,-49.8,-55.8
Debt Headroom [% of CAPEX] (Max),-6.7,-23.8,-24.9
