Site,Metric,Q1,Median,Q3,IQR
Sicily South (IT),NPV,-507.6181997093944,-444.6316943618775,-383.0011255070366,124.6170742023578
Golfe du Lion (FRs),NPV,-237.27632758457275,-132.75720361251535,-30.337904707104734,206.938422877468
Sud Atlantique (FRw),NPV,-435.9556536209292,-340.2789463711663,-264.89864857269106,171.05700504823812
Thetys PV (NL),NPV,-246.59770873237488,-207.78434868637657,-111.21643322174366,135.3812755106312
Nordsøen Midt (DK),NPV,-6.3312703752933865,63.39585315252736,111.36659510047913,117.69786547577252
Vestavind (NO),NPV,-290.008884195232,-212.81623632227215,-172.04434869649072,117.96453549874127
Sicily South (IT),NPV/CAPEX,-41.40847456448341,-36.27040995986225,-31.242954592262496,10.165519972220917
Golfe du Lion (FRs),NPV/CAPEX,-19.927793517902156,-11.14969271707621,-2.5479469735702427,17.37984654433191
Sud Atlantique (FRw),NPV/CAPEX,-31.14196691190383,-24.30741659316245,-18.922715832082847,12.219251079820982
Thetys PV (NL),NPV/CAPEX,-18.997055300600906,-16.007005024034157,-8.56773869923501,10.429316601365896
Nordsøen Midt (DK),NPV/CAPEX,-0.5340876862905249,5.34789110614759,9.394564373585517,9.928652059876041
Vestavind (NO),NPV/CAPEX,-24.478506393905,-17.96297936181358,-14.521585093121464,9.956921300783536
Sicily South (IT),IRR,1.1862269257559577,1.832104282897105,2.429416005034505,1.2431890792785474
Golfe du Lion (FRs),IRR,3.8898350264177477,4.8091550230233455,5.661889992309868,1.7720549658921199
Sud Atlantique (FRw),IRR,2.484010264951905,3.2584845490798346,3.8416300190833326,1.3576197541314277
Thetys PV (NL),IRR,3.884816126050635,4.19989937340771,4.958115083322053,1.0732989572714176
Nordsøen Midt (DK),IRR,5.86005306509476,6.41612423931448,6.790079412704582,0.9300263476098216
Vestavind (NO),IRR,3.396608886448135,4.105188529066435,4.4661568671301195,1.0695479806819845
