weather_year,portfolio_NPV_over_CAPEX,portfolio_NPV [MEuro],portfolio_IRR,portfolio_LCOE [Euro/MWh],portfolio_Revenues [MEuro],portfolio_CAPEX [MEuro],portfolio_OPEX [MEuro],portfolio_Wind CAPEX [MEuro],portfolio_Wind OPEX [MEuro],portfolio_PV CAPEX [MEuro],portfolio_PV OPEX [MEuro],portfolio_Batt CAPEX [MEuro],portfolio_Batt OPEX [MEuro],portfolio_Shared CAPEX [MEuro],portfolio_Shared OPEX [MEuro],portfolio_Mean Annual Electricity Sold [GWh],portfolio_GUF,portfolio_grid [MW],portfolio_wind [MW],portfolio_solar [MW],portfolio_Battery Energy [MWh],portfolio_Battery Power [MW],portfolio_Total curtailment [GWh],portfolio_Total curtailment with deg [GWh],portfolio_Awpp [km2],portfolio_Apvp [km2],portfolio_Plant area [km2],portfolio_Number of batteries used in lifetime,portfolio_Break-even PPA price [Euro/MWh],portfolio_Capacity factor wind [-],portfolio_AEP [GWh],portfolio_AEP with degradation [GWh],portfolio_lifetime_years,portfolio_input_rows_per_year,portfolio_input_rows_lifetime,portfolio_Mean Annual Wind Electricity [GWh],portfolio_Mean Annual Solar Electricity [GWh],portfolio_Mean Annual Battery Discharge [GWh],portfolio_Capacity factor solar [-],portfolio_CFADS [MEuro/yr],portfolio_CFADS degradation rate [-/yr],portfolio_Debt Amount [MEuro],portfolio_Annual Debt Service [MEuro/yr],portfolio_DSCR [-],portfolio_DSCR Avg [-],portfolio_LLCR [-],portfolio_DSCR Breach Years,portfolio_Debt Headroom [MEuro],portfolio_Debt Headroom [% of CAPEX]
1982,-0.9752447686446519,-6735.841988915314,0.0,545.4665895562771,390.21357141482656,6902.585891592525,168.50916546878452,4249.39354194201,153.5809506187845,771.1861250000001,14.928181250000002,1.006224650515246,3.3600000000000004e-05,1881.0,0.0,13593.097064690355,0.5172411364037425,3000.0,2415.0,1554.0,4.0,2.0,16526.582589935748,13262.443917722298,468.5464449291421,24.863999999999997,478.1464449291421,2.0,682.5506709791794,,14123.594740180975,14123.594740180975,150.0,52560.0,1314000.0,10730.374289973812,1916.4033209,0.717661542612299,0.1346795224505327,221.70440594604207,0.004540548604981642,4831.810124114767,421.2592250672114,3.1833858610495325,3.208873401914928,3.213992730131845,20.0,-2712.700065773172,-2.3131038455952293
1983,-0.9845566314203027,-6799.986664283465,0.0,528.0378019949521,307.0017132630668,6902.593061310973,170.59701707369913,4249.39354194201,155.66880222369912,771.1861250000001,14.928181250000002,1.0133943689634168,3.3600000000000004e-05,1881.0,0.0,14084.332178793464,0.5359334923437391,3000.0,2415.0,1554.0,4.0,2.0,16556.421685030433,13251.230626191618,468.5464449291421,24.863999999999997,478.1464449291421,2.0,660.7097977202667,,14614.381322622858,14614.381322622858,150.0,52560.0,1314000.0,11203.81002804969,1930.8072190999999,0.7638168882321236,0.13239254185692537,136.4046961893676,0.004448518476525551,4831.815142917681,421.25966262931996,1.982206225506841,1.9997404760720345,2.003262901765843,20.0,-3528.0225436390347,-3.0231257752849765
1984,-0.9780784325618503,-6755.181845664312,0.0,532.0123824745898,365.7017656617981,6902.585891592525,169.70213324100126,4249.39354194201,154.77391839100127,771.1861250000001,14.928181250000002,1.006224650515246,3.3600000000000004e-05,1881.0,0.0,13902.695924722913,0.5290219149437942,3000.0,2415.0,1554.0,4.0,2.0,14801.846213386447,11610.15597139759,468.5464449291421,24.863999999999997,478.1464449291421,2.0,665.6909508805041,,14367.102084778817,14367.102084778817,150.0,52560.0,1314000.0,11000.88852403657,1910.0269816000002,0.7166860000000002,0.13459335235920852,195.99963242079681,0.004463560759447625,4831.810124114767,421.2592250672114,2.821224510997448,2.8427629603934506,2.8470892849324354,20.0,-2958.3931718361932,-2.5289996417892984
1985,-0.9651017029702866,-6664.7809722298,0.0,563.6635299446599,482.62249266651935,6902.585891592525,166.396350742549,4249.39354194201,151.468135892549,771.1861250000001,14.928181250000002,1.006224650515246,3.3600000000000004e-05,1881.0,0.0,13132.237556733544,0.49970462544648203,3000.0,2415.0,1554.0,4.0,2.0,16706.383640969805,13479.783169398748,468.5464449291421,24.863999999999997,478.1464449291421,2.0,705.3379315345784,,13671.428802291222,13671.428802291222,150.0,52560.0,1314000.0,10251.27798016984,1943.5006092,0.7204211199999999,0.13628912671232873,316.22614192397043,0.004554066009512849,4831.810124114767,421.2592250672114,4.495282027547498,4.527851160760585,4.534391425359586,20.0,-1809.2360115157853,-1.539525188436068
1986,-0.9811475957854633,-6775.5165090733135,0.0,529.7185949140882,339.5524433799273,6902.585891592525,170.60711346180582,4249.39354194201,155.67889861180583,771.1861250000001,14.928181250000002,1.006224650515246,3.3600000000000004e-05,1881.0,0.0,14053.256783807507,0.5347510191707575,3000.0,2415.0,1554.0,4.0,2.0,16670.068467411023,13455.97073758662,468.5464449291421,24.863999999999997,478.1464449291421,2.0,662.8194676316724,,14591.495534510974,14591.495534510974,150.0,52560.0,1314000.0,11206.099458459372,1924.0128076999997,0.7168787987026704,0.13468476978691013,168.94532991812147,0.0044764530358966425,4831.810124114767,421.2592250672114,2.4237523783830497,2.4433830288226344,2.4473259187813303,20.0,-3216.9854371102924,-2.7630993044745003
1987,-0.967637880467901,-6683.560861328699,0.0,569.5796332261901,456.9859047813113,6902.585891592525,165.7502951621499,4249.39354194201,150.82208031214992,771.1861250000001,14.928181250000002,1.006224650515246,3.3600000000000004e-05,1881.0,0.0,12967.749669306479,0.49344557341348866,3000.0,2415.0,1554.0,4.0,2.0,15817.96744735462,12623.474417270074,468.5464449291421,24.863999999999997,478.1464449291421,2.0,712.75030353987,,13472.688564779008,13472.688564779008,150.0,52560.0,1314000.0,10104.780116133767,1901.7594024,0.6738545169994515,0.13288488203957374,291.23560961916144,0.004562929436869404,4831.810124114767,421.2592250672114,4.16457766833649,4.196584365488935,4.2030124636667905,20.0,-2048.102208804259,-1.7330921516873186
1988,-0.9861529312340664,-6811.3516512305705,0.0,535.8719181258458,291.2421559746455,6902.585891592525,169.95588317247083,4249.39354194201,155.0276683224708,771.1861250000001,14.928181250000002,1.006224650515246,3.3600000000000004e-05,1881.0,0.0,13864.174091771027,0.527556091772109,3000.0,2415.0,1554.0,4.0,2.0,17411.480677045613,14120.020088488638,468.5464449291421,24.863999999999997,478.1464449291421,2.0,670.5185527676273,,14428.9748140923,14428.9748140923,150.0,52560.0,1314000.0,11058.428191036464,1902.3481488999998,0.7150942400000001,0.13299025875190254,121.28627280217474,0.004413625536117158,4831.810124114767,421.2592250672114,1.7771231927361004,1.7929197198064852,1.7960934485333377,20.0,-3672.5234625028015,-3.1447957921206893
1989,-0.9811846674647732,-6776.867728668677,0.0,540.0016817329704,335.716907243863,6902.593061310973,168.55354496508622,4249.39354194201,153.6253301150862,771.1861250000001,14.928181250000002,1.0133943689634168,3.3600000000000004e-05,1881.0,0.0,13733.836926779859,0.5225965345045608,3000.0,2415.0,1554.0,4.0,2.0,16189.99008383293,12819.50544769819,468.5464449291421,24.863999999999997,478.1464449291421,2.0,675.7040645808013,,14246.617063469508,14246.617063469508,150.0,52560.0,1314000.0,10740.437667820002,2026.5870398000002,0.7435352842951011,0.14124363394216133,167.1633622787768,0.004598466758361412,4831.815142917681,421.25966262931996,2.418055204640653,2.4381244822803514,2.442155641030693,20.0,-3234.0229796109697,-2.765906856898887
1990,-0.9853294022756591,-6805.404803752822,0.0,537.0291278037646,298.7177391988263,6902.585891592525,169.5211135066945,4249.39354194201,154.5928986566945,771.1861250000001,14.928181250000002,1.006224650515246,3.3600000000000004e-05,1881.0,0.0,13876.046676675105,0.5280078644092505,3000.0,2415.0,1554.0,4.0,2.0,17328.007807868627,13920.286737531009,468.5464449291421,24.863999999999997,478.1464449291421,2.0,671.976012976283,,14432.858067376343,14432.858067376343,150.0,52560.0,1314000.0,10959.840965236843,1988.7248198,0.7191920537359002,0.13779920281582947,129.19662569213176,0.004521897038204157,4831.810124114767,421.2592250672114,1.8831948597907564,1.899793230137516,1.9031277729584941,20.0,-3596.9141921204205,-3.081980589674883
1991,-0.9729917706036476,-6720.629517432614,0.0,541.2145443768493,410.6190612420116,6902.585891592525,168.66538148471318,4249.39354194201,153.7371666347132,771.1861250000001,14.928181250000002,1.006224650515246,3.3600000000000004e-05,1881.0,0.0,13679.476142396943,0.520528011506733,3000.0,2415.0,1554.0,4.0,2.0,16464.134937894243,13213.629964329542,468.5464449291421,24.863999999999997,478.1464449291421,2.0,677.2219687447331,,14208.021262170123,14208.021262170123,150.0,52560.0,1314000.0,10765.797422837459,1972.1175152000003,0.7046660250159029,0.13852525114155248,241.95367975729835,0.004569374110125981,4831.810124114767,421.2592250672114,3.476683193533956,3.502906624246051,3.5081736106029986,20.0,-2519.152086316283,-2.1411506181406335
