weather_year,wind_MW [MW],NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Awpp [km2],Apvp [km2],Plant area [km2],Break-even PPA price [Euro/MWh],lifetime_years,price_added,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR Min [-],DSCR Avg [-],DSCR P90 [-],LLCR [-],DSCR Breach Years,Debt Headroom [MEuro],Debt Headroom [% of CAPEX]
1982,2775.0,-0.08477918062706627,-634.5490595801193,0.049544156576628445,57.42093051711884,683.9332876528299,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12543.21257991659,0.4772911940607531,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,59.17306381902225,150.0,150.0,547.6760180528298,0.0,5239.309208000001,409.85396504118813,7.878784212670864,8.0438236932746,1.3131307021118106,8.045739233399177,4.166666666666667,594.9721237596376,0.49223048774351585
1983,2775.0,-0.1976498024165264,-1479.3548996575535,0.03768998645199915,55.95808665033196,616.4413845012417,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12916.694108544798,0.49150281995984774,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,57.64031628263462,150.0,150.0,480.1841149012416,0.0,5239.309208000001,409.85396504118813,6.938796665954078,7.048459932204309,1.1564661109923462,7.048420663293631,13.5,-124.00540606212053,-0.0883983728808197
1984,2775.0,-0.1380741747873118,-1033.4475647859488,0.04378442411251955,56.44962916931883,652.2067409204667,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12776.005313028385,0.48614936503152156,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.105133586345524,150.0,150.0,515.9494713204667,0.0,5239.309208000001,409.85396504118813,7.433925801816501,7.589218032943975,1.2389876336360834,7.590753490800642,10.333333333333334,256.9956682998502,0.22704385255065157
1985,2775.0,0.0784928995648298,587.4979592180456,0.06511358288740847,59.74894783727268,781.7292397332626,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12040.176612467718,0.4581497949949664,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,61.43311768391275,150.0,150.0,645.4719701332626,0.0,5239.309208000001,409.85396504118813,9.337430094974495,9.48756134480462,1.5562383491624159,9.485664560743437,0.0,1636.7725289939065,1.3344107844693618
1986,2775.0,-0.13005617163835975,-973.4349966029808,0.04489500159903159,55.57044070776981,656.9089172016368,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12966.453343135048,0.4933962459336016,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,57.27248577622772,150.0,150.0,520.6516476016368,0.0,5239.309208000001,409.85396504118813,7.546565012831292,7.650190308722593,1.2577608354718819,7.649898585305591,8.333333333333334,307.0869967341498,0.2626110134215122
1987,2775.0,0.02301094467765826,172.23064904919073,0.06000643025966365,59.49203198171703,748.3442080222417,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12037.392531067944,0.4580438558245032,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,61.309855541113045,150.0,150.0,612.0869384222417,0.0,5239.309208000001,409.85396504118813,8.84330662676108,8.98449000238398,1.4738844377935134,8.98390928928131,0.0,1281.1285700630187,1.0409525013906555
1988,2775.0,-0.22944196781998505,-1717.310592429839,0.034197024828410735,56.05719557857094,597.4071335072199,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12854.925588251708,0.4891524196442811,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,57.80125885067536,150.0,150.0,461.1498639072198,0.0,5239.309208000001,409.85396504118813,6.689806825581076,6.772086722897068,1.1149678042635127,6.772541680567251,12.5,-326.7734141141668,-0.2496160783100444
1989,2775.0,-0.18542348329271743,-1387.8442334213837,0.03897737969851663,57.85704652186963,623.8066835050929,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12517.730430381087,0.47632155366746903,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,59.67015413066891,150.0,150.0,487.5494139050929,0.0,5239.309208000001,409.85396504118813,7.044447632134093,7.157366899132845,1.1740746053556823,7.1568972693809245,16.666666666666668,-45.544372413478754,-0.02486930883917408
1990,2775.0,-0.21322297605866192,-1595.91585974473,0.0360563619937512,57.20090182321999,607.232285181682,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12665.263066017746,0.48193542869169503,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.88528564302559,150.0,150.0,470.975015581682,0.0,5239.309208000001,409.85396504118813,6.77162135673612,6.9273421940838755,1.12860355945602,6.925533843950149,15.5,-222.10806981111944,-0.15905038678440642
1991,2775.0,-0.03647132492590099,-272.9779264460471,0.05412152787274315,56.647872004177394,712.8370353192847,7484.72744,136.2572696,4884.0,122.33178960000001,719.7274400000001,13.92548,0.0,0.0,1881.0,0.0,12731.15919174363,0.4844428916188596,3000.0,2775.0,1465.8399999999997,0.0,0.0,553.4025974025974,6.0,553.4025974025974,58.500431133060886,150.0,150.0,576.5797657192848,0.0,5239.309208000001,409.85396504118813,8.345777683446645,8.466360455283457,1.3909629472411076,8.468226387072777,4.166666666666667,902.8778743671481,0.7387102655820168
