weather_year,wind_MW [MW],NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Awpp [km2],Apvp [km2],Plant area [km2],Break-even PPA price [Euro/MWh],lifetime_years,price_added,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR [-],DSCR Avg [-],LLCR [-],DSCR Breach Years,Debt Headroom [MEuro],Debt Headroom [% of CAPEX]
1982,990.0,-0.01008993033834149,-23.974853794957326,0.05803715666639998,54.36186277545418,233.39385739614676,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4208.680118584034,0.4804429359114194,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,56.12262577632276,50.0,50.0,189.62663419614677,0.0,1663.281816,130.11307792783128,1.4575922564379797,2.9151845128759595,2.9151845128759577,0.0,356.77218568585386,0.30052429917764334
1983,990.0,-0.10609375280913345,-252.0911569123294,0.0482799662311014,51.39666503352127,215.0324588167992,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4492.463248673523,0.5128382703965209,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,52.98410844846231,50.0,50.0,171.2652356167992,0.0,1663.281816,130.11307792783128,1.3166418917085716,2.633283783417143,2.6332837834171405,12.5,161.17193768275067,0.1360822069933338
1984,990.0,0.054649341855546624,129.85322366385486,0.06407664404112819,49.067154789367805,245.74901867373157,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4669.915793974664,0.5330954102710804,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,50.531694626160686,50.0,50.0,201.98179547373155,0.0,1663.281816,130.11307792783128,1.5526531541633475,3.105306308326695,3.1053063083266923,0.0,488.3892081893646,0.4114286798572388
1985,990.0,0.2829324837342752,672.2806505013367,0.08447754918017157,53.685712862499905,289.56808112324865,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4274.568420010116,0.487964431508004,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,55.211043352909996,50.0,50.0,245.80085792324866,0.0,1663.281816,130.11307792783128,1.8893148893498983,3.7786297786997975,3.7786297786997936,0.0,955.18477636735,0.8042007042415482
1986,990.0,-0.0006891051153756733,-1.637394296738485,0.0589960632031832,50.650098989229235,235.21976318899075,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4522.5943962585025,0.5162778991162674,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,52.341383706128354,50.0,50.0,191.45253998899076,0.0,1663.281816,130.11307792783128,1.4715477538706176,2.9430955077412353,2.9430955077412326,0.0,376.2231890703291,0.3168057128490538
1987,990.0,0.20818852946090438,494.68027907443224,0.07807793773521272,53.472111901132806,275.1964512779239,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4266.687278410236,0.4870647578093877,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,55.071677423165056,50.0,50.0,231.42922807792394,0.0,1663.281816,130.11307792783128,1.7785719370625719,3.5571438741251438,3.5571438741251407,0.0,802.0867239610284,0.6750005932396674
1988,990.0,-0.09351669226399618,-222.20659105024674,0.04976599409847971,49.84005933872687,217.43801123880053,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4599.308239511365,0.5250351871588317,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,51.48796337737177,50.0,50.0,173.67078803880054,0.0,1663.281816,130.11307792783128,1.335008238962711,2.6700164779254214,2.6700164779254196,0.0,186.79779882260743,0.1575096121231626
1989,990.0,-0.07476686303034807,-177.654805311058,0.051244579564699105,53.10429950248483,221.03637315754202,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4380.77688527953,0.5000886855341928,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,54.90726260467529,50.0,50.0,177.269149957542,0.0,1663.281816,130.11307792783128,1.3628778626756675,2.725755725351335,2.7257557253513323,12.5,225.1304171506263,0.1900241731216119
1990,990.0,-0.14400389179367395,-342.1700780766422,0.04416438237672888,54.41380369306561,207.81617917283182,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4278.70803010042,0.48843698973749083,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,56.06659483454389,50.0,50.0,164.0489559728318,0.0,1663.281816,130.11307792783128,1.2612592293116909,2.5225184586233818,2.522518458623379,12.5,84.29837699400264,0.07146910086363908
1991,990.0,0.15154575939805973,360.0904369981484,0.07294483599803875,50.31897828383897,264.34858716446803,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4560.478251448291,0.5206025401196679,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,51.9146845209199,50.0,50.0,220.58136396446798,0.0,1663.281816,130.11307792783128,1.6955992218425933,3.3911984436851865,3.391198443685183,0.0,686.5266318620238,0.5781990921496921
1992,990.0,-0.039669288129561935,-94.25886514223573,0.055007466571314875,51.83876812246316,227.67945601737918,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4449.208273845051,0.5079004878818552,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,53.62052071236525,50.0,50.0,183.91223281737916,0.0,1663.281816,130.11307792783128,1.4137985406955313,2.8275970813910627,2.82759708139106,0.0,295.89782897244856,0.2494316308114531
1993,990.0,-0.010349747015437786,-24.592208587111344,0.05786182463865402,52.31685731039262,233.3822064469423,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4398.369594753857,0.5020969857024951,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,54.01737182261901,50.0,50.0,189.61498324694224,0.0,1663.281816,130.11307792783128,1.4576326846399335,2.915265369279867,2.9152653692798642,0.0,356.64807049146816,0.3005714654132558
1994,990.0,-0.11020986112051878,-261.8715113509204,0.04800791266854196,50.818980251824094,214.21418893762706,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4511.993453354873,0.5150677458167663,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,52.46560691485313,50.0,50.0,170.44696573762707,0.0,1663.281816,130.11307792783128,1.3102702486362539,2.6205404972725077,2.620540497272505,12.5,152.45507493355035,0.12864862340896288
1995,990.0,-0.04621915295045274,-109.82210950487256,0.05453412047251823,50.90144560947519,226.50122862765022,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4498.064547100221,0.5134776880251393,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,52.63511085531479,50.0,50.0,182.73400542765026,0.0,1663.281816,130.11307792783128,1.4046097007167035,2.809219401433407,2.809219401433404,0.0,283.3464120071725,0.23871131750282082
1996,990.0,0.21968450855227362,521.9960690455617,0.07909794844332417,50.869218262187545,277.4090874502348,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4487.109649702762,0.5122271289615024,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,52.28574081171455,50.0,50.0,233.6418642502348,0.0,1663.281816,130.11307792783128,1.7956970386349016,3.591394077269803,3.5913940772698,0.0,825.6574874937929,0.6949798784073852
1997,990.0,-0.029197098101111908,-69.37571764506795,0.05605498623588516,57.455009869915266,229.72759570101903,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4029.3640046150626,0.4599730598875642,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,59.553320090892676,50.0,50.0,185.96037250101907,0.0,1663.281816,130.11307792783128,1.4295220045272812,2.8590440090545624,2.8590440090545597,0.0,317.7162448373251,0.2677756719484947
1998,990.0,-0.0462700537451426,-109.94305574234055,0.05432708990309897,49.16102124055861,226.48107508581705,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4679.680002924099,0.5342100459959018,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,50.792055233078486,50.0,50.0,182.71385188581706,0.0,1663.281816,130.11307792783128,1.4046075312140922,2.8092150624281844,2.8092150624281818,0.0,283.131720421252,0.23870878641644078
1999,990.0,-0.14081462658369212,-334.5920111764076,0.044946744654231874,51.05897563229804,208.38200404004425,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4482.408943336121,0.511690518645676,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,52.67251990738515,50.0,50.0,164.61478084004426,0.0,1663.281816,130.11307792783128,1.2653882541812136,2.530776508362427,2.5307765083624245,12.5,90.3259943279878,0.0762862965447492
2000,990.0,-0.1065141417914663,-253.0900502694165,0.0482230913997962,51.602451524717665,214.94256618899203,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4470.676680406823,0.5103512192245232,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,53.23276236049966,50.0,50.0,171.175342988992,0.0,1663.281816,130.11307792783128,1.3159557287188577,2.631911457437716,2.631911457437713,12.5,160.2143297850325,0.1352816835053341
2001,990.0,-0.021104995215107707,-50.14793538293665,0.057062497488596,51.74234936206574,231.28333593451987,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4410.195888820695,0.5034470192717687,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,53.26166978425096,50.0,50.0,187.51611273451985,0.0,1663.281816,130.11307792783128,1.4411813588884619,2.8823627177769238,2.882362717776921,0.0,334.2892294161488,0.2813782520365389
2002,990.0,-0.013769031560056813,-32.716828311103725,0.05761811645699853,52.20758633714179,232.71309760817124,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4390.528920401731,0.501201931552709,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,53.724890990869824,50.0,50.0,188.94587440817128,0.0,1663.281816,130.11307792783128,1.4524213987258197,2.9048427974516393,2.904842797451637,0.0,349.52018999592207,0.2944916318467899
2003,990.0,-0.1295333559472257,-307.78639358925136,0.04609444430841531,57.69056883953497,210.51459107531744,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,3975.3911528455756,0.45381177543899265,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,59.60040156206283,50.0,50.0,166.74736787531742,0.0,1663.281816,130.11307792783128,1.281788992869664,2.5635779857393275,2.5635779857393257,12.5,113.0440106699898,0.09542049168127459
2004,990.0,-0.014238608286296606,-33.83259749677724,0.057650521576287056,51.95708143803955,232.6149640737521,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4408.755518096999,0.5032825933900683,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,53.655451726958105,50.0,50.0,188.8477408737521,0.0,1663.281816,130.11307792783128,1.4515922521283193,2.903184504256638,2.9031845042566364,0.0,348.4747933946304,0.2935242941497057
2005,990.0,-0.04260729347186285,-101.23990922960712,0.054842580204833694,49.365215882105204,227.15752884653534,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4638.353993627339,0.529492465025952,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,50.88333648713083,50.0,50.0,183.39030564653535,0.0,1663.281816,130.11307792783128,1.4096989205256722,2.8193978410513445,2.8193978410513427,0.0,290.3378448778035,0.2446487406132842
2006,990.0,0.05048277230937433,119.95296743350093,0.06381899239652643,52.675361070168165,244.99129119209192,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4342.30541927731,0.4956969656709257,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,54.32164378321778,50.0,50.0,201.22406799209196,0.0,1663.281816,130.11307792783128,1.5466787000059043,3.0933574000118087,3.093357400011806,0.0,480.31729129877544,0.4044584833402216
2007,990.0,-0.13847347472788243,-329.0291607331749,0.04510060014859725,50.78246837392743,208.7941433277548,2376.11688,43.767223200000004,1742.4,43.6372632,6.716880000000001,0.12996,0.0,0.0,627.0,0.0,4523.75593110981,0.5164104944189282,1000.0,990.0,13.68,0.0,0.0,196.4025974025974,2.0,196.4025974025974,52.40684497276338,50.0,50.0,165.0269201277548,0.0,1663.281816,130.11307792783128,1.268610379017578,2.537220758035156,2.5372207580351533,12.5,94.71643041266998,0.0800454421871744
