weather_year,wind_MW [MW],NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Awpp [km2],Apvp [km2],Plant area [km2],Break-even PPA price [Euro/MWh],lifetime_years,price_added,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR Min [-],DSCR Avg [-],DSCR P90 [-],LLCR [-],DSCR Breach Years,Debt Headroom [MEuro],Debt Headroom [% of CAPEX]
1982,1425.0,-0.09453840870149481,-367.627904222595,0.04881277312398142,57.86938220467926,352.1340572323629,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6390.396031240716,0.4863315092268428,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,59.6007079073467,75.0,75.0,280.80179243236296,0.0,2722.063302,212.93807888152594,3.887864404055456,3.9656300995949056,1.2959548013518187,3.967458044527382,0.0,269.26113345254635,0.2132842247636948
1983,1425.0,-0.1978086419762928,-769.2109216316048,0.03799647795292936,56.295721897575355,320.1540082451298,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6586.55349029853,0.5012597785615319,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,57.95048429717817,75.0,75.0,248.82174344512975,0.0,2722.063302,212.93807888152594,3.4515418690290067,3.5124240423405118,1.1505139563430022,3.512340164575617,16.666666666666668,-71.41583001634739,-0.0510859753013681
1984,1425.0,-0.14063737562802542,-546.8911986951961,0.04402069405448159,56.32985373664685,338.02307373621835,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6565.004917442855,0.49961985673081094,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,58.01827973322961,75.0,75.0,266.69080893621833,0.0,2722.063302,212.93807888152594,3.7370361324195827,3.779059867320673,1.2456787108065275,3.779056092869797,10.333333333333334,118.93969364032625,0.1044515892703927
1985,1425.0,0.0875904520952132,340.60965036281266,0.06605926965755875,59.228981566091285,408.91202503821603,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6246.454547360321,0.4753770583988066,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,60.963184178015034,75.0,75.0,337.57976023821607,0.0,2722.063302,212.93807888152594,4.72407882814639,4.786991677329164,1.5746929427154635,4.786106036995951,0.0,874.1052871233113,0.6924118117753456
1986,1425.0,-0.11127195039705766,-432.69898959684997,0.046918645525608836,55.8484154455708,347.1357672580029,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6633.397380159843,0.5048247625692422,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,57.5786585673853,75.0,75.0,275.80350245800287,0.0,2722.063302,212.93807888152594,3.8622095892892645,3.910300682097942,1.2874031964297548,3.9102582778582016,8.333333333333334,216.0153660154242,0.18100873122379948
1987,1425.0,0.0658088178838769,255.90824015671802,0.06399676709720366,58.68494327275971,402.1570680336649,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6301.930144761318,0.4795989455678324,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,60.50402888833228,75.0,75.0,330.8248032336649,0.0,2722.063302,212.93807888152594,4.619282057233612,4.693064962990651,1.5397606857445372,4.692729478948267,0.0,802.1461027708384,0.6376212284112133
1988,1425.0,-0.21208687664562811,-824.7341482183788,0.03644302253946341,55.012665223923136,315.8199597246402,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6729.424355780899,0.5121327515814992,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,56.74055734789829,75.0,75.0,244.4876949246402,0.0,2722.063302,212.93807888152594,3.4150686192578616,3.4619398267953345,1.1383562064192871,3.4617780045977655,8.333333333333334,-117.58556822020955,-0.0805351010360551
1989,1425.0,-0.20300984537727684,-789.4366429231138,0.037590476322273456,59.378899077445425,318.52574326618776,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6235.137226244424,0.47451577064265016,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,61.31888750530126,75.0,75.0,247.19347846618768,0.0,2722.063302,212.93807888152594,3.4416084034586767,3.4832461909319847,1.1472028011528923,3.482760056011716,25.0,-88.76140597122378,-0.0681063886230089
1990,1425.0,-0.2563500727016077,-996.8587505229691,0.03159712575586881,59.17175266655611,302.0082218205573,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6279.770237498973,0.47791249904862804,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,60.93703321838078,75.0,75.0,230.67595702055726,0.0,2722.063302,212.93807888152594,3.1642869987427398,3.255320905361376,1.0547623329142466,3.254838717843147,22.666666666666668,-264.7192055473331,-0.20106280520586428
1991,1425.0,-0.030362147599962978,-118.06812535966657,0.055061724996584495,56.38843187324263,372.1519076065256,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6556.9909506556205,0.4990099658033196,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,58.27854314110198,75.0,75.0,300.81964280652556,0.0,2722.063302,212.93807888152594,4.203069631329834,4.253167668682934,1.401023210443278,4.253713474550844,0.0,482.50722583241907,0.38101447339837824
