weather_year,portfolio_NPV_over_CAPEX,portfolio_NPV [MEuro],portfolio_IRR,portfolio_LCOE [Euro/MWh],portfolio_Revenues [MEuro],portfolio_CAPEX [MEuro],portfolio_OPEX [MEuro],portfolio_Wind CAPEX [MEuro],portfolio_Wind OPEX [MEuro],portfolio_PV CAPEX [MEuro],portfolio_PV OPEX [MEuro],portfolio_Batt CAPEX [MEuro],portfolio_Batt OPEX [MEuro],portfolio_Shared CAPEX [MEuro],portfolio_Shared OPEX [MEuro],portfolio_Mean Annual Electricity Sold [GWh],portfolio_GUF,portfolio_grid [MW],portfolio_wind [MW],portfolio_solar [MW],portfolio_Battery Energy [MWh],portfolio_Battery Power [MW],portfolio_Total curtailment [GWh],portfolio_Total curtailment with deg [GWh],portfolio_Awpp [km2],portfolio_Apvp [km2],portfolio_Plant area [km2],portfolio_Number of batteries used in lifetime,portfolio_Break-even PPA price [Euro/MWh],portfolio_Capacity factor wind [-],portfolio_AEP [GWh],portfolio_AEP with degradation [GWh],portfolio_lifetime_years,portfolio_input_rows_per_year,portfolio_input_rows_lifetime,portfolio_Mean Annual Wind Electricity [GWh],portfolio_Mean Annual Solar Electricity [GWh],portfolio_Mean Annual Battery Discharge [GWh],portfolio_Capacity factor solar [-],portfolio_CFADS [MEuro/yr],portfolio_CFADS degradation rate [-/yr],portfolio_Debt Amount [MEuro],portfolio_Annual Debt Service [MEuro/yr],portfolio_DSCR [-],portfolio_DSCR Avg [-],portfolio_LLCR [-],portfolio_DSCR Breach Years,portfolio_Debt Headroom [MEuro],portfolio_Debt Headroom [% of CAPEX]
1982,-0.9756813873880469,-2301.4015569491294,0.0,555.2227507828798,139.608079212455,2358.7194105014323,63.31056431646532,1715.5936660014327,62.99692799146531,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4622.609522766317,0.5276951510007211,1000.0,975.0,29.0,0.0,0.0,186.08402644542272,166.72198699660706,180.56947940086894,0.464,180.56947940086894,0.0,694.3431251832117,0.5340870256877175,4629.278402246184,4629.278402246184,50.0,17520.0,438000.0,4557.126528676942,39.98538580000001,0.0,0.14358659817351596,76.2975148959897,8.880138235722868e-05,1651.1035873510027,143.95073478608722,1.0599819938949322,1.0604133198043981,1.0604993711461952,20.0,-921.831516493243,-0.7811738534818273
1983,-0.9852776977792157,-2324.077364233849,0.0,523.515224907131,110.84180584725877,2358.7194105014323,64.7285954150033,1715.5936660014327,64.41495909000331,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4942.280132598522,0.5641872297486896,1000.0,975.0,29.0,0.0,0.0,252.1812557956248,226.87125942067956,180.56947940086894,0.464,180.56947940086894,0.0,654.6267164484041,0.5722290235938629,4951.35498297535,4951.35498297535,50.0,17520.0,438000.0,4878.675530612993,40.5928205,0.0,0.14114098744292233,46.11321043225546,8.742511925385887e-05,1651.1035873510027,143.95073478608722,0.641759934722697,0.6419945868612518,0.6420414009378236,20.0,-1210.3411783567594,-1.0253662212017298
1984,-0.9749096074163942,-2299.6206696955423,0.0,503.74554882135203,144.0813794727324,2358.7194105014323,65.41317754848576,1715.5936660014327,65.09954122348577,16.1257445,0.313636325,0.0,0.0,627.0,0.0,5097.959901278171,0.5819588928399739,1000.0,975.0,29.0,0.0,0.0,230.60998524707597,206.8605291725065,180.56947940086894,0.464,180.56947940086894,0.0,629.8638579068661,0.5899305109208132,5106.234322445072,5106.234322445072,50.0,17520.0,438000.0,5033.909574486569,40.5085234,0.0,0.1416210216894977,78.66820192424663,8.05868761594164e-05,1651.1035873510027,143.95073478608722,1.0937315979336741,1.0941223774866449,1.0942003380038,20.0,-899.1718552865917,-0.7615339068341236
1985,-0.9593122186138445,-2262.7258639343117,0.0,552.9517671128403,191.20765059371476,2358.7194105014323,63.427993818373466,1715.5936660014327,63.11435749337346,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4651.264804570908,0.5309663018916564,1000.0,975.0,29.0,0.0,0.0,152.90612767619064,136.97798448049002,180.56947940086894,0.464,180.56947940086894,0.0,691.4990878973929,0.5373675742403582,4656.743923950129,4656.743923950129,50.0,17520.0,438000.0,4583.754533644777,40.96375570000001,0.0,0.14277856735159816,127.77965677534131,9.079997948635565e-05,1651.1035873510027,143.95073478608722,1.7733623553417748,1.7741358984544593,1.7742902256993331,20.0,-429.7514235606078,-0.3646359630027216
1986,-0.9790100346187495,-2309.1698691140955,0.0,514.4936283765128,130.9065002050289,2358.7194105014323,64.94980993389143,1715.5936660014327,64.63617360889143,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4994.6975578194215,0.570170954088975,1000.0,975.0,29.0,0.0,0.0,190.6986157213597,170.8757275294183,180.56947940086894,0.464,180.56947940086894,0.0,643.327022620812,0.577699441701027,5001.532586920599,5001.532586920599,50.0,17520.0,438000.0,4928.837553036607,40.873721200000006,0.0,0.14534591894977164,65.95669027113746,8.32859262304142e-05,1651.1035873510027,143.95073478608722,0.9148854752963524,0.9152613697504891,0.9153363616672765,20.0,-1020.6718863116221,-0.8658781758179581
1987,-0.9624788658274204,-2270.0955041246343,0.0,551.656160679525,181.3893859693001,2358.7194105014323,63.419911330704096,1715.5936660014327,63.10627500570409,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4645.049655323031,0.5302568099683826,1000.0,975.0,29.0,0.0,0.0,226.83878426533784,204.1198931908785,180.56947940086894,0.464,180.56947940086894,0.0,689.8751315038138,0.5367861252298436,4653.214451050666,4653.214451050666,50.0,17520.0,438000.0,4581.921770000929,39.68835179999999,0.0,0.13994636986301365,117.96947463859601,8.572483626800853e-05,1651.1035873510027,143.95073478608722,1.63535018783183,1.6360592873574942,1.6362007554100415,20.0,-523.519770434145,-0.4452182729043832
1988,-0.9854997212002138,-2324.5654410362595,0.0,512.1008774046545,110.57172444063777,2358.7194105014323,65.1082949633219,1715.5936660014327,64.79465863832189,16.1257445,0.313636325,0.0,0.0,627.0,0.0,5028.328480049515,0.5740101004622733,1000.0,975.0,29.0,0.0,0.0,248.9004544364863,224.53081512621844,180.56947940086894,0.464,180.56947940086894,0.0,640.3294010447223,0.5820575657333344,5037.309712654564,5037.309712654564,50.0,17520.0,438000.0,4964.7752014335365,40.8592162,0.0,0.14244691780821916,45.46342947731587,8.363000334532522e-05,1651.1035873510027,143.95073478608722,0.6320749241028079,0.6323088414378255,0.6323555084422416,20.0,-1216.551958658827,-1.0310166706464021
1989,-0.9799337609650854,-2311.4845092815067,0.0,539.4852364164062,127.05557783882108,2358.7194105014323,64.17963394426269,1715.5936660014327,63.865997619262686,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4821.833024092941,0.5504375598279613,1000.0,975.0,29.0,0.0,0.0,190.9280521525577,171.7129601903397,180.56947940086894,0.464,180.56947940086894,0.0,674.6313319403387,0.5578547861302582,4828.701542500554,4828.701542500554,50.0,17520.0,438000.0,4754.194471488138,42.5168866,0.0,0.150568053652968,62.87594389455839,9.3885346947431e-05,1651.1035873510027,143.95073478608722,0.8746446459903158,0.8749955737996965,0.8750655866604655,20.0,-1050.1184848397409,-0.8893811167994286
1990,-0.9858600556648074,-2325.4485548809416,0.0,551.2944205503809,108.05225852733324,2358.7194105014323,63.76428458245998,1715.5936660014327,63.450648257459974,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4727.966198554784,0.5397221687847926,1000.0,975.0,29.0,0.0,0.0,161.80767161629475,145.41853577527843,180.56947940086894,0.464,180.56947940086894,0.0,689.42332314179,0.5468787282883556,4733.782939985794,4733.782939985794,50.0,17520.0,438000.0,4660.010942734688,41.7838613,0.0,0.14648054223744283,44.28797394487326,9.56578513726658e-05,1651.1035873510027,143.95073478608722,0.6163335643746815,0.6165793430091021,0.6166283780620564,20.0,-1227.7872772863632,-1.040185280802123
1991,-0.968014967947308,-2283.3381879127483,0.0,514.6672569010586,165.31990234678568,2358.7194105014323,64.97767992799879,1715.5936660014327,64.66404360299879,16.1257445,0.313636325,0.0,0.0,627.0,0.0,4999.493317526333,0.5707184152427321,1000.0,975.0,29.0,0.0,0.0,233.23766958572972,209.2043309408864,180.56947940086894,0.464,180.56947940086894,0.0,643.5441485920521,0.5785375516772282,5007.861490763968,5007.861490763968,50.0,17520.0,438000.0,4935.157279591564,41.0480165,0.0,0.14677259703196344,100.34222241878689,8.390905754518396e-05,1651.1035873510027,143.95073478608722,1.3942077351727127,1.394741437838799,1.3948479126105924,20.0,-692.0057656516369,-0.5860893797468679
