weather_year,portfolio_NPV_over_CAPEX,portfolio_NPV [MEuro],portfolio_IRR,portfolio_LCOE [Euro/MWh],portfolio_Revenues [MEuro],portfolio_CAPEX [MEuro],portfolio_OPEX [MEuro],portfolio_Wind CAPEX [MEuro],portfolio_Wind OPEX [MEuro],portfolio_PV CAPEX [MEuro],portfolio_PV OPEX [MEuro],portfolio_Batt CAPEX [MEuro],portfolio_Batt OPEX [MEuro],portfolio_Shared CAPEX [MEuro],portfolio_Shared OPEX [MEuro],portfolio_Mean Annual Electricity Sold [GWh],portfolio_GUF,portfolio_grid [MW],portfolio_wind [MW],portfolio_solar [MW],portfolio_Battery Energy [MWh],portfolio_Battery Power [MW],portfolio_Total curtailment [GWh],portfolio_Total curtailment with deg [GWh],portfolio_Awpp [km2],portfolio_Apvp [km2],portfolio_Plant area [km2],portfolio_Number of batteries used in lifetime,portfolio_Break-even PPA price [Euro/MWh],portfolio_Capacity factor wind [-],portfolio_AEP [GWh],portfolio_AEP with degradation [GWh],portfolio_lifetime_years,portfolio_input_rows_per_year,portfolio_input_rows_lifetime,portfolio_Mean Annual Wind Electricity [GWh],portfolio_Mean Annual Solar Electricity [GWh],portfolio_Mean Annual Battery Discharge [GWh],portfolio_Capacity factor solar [-],portfolio_CFADS [MEuro/yr],portfolio_CFADS degradation rate [-/yr],portfolio_Debt Amount [MEuro],portfolio_Annual Debt Service [MEuro/yr],portfolio_DSCR [-],portfolio_DSCR Avg [-],portfolio_LLCR [-],portfolio_DSCR Breach Years,portfolio_Debt Headroom [MEuro],portfolio_Debt Headroom [% of CAPEX]
1982,-0.9716561063480427,-1720.2620358158347,0.0,486.08322410126937,101.89978293956312,1768.808531146859,37.41082769865553,844.5999586468591,31.66022357365553,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3846.6122753563423,0.4391109903374819,1000.0,480.0,605.0,0.0,0.0,3240.9923441899064,1689.7884716852589,95.2305372589477,9.68,104.8305372589477,0.0,608.7608652527445,,3914.2038142237525,3914.2038142237525,50.0,17520.0,438000.0,2390.073372711005,867.8459049999999,0.0,0.1433002226027397,64.48895524090759,0.0026935711304131964,1238.1659718028013,107.9489517154399,1.1990307084479563,1.2158030533081516,1.2191788266862784,20.0,-621.7632750688084,-0.680839305054015
1983,-0.9802133232909094,-1735.3678474723429,0.0,451.3611570958759,83.13159145597074,1768.808531146859,38.71388189737392,844.5999586468591,32.96327777237392,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4182.9019116972995,0.4775002182302852,1000.0,480.0,605.0,0.0,0.0,3414.7898430912564,1775.78271121596,95.2305372589477,9.68,104.8305372589477,0.0,565.2559535085527,,4253.933220145938,4253.933220145938,50.0,17520.0,438000.0,2685.550515277532,902.1327605,0.0,0.14168888127853874,44.41770955859681,0.002691904206630267,1238.1659718028013,107.9489517154399,0.8360782619393513,0.848214554593345,0.8506572479837107,20.0,-813.6096140142856,-0.8980139706433171
1984,-0.9728634685648426,-1720.7183997990562,0.0,455.1974470380744,102.37096590985699,1768.808531146859,38.47120274726652,844.5999586468591,32.720598622266515,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4134.825154798644,0.47201200397244786,1000.0,480.0,605.0,0.0,0.0,3487.335738315707,1819.813525705429,95.2305372589477,9.68,104.8305372589477,0.0,570.0591755819951,,4207.617695826862,4207.617695826862,50.0,17520.0,438000.0,2630.5212295388924,914.4724210000002,0.0,0.14371517694063926,63.899763162590475,0.0026918572096077888,1238.1659718028013,107.9489517154399,1.151447832281188,1.165941751419746,1.1688589355053123,20.0,-627.3949306695583,-0.7112757135939305
1985,-0.9609179255139015,-1699.1256240768166,0.0,473.1943956567851,130.26347145479184,1768.808531146859,37.66797999188364,844.5999586468591,31.91737586688364,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3949.5890055919535,0.45086632483926414,1000.0,480.0,605.0,0.0,0.0,3455.553514923752,1797.7254279596054,95.2305372589477,9.68,104.8305372589477,0.0,592.6025431207281,,4021.498022710339,4021.498022710339,50.0,17520.0,438000.0,2448.384550313752,908.8730485,0.0,0.14327632990867575,92.5954914629082,0.002694259186805263,1238.1659718028013,107.9489517154399,1.6591927887718534,1.679676655180928,1.6837994416602595,20.0,-353.1134782412268,-0.40804629778111157
1986,-0.9779013224383262,-1730.9269781353569,0.0,462.43808822965894,88.65201007133432,1768.808531146859,38.329983504385304,844.5999586468591,32.5793793793853,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4073.5462545169685,0.46501669572111515,1000.0,480.0,605.0,0.0,0.0,3313.185007877681,1728.5899641933945,95.2305372589477,9.68,104.8305372589477,0.0,579.1377146997138,,4142.689853084705,4142.689853084705,50.0,17520.0,438000.0,2598.498725484196,882.3064660000001,0.0,0.1442332305936073,50.32202656694902,0.0026929111859292877,1238.1659718028013,107.9489517154399,0.9349127729611397,0.9479564869632279,0.950581808280932,20.0,-757.1745715682567,-0.8392933256110084
1987,-0.9637050342389593,-1705.7406095519173,0.0,484.528551652347,121.00371788442673,1768.808531146859,37.215013756066696,844.5999586468591,31.46440963106669,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3845.2369206093736,0.438953986370933,1000.0,480.0,605.0,0.0,0.0,3429.6264362453253,1779.085157103284,95.2305372589477,9.68,104.8305372589477,0.0,606.7998963167419,,3916.400326893505,3916.400326893505,50.0,17520.0,438000.0,2345.671118155714,901.1725109999999,0.0,0.1427955764840182,83.78870412836005,0.0026947020755511966,1238.1659718028013,107.9489517154399,1.5373134800825436,1.5579282489035378,1.5620773993544992,20.0,-437.2911090044982,-0.4789885159020843
1988,-0.9815879176473281,-1737.6899202097916,0.0,454.2813548220561,79.92556821565981,1768.808531146859,38.5921486849405,844.5999586468591,32.841544559940495,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4151.7999267179475,0.47394976332396666,1000.0,480.0,605.0,0.0,0.0,3467.4452765451897,1809.466732728116,95.2305372589477,9.68,104.8305372589477,0.0,568.9148376004387,,4224.178596027074,4224.178596027074,50.0,17520.0,438000.0,2657.9466122314043,905.269141,0.0,0.14282948630136985,41.33341953071932,0.00269230183016532,1238.1659718028013,107.9489517154399,0.7779947385882462,0.7892883133331763,0.7915613913559387,20.0,-843.0900837100868,-0.9328871615600511
1989,-0.9762752331305347,-1727.4475759520692,0.0,449.05579351052523,93.64014204518736,1768.808531146859,38.68875155054544,844.5999586468591,32.93814742554544,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4196.870953468052,0.4790948577018324,1000.0,480.0,605.0,0.0,0.0,3607.846505437401,1885.9658723959503,95.2305372589477,9.68,104.8305372589477,0.0,562.3627654394086,,4272.30958836389,4272.30958836389,50.0,17520.0,438000.0,2679.852023933206,931.050337,0.0,0.1505165410958904,54.95139049464192,0.0026912678386526055,1238.1659718028013,107.9489517154399,1.0052143983421584,1.018542283252938,1.0212247786030308,20.0,-712.9258719493355,-0.7979499382887048
1990,-0.9811367253470876,-1736.8486771175117,0.0,454.1893187405667,80.99853979336395,1768.808531146859,38.54689274858468,844.5999586468591,32.79628862358468,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4148.430186671264,0.47356508980265566,1000.0,480.0,605.0,0.0,0.0,3487.8582126205656,1817.265357412388,95.2305372589477,9.68,104.8305372589477,0.0,568.7975469323737,,4221.120800967758,4221.120800967758,50.0,17520.0,438000.0,2647.6844951439184,908.4213844999999,0.0,0.14542743721461182,42.45164704477926,0.0026930397901752997,1238.1659718028013,107.9489517154399,0.7972234509866567,0.8087207418529081,0.811034824346933,20.0,-832.4017658011704,-0.921430807147319
1991,-0.9671561128872062,-1710.2627980899385,0.0,456.07518507770016,116.2599956417717,1768.808531146859,38.46386382296741,844.5999586468591,32.71325969796741,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4128.2966509140315,0.47126674097192145,1000.0,480.0,605.0,0.0,0.0,3459.709558941715,1796.580464998093,95.2305372589477,9.68,104.8305372589477,0.0,571.1602818205952,,4200.159869513955,4200.159869513955,50.0,17520.0,438000.0,2628.857074369027,906.8263445,0.0,0.14783365867579906,77.7961318188043,0.0026926907880049354,1238.1659718028013,107.9489517154399,1.3943450418678904,1.4115634950721139,1.4150290392322828,20.0,-494.56971924379826,-0.566381362968361
