weather_year,wind_MW [MW],NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Awpp [km2],Apvp [km2],Plant area [km2],Break-even PPA price [Euro/MWh],lifetime_years,price_added,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR Min [-],DSCR Avg [-],DSCR P90 [-],LLCR [-],DSCR Breach Years,Debt Headroom [MEuro],Debt Headroom [% of CAPEX]
1982,1320.0,-0.13465304383625445,-513.099018774318,0.04388013237710734,59.72879526164445,331.25923354099336,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6157.466944357748,0.4686047902859776,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,61.49145573493738,75.0,75.0,262.48318874099334,0.0,2667.36869,208.65949888087226,3.718618100515149,3.784177606250381,1.239539366838383,3.7847348542263743,8.333333333333334,128.81138269508972,0.1074369369793887
1983,1320.0,-0.28500494042080027,-1086.0189351053684,0.027827914206046796,60.31513707143116,285.5981463071068,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6054.376678989117,0.46075926019704094,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,62.081736513521065,75.0,75.0,216.82210150710677,0.0,2667.36869,208.65949888087226,3.088797370666924,3.1195236570812295,1.0295991235556412,3.1193748653262676,18.666666666666668,-357.60690120868924,-0.2802778667026161
1984,1320.0,-0.24834361813379097,-946.3199876734145,0.03198578362244391,61.02390855766743,296.6263830010289,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5962.206035678587,0.4537447515737129,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,62.764167692685724,75.0,75.0,227.85033820102893,0.0,2667.36869,208.65949888087226,3.180757158003772,3.2723802705038088,1.0602523860012574,3.273156550151059,18.666666666666668,-240.1253366619468,-0.1911115088727784
1985,1320.0,-0.046100949895231856,-175.66890047114316,0.05326258667186691,64.80834826037896,357.8312309736461,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5591.681518775589,0.4255465387196034,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,66.56898288438542,75.0,75.0,289.0551861736461,0.0,2667.36869,208.65949888087226,4.083666030997636,4.15274465435546,1.3612220103325452,4.152061205235848,0.0,411.8774718769181,0.3224343817073509
1986,1320.0,-0.23745944615953196,-904.8455597581088,0.033360067229619476,59.89538174948536,299.9411426643638,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6093.281409673838,0.4637200463983134,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,61.587389111369,75.0,75.0,231.1650978643638,0.0,2667.36869,208.65949888087226,3.2878136143032637,3.327915072138074,1.0959378714344212,3.3280477416410856,16.666666666666668,-204.813875532387,-0.1587162079194565
1987,1320.0,-0.08019126057286159,-305.57093951954636,0.049872390091214136,63.27200646555817,347.3809332344515,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5722.9963149903615,0.4355400544132695,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,65.18587073108722,75.0,75.0,278.6048884344515,0.0,2667.36869,208.65949888087226,3.9385316633749072,3.9916282216799166,1.3128438877916357,3.9913803894076816,0.0,300.5525735768583,0.2284497959799518
1988,1320.0,-0.33934415511342997,-1293.0799635486662,0.021674292762259125,61.51087140318544,268.98666457815654,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5891.248470803721,0.4483446324812572,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,63.32746373847262,75.0,75.0,200.2106197781565,0.0,2667.36869,208.65949888087226,2.833830572648387,2.8743444188406833,0.9446101908827956,2.874886831521808,25.0,-534.5656405901389,-0.4232990890096014
1989,1320.0,-0.252733190624513,-963.0465708508963,0.031386139104590115,61.15217076847526,295.37086949711636,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5992.526532010903,0.4560522474894142,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,63.00360430972589,75.0,75.0,226.5948246971164,0.0,2667.36869,208.65949888087226,3.1916232831595,3.2542925910784524,1.0638744277198333,3.254227831200735,16.666666666666668,-253.50006689697105,-0.2016626552042358
1990,1320.0,-0.27014098816124876,-1029.379448152822,0.029433940019313334,60.124183065958505,290.21707741042405,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6104.266158987145,0.4645560242760385,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,61.89541009588132,75.0,75.0,221.44103261042406,0.0,2667.36869,208.65949888087226,3.1460813267963212,3.202187867983738,1.0486937755987737,3.201438282035673,16.666666666666668,-308.40236673851587,-0.23205707700948608
1991,1320.0,-0.13293049017656405,-506.53518206188494,0.04433453913361928,60.5386923440628,331.5121383712652,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6032.059543620822,0.4590608480685557,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,62.59029865348898,75.0,75.0,262.7360935712652,0.0,2667.36869,208.65949888087226,3.707250454416984,3.763112394917739,1.2357501514723281,3.763865263351024,8.333333333333334,131.50552646134963,0.09514889703534772
1992,1320.0,-0.26195404399258604,-998.1828788067235,0.03059751899828215,60.82462882734267,292.53346626727944,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5976.5934300057725,0.45483968264884106,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,62.83602724298851,75.0,75.0,223.75742146727947,0.0,2667.36869,208.65949888087226,3.1887818300388084,3.2193013950903264,1.0629272766796027,3.2192041878369464,16.666666666666668,-283.72634693999316,-0.2220741861973095
1993,1320.0,-0.23526924440715402,-896.4997375022859,0.033639795810159134,60.182955357087394,300.5740859054634,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6018.158228503084,0.45800290932291343,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,62.016313957616056,75.0,75.0,231.7980411054634,0.0,2667.36869,208.65949888087226,3.2597574615163545,3.3405902582479636,1.0865858205054515,3.341262883744408,16.666666666666668,-198.07125979993282,-0.1513223493553548
1994,1320.0,-0.3564139337011987,-1358.1248106204473,0.01953300332178865,62.14429773229259,263.8481473617869,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5846.178684692215,0.44491466397962065,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,63.98524777459937,75.0,75.0,195.0721025617869,0.0,2667.36869,208.65949888087226,2.7510914395972694,2.8025861225435724,0.9170304798657565,2.803074912909383,25.0,-589.3052203420115,-0.46515809518291595
1995,1320.0,-0.2724104995050244,-1038.027481724232,0.02956618889990453,59.969298088564045,289.23844033506094,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6037.09816411942,0.45944430472750536,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,61.87840136028544,75.0,75.0,220.46239553506092,0.0,2667.36869,208.65949888087226,3.1266942342753703,3.1709862655744305,1.0422314114251234,3.17197537591135,25.0,-318.82758864189293,-0.25025801174824913
1996,1320.0,-0.08134230338747452,-309.95701889747204,0.04982251154711147,60.21378988674866,347.0647581514729,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5993.527439504725,0.456128420053632,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,62.05178651650908,75.0,75.0,278.28871335147284,0.0,2667.36869,208.65949888087226,3.951674633368561,3.9957283698964163,1.3172248777895204,3.9955171099116162,0.0,297.1844246651202,0.23084154910624288
1997,1320.0,-0.18147668178675913,-691.5217413758493,0.039245209084752486,61.90719444146322,316.7667284936233,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5886.391279830177,0.4479749832443058,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,63.88398631936644,75.0,75.0,247.9906836936233,0.0,2667.36869,208.65949888087226,3.477789493975393,3.549162207103034,1.1592631646584644,3.5503666819789084,8.333333333333334,-25.57432867660509,-0.02965537918989708
1998,1320.0,-0.3026450147149016,-1153.2369091930252,0.025868299191443952,59.86759556741615,280.09777244440096,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6073.436142082794,0.4622097520610953,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,61.59088739503853,75.0,75.0,211.32172764440094,0.0,2667.36869,208.65949888087226,2.9735058309943443,3.0244808407834967,0.9911686103314481,3.0245578975403795,25.0,-416.2012662841887,-0.3357195095429603
1999,1320.0,-0.3606166695288171,-1374.1394477046338,0.01915754355109158,60.653109958779886,262.47725917102514,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5966.653820056365,0.454083243535492,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,62.53109383917923,75.0,75.0,193.70121437102515,0.0,2667.36869,208.65949888087226,2.732516002949975,2.778929170622461,0.9108386676499917,2.7798759796606296,25.0,-603.9090136717377,-0.4789579838035646
2000,1320.0,-0.3144310572868239,-1198.147939100672,0.024192293456338224,60.07363792503236,276.7730153825004,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6069.648711189745,0.46192151531124387,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,61.80506657803321,75.0,75.0,207.99697058250035,0.0,2667.36869,208.65949888087226,2.945677001559084,3.00826530599146,0.981892333853028,3.00846359278364,16.666666666666668,-451.61922766918326,-0.3451785715049814
2001,1320.0,-0.29998528978999284,-1143.101956352005,0.02626484177182881,63.090313758892115,280.7806757091018,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5750.809542768635,0.4376567384146602,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,64.91186155276142,75.0,75.0,212.0046309091018,0.0,2667.36869,208.65949888087226,2.9869725525669217,3.0319925946255095,0.9956575175223072,3.0330160971319327,25.0,-408.9264365722594,-0.3313376531351192
2002,1320.0,-0.237319692015834,-904.3130228621121,0.03310845739170808,61.70156748203919,299.67177677483323,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5902.568070088227,0.4492060936140203,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,63.55642112524671,75.0,75.0,230.8957319748332,0.0,2667.36869,208.65949888087226,3.2406077607342967,3.289053395145254,1.0802025869114322,3.28985097153516,16.666666666666668,-207.68337561801843,-0.18138551949860152
2003,1320.0,-0.25768957182881996,-981.9329937652863,0.031099944135059482,62.73849972482943,293.78218800741746,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5777.2374326724275,0.439667993354066,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,64.56348116841275,75.0,75.0,225.00614320741744,0.0,2667.36869,208.65949888087226,3.196679715146503,3.2328490349488406,1.0655599050488342,3.2328618010742063,23.0,-270.4239679843629,-0.214171396279843
2004,1320.0,-0.2785647427936384,-1061.4783900937916,0.028890224468124316,63.21007924410768,287.37591095839844,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5726.011736642083,0.43576953855723605,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,65.03229857775779,75.0,75.0,218.59986615839844,0.0,2667.36869,208.65949888087226,3.09313220456459,3.1438013787233983,1.0310440681881967,3.144428855783499,25.0,-338.6687356228217,-0.26611586241135066
2005,1320.0,-0.28167035210354235,-1073.3123972889491,0.028225702702294724,59.00994247360774,286.6080050169037,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6176.478657036562,0.47005164817629846,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,60.873194805853814,75.0,75.0,217.83196021690367,0.0,2667.36869,208.65949888087226,3.071880811481241,3.14711896894419,1.023960270493747,3.1480631723193104,16.666666666666668,-346.8490815779702,-0.26418060144922273
2006,1320.0,-0.2551235228975579,-972.1549957992056,0.03143455545646336,63.39965131276336,294.5828108550659,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5713.210429756551,0.43479531428893087,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,65.4562034173979,75.0,75.0,225.80676605506585,0.0,2667.36869,208.65949888087226,3.2125625520312857,3.248525066605534,1.0708541840104286,3.248167041821337,21.0,-261.89509547608236,-0.2050270444801051
2007,1320.0,-0.3338983213325509,-1272.3284685228646,0.022276676882262075,59.47351896946075,270.6994753766006,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,6094.076858996514,0.46378058287644697,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,61.263483931892495,75.0,75.0,201.9234305766006,0.0,2667.36869,208.65949888087226,2.8629392069038957,2.9056474294857373,0.9543130689679652,2.906138415579023,25.0,-516.31941519994,-0.4050389994666534
2008,1320.0,-0.3742435320790928,-1426.0649712896893,0.01727883043017388,64.1217046323963,258.5068266802549,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5645.5382394127555,0.42964522369960084,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,65.95906437358643,75.0,75.0,189.7307818802549,0.0,2667.36869,208.65949888087226,2.6896931693775845,2.731752463651202,0.8965643897925282,2.732249612944123,25.0,-646.2052241983017,-0.506477729536799
2009,1320.0,-0.1914184116714291,-729.404968545572,0.03852282049517272,60.95496492242279,313.78485068914,3810.5266999999994,68.77604480000001,2323.2,58.1958948,546.8267000000001,10.58015,0.0,0.0,940.5,0.0,5930.0326371806495,0.45129624331664003,1500.0,1320.0,1113.7,0.0,0.0,264.0,3.0,264.0,62.96677807023253,75.0,75.0,245.00880588914004,0.0,2667.36869,208.65949888087226,3.4835482926131913,3.5248740442862814,1.161182764204397,3.524660589502843,14.333333333333334,-57.33966700589258,-0.0438234741663355
