weather_year,wind_MW [MW],NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Awpp [km2],Apvp [km2],Plant area [km2],Break-even PPA price [Euro/MWh],lifetime_years,price_added,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR [-],DSCR Avg [-],LLCR [-],DSCR Breach Years,Debt Headroom [MEuro],Debt Headroom [% of CAPEX]
1982,465.0,-0.1341311351333686,-187.7698568411011,0.0441410738432224,59.46361401046887,121.60188205977256,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2227.243295657833,0.5085030355383181,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,60.99792027246447,25.0,25.0,95.91796045977254,0.0,979.928334,76.65657765204107,1.251268493816181,1.251268493816181,1.2512684938161798,0.0,41.86620810998295,0.0299066213927722
1983,465.0,-0.2638876915013127,-369.41575127998186,0.0302779439468006,59.71269822215714,107.25676890909438,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2217.952622868723,0.5063818773672885,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,61.55088768139541,25.0,25.0,81.57284730909437,0.0,979.928334,76.65657765204107,1.06413369612415,1.06413369612415,1.064133696124149,25.0,-110.94936733649944,-0.0792553439275791
1984,465.0,-0.20461234759776914,-286.43633842472974,0.0367645043776092,58.98486040627663,113.80816842930707,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2245.3208285682226,0.5126303261571284,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,60.65433470589434,25.0,25.0,88.12424682930707,0.0,979.928334,76.65657765204107,1.1495979800888054,1.1495979800888054,1.1495979800888043,25.0,-41.15863950150981,-0.0294011782815301
1985,465.0,-0.014998812766309605,-20.99680229438243,0.055912784388204295,62.994732170276365,134.84953075907256,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2102.396995393416,0.4799993140167615,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,64.88541277879834,25.0,25.0,109.16560915907256,0.0,979.928334,76.65657765204107,1.4240866537845749,1.4240866537845749,1.424086653784573,0.0,182.99071776229405,0.1307172147076684
1986,465.0,-0.23063738492782468,-322.86872624348564,0.0339502557168311,61.014380686470176,110.92959463476905,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2170.634761023974,0.4955787125625511,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,62.61538300910966,25.0,25.0,85.24567303476903,0.0,979.928334,76.65657765204107,1.1120464237487293,1.1120464237487293,1.1120464237487284,25.0,-71.82350120437468,-0.0513062528132412
1987,465.0,-0.010223422392983197,-14.311744676191882,0.0563679908749072,61.18063969920102,135.36867306962168,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2164.7360389095693,0.4942319723537829,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,62.99881698123368,25.0,25.0,109.68475146962167,0.0,979.928334,76.65657765204107,1.430858966434711,1.430858966434711,1.4308589664347104,0.0,188.52103530610725,0.1346677304202483
1988,465.0,-0.30264790337600067,-423.6760796340533,0.0258559653701127,59.42899597506423,102.95453580016544,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2228.540689059804,0.5087992440775808,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,61.20867714823943,25.0,25.0,77.27061420016544,0.0,979.928334,76.65657765204107,1.0080102264793454,1.0080102264793454,1.0080102264793445,25.0,-156.78018242594362,-0.1119940345537151
1989,465.0,-0.20541529100824132,-287.5603769940444,0.0366944590015121,60.037377249033725,113.74774741619014,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2205.958049950184,0.5036433903995854,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,62.01243207916923,25.0,25.0,88.06382581619013,0.0,979.928334,76.65657765204107,1.148809776193359,1.148809776193359,1.148809776193358,25.0,-41.80229227660732,-0.0298609638872072
1990,465.0,-0.31434359103338416,-440.0488449498878,0.0245014817426543,61.24553623776792,101.6658266139196,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2162.4422574445684,0.4937082779553809,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,63.16304857519153,25.0,25.0,75.98190501391959,0.0,979.928334,76.65657765204107,0.9911987639053762,0.9911987639053764,0.9911987639053752,25.0,-170.50853951945453,-0.1218007210551972
1991,465.0,-0.04620975331474457,-64.68892368609804,0.0529073153883294,57.18047229750536,131.3775547231595,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2316.174216808279,0.5288068988146756,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,59.21403736442988,25.0,25.0,105.6936331231595,0.0,979.928334,76.65657765204107,1.378794049519445,1.3787940495194448,1.3787940495194435,0.0,146.00446256225268,0.1042965288863429
1992,465.0,-0.24549054467676956,-343.66162922551337,0.0323123552176733,61.16643576232368,109.27690519441504,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2165.2387292113594,0.4943467418290774,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,63.36874769451311,25.0,25.0,83.59298359441505,0.0,979.928334,76.65657765204107,1.090486767800405,1.090486767800405,1.0904867678004049,25.0,-89.42926598358656,-0.0638827187830968
1993,465.0,-0.24569313387579875,-343.945233363072,0.0322959381600529,60.810497640006375,109.26008875509866,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2177.9123799386834,0.4972402693923934,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,62.62305146799297,25.0,25.0,83.57616715509866,0.0,979.928334,76.65657765204107,1.090267394071086,1.0902673940710863,1.090267394071085,25.0,-89.60840809449928,-0.0640106867918664
1994,465.0,-0.3252097545898959,-455.26036145117934,0.023178887718131296,60.43172295492584,100.41473032587126,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2191.563125532344,0.500356877975421,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,62.2300596061368,25.0,25.0,74.73080872587126,0.0,979.928334,76.65657765204107,0.9748779689211896,0.9748779689211898,0.9748779689211888,25.0,-183.83621405146232,-0.1313211847959726
1995,465.0,-0.2604977850898563,-364.6702293625614,0.0306400890127347,59.64918803524146,107.60920573184931,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2220.3141401045536,0.506921036553551,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,61.67186736195432,25.0,25.0,81.92528413184932,0.0,979.928334,76.65657765204107,1.068731303186061,1.0687313031860612,1.0687313031860597,25.0,-107.19492947936192,-0.0765734064747977
1996,465.0,-0.04737708211573587,-66.32306449636322,0.0527942541677495,60.62181351922301,131.24944110190046,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2184.6910864586,0.4987879192827854,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,62.28376555904448,25.0,25.0,105.56551950190044,0.0,979.928334,76.65657765204107,1.37712278235382,1.3771227823538204,1.3771227823538188,0.0,144.6396941878529,0.1033216230397283
1997,465.0,-0.08811578229040398,-123.35307391277468,0.04878513404299979,59.11882280057591,126.70458570537126,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2240.232964163688,0.5114687132793808,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,61.12726281839067,25.0,25.0,101.02066410537124,0.0,979.928334,76.65657765204107,1.3178342576670128,1.317834257667013,1.3178342576670117,0.0,96.22427316980202,0.0687366503057573
1998,465.0,-0.22418499648742263,-313.8360430224513,0.0346583116208771,56.34417564328388,111.65277090605036,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2350.55237082324,0.5366557924253973,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,58.0843535009784,25.0,25.0,85.96884930605034,0.0,979.928334,76.65657765204107,1.1214803991939148,1.1214803991939148,1.121480399193914,25.0,-64.1196513368767,-0.0458031004702163
1999,465.0,-0.32089008550030573,-449.2132669734745,0.0237119628193289,58.49293959012622,100.91825258187409,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2264.2037922600525,0.5169415050822038,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,60.27957305128432,25.0,25.0,75.23433098187408,0.0,979.928334,76.65657765204107,0.9814465149145736,0.9814465149145736,0.9814465149145726,25.0,-178.4722937747132,-0.1274895329664988
2000,465.0,-0.35439107025836536,-496.1112158039384,0.0196999948975913,62.69942386465811,97.1995287683378,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2112.2990846978846,0.482260064999517,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,64.43730267314197,25.0,25.0,71.5156071683378,0.0,979.928334,76.65657765204107,0.9329350377858098,0.93293503778581,0.9329350377858088,25.0,-218.08710291027023,-0.1557878946249442
2001,465.0,-0.21911020086504526,-306.7318487086988,0.035203674620442,58.7626669290774,112.20507601152906,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2253.8108387804805,0.5145686846530777,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,60.47900417860335,25.0,25.0,86.52115441152905,0.0,979.928334,76.65657765204107,1.1286853269691377,1.1286853269691377,1.1286853269691364,25.0,-58.23605727740653,-0.0416002259346698
2002,465.0,-0.09950333336155007,-139.29447955490053,0.04765012623758011,55.74016109105008,125.4544135679959,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2376.023553718562,0.5424711309859731,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,57.45282187108854,25.0,25.0,99.7704919679959,0.0,979.928334,76.65657765204107,1.3015255184085224,1.3015255184085226,1.3015255184085208,0.0,82.90644342712471,0.059223219071638
2003,465.0,-0.22455440081081704,-314.35317125558885,0.0346027863526543,61.52979855175428,111.58485271728142,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2152.451962426032,0.4914273886817424,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,63.3371471383236,25.0,25.0,85.90093111728142,0.0,979.928334,76.65657765204107,1.1205943931804816,1.1205943931804816,1.1205943931804805,25.0,-64.84317000075816,-0.0463199373113857
2004,465.0,-0.26646938321042857,-373.0298553591469,0.0299721262452967,61.9464492449982,106.95045641863578,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2137.9746095954915,0.488122056985272,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,63.73961100549976,25.0,25.0,81.26653481863578,0.0,979.928334,76.65657765204107,1.0601377899691815,1.0601377899691815,1.0601377899691808,25.0,-114.21245205421484,-0.0815862891846439
2005,465.0,-0.31645373219071776,-443.0028265339032,0.0242394819315119,60.74278416387461,101.41659461327122,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2180.340224167196,0.4977945717276703,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,62.55181334788079,25.0,25.0,75.73267301327121,0.0,979.928334,76.65657765204107,0.9879474838680689,0.9879474838680689,0.987947483868068,25.0,-173.1635573780594,-0.1236973010769597
2006,465.0,-0.2406577871864796,-336.89626351681926,0.032857335763923,62.58496000340173,109.82907113327502,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2116.1623436877385,0.4831420875999402,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,64.72033544609583,25.0,25.0,84.14514953327502,0.0,979.928334,76.65657765204107,1.0976898801199555,1.0976898801199555,1.0976898801199546,25.0,-83.54715443782686,-0.0596809032633592
2007,465.0,-0.3213537931992076,-449.8624102775429,0.023670163784200702,58.839880317341205,100.87966077072664,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2250.853246575511,0.5138934352912126,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,60.6294400576113,25.0,25.0,75.19573917072663,0.0,979.928334,76.65657765204107,0.9809430772145156,0.9809430772145156,0.9809430772145146,25.0,-178.88340449695534,-0.1277832049581992
2008,465.0,-0.3657831636598901,-512.0589802435506,0.0183199291566489,64.61756363770142,95.94670726421262,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2049.5965521536514,0.4679444182999204,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,66.35473581454457,25.0,25.0,70.26278566421261,0.0,979.928334,76.65657765204107,0.9165917370215626,0.9165917370215628,0.9165917370215616,25.0,-231.4331558185784,-0.1653214867374218
2009,465.0,-0.1875422839118983,-262.5399968976307,0.0385923990325005,62.39754592064069,115.71723167853254,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2122.5183408469875,0.4845932285038784,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,64.45940986840743,25.0,25.0,90.03331007853254,0.0,979.928334,76.65657765204107,1.1745020823550332,1.1745020823550332,1.1745020823550325,25.0,-20.821776631917714,-0.0148737852928971
2010,465.0,0.020769968372278347,29.07582929182773,0.05929697284043,61.511435831683386,138.79880647265836,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2153.094523802103,0.4915740921922609,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,63.27477412299498,25.0,25.0,113.11488487265837,0.0,979.928334,76.65657765204107,1.475605725396567,1.475605725396567,1.475605725396566,0.0,225.06154944059995,0.160770006481331
2011,465.0,-0.31874077296443404,-446.2044494698716,0.023944879831335,63.76098616288004,101.13429205329795,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2077.131230405985,0.4742308745219144,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,65.38442875601507,25.0,25.0,75.45037045329795,0.0,979.928334,76.65657765204107,0.9842647919371208,0.984264791937121,0.98426479193712,25.0,-176.17086918516702,-0.1258455380366794
2012,465.0,-0.2863382215230861,-400.844194825201,0.0276965815851211,60.98099019056271,104.71825864086333,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2171.823304714034,0.4958500695694141,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,63.1076459998583,25.0,25.0,79.03433704086332,0.0,979.928334,76.65657765204107,1.0310183347815938,1.0310183347815935,1.0310183347815929,25.0,-137.99160139501532,-0.0985726380440702
2013,465.0,-0.19428178154821066,-271.9746035987,0.0378880036657676,59.85426306561186,114.99184535239648,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2212.7068124658417,0.5051842037593246,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,61.758720978250906,25.0,25.0,89.30792375239646,0.0,979.928334,76.65657765204107,1.1650392763134076,1.1650392763134076,1.1650392763134063,25.0,-28.54916976469724,-0.0203937554838454
2014,465.0,-0.2935906447136734,-410.996844788937,0.0268955068252245,59.72223314616102,103.95207210407432,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2217.5985167245094,0.5063010312156414,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,61.513350094757904,25.0,25.0,78.26815050407433,0.0,979.928334,76.65657765204107,1.0210232820378249,1.0210232820378249,1.0210232820378236,25.0,-146.15363088121865,-0.1044030854779356
2015,465.0,-0.33075374603455876,-463.02138187986327,0.022540748721169,61.43119634753011,99.8203527392956,1399.89762,25.6839216,818.4,20.498631600000003,267.99762000000004,5.185290000000001,0.0,0.0,313.5,0.0,2155.9068277159936,0.492216170711414,500.0,465.0,545.82,0.0,0.0,93.0,1.0,93.0,63.17518801564359,25.0,25.0,74.1364311392956,0.0,979.928334,76.65657765204107,0.9671241974278464,0.9671241974278464,0.9671241974278454,25.0,-190.1679977028696,-0.1358442181670896
