,Sud_Atlantique
clearance [m],27.0
sp [W/m2],343.0
p_rated [MW],15.0
Nwt,31.0
wind_MW_per_km2 [MW/km2],5.0
solar_MW [MW],545.82
surface_tilt [deg],10.2629
surface_azimuth [deg],180.0
DC_AC_ratio,1.0
b_P [MW],0.0
b_E_h [h],3.0
cost_of_battery_P_fluct_in_peak_price_ratio,3.0700000000000003
name,Sud_Atlantique
longitude,-1.7802
latitude,45.8912
altitude,100
NPV_over_CAPEX,-0.8189787324308646
NPV [MEuro],-1146.3276684221873
IRR,0.0
LCOE [Euro/MWh],62.79243547462991
Revenues [MEuro],53.01846017336062
CAPEX [MEuro],1399.703829939145
OPEX [MEuro],33.04083757057016
Wind CAPEX [MEuro],818.2062099391449
Wind OPEX [MEuro],27.85554757057016
PV CAPEX [MEuro],267.99762000000004
PV OPEX [MEuro],5.185290000000001
Batt CAPEX [MEuro],0.0
Batt OPEX [MEuro],0.0
Shared CAPEX [MEuro],313.5
Shared OPEX [MEuro],0.0
penalty lifetime [MEuro],0.0
Mean Annual Electricity Sold [GWh],2219.098581913196
GUF,0.5066435118523278
grid [MW],500.0
wind [MW],465.0
solar [MW],545.82
Battery Energy [MWh],0.0
Battery Power [MW],0.0
Total curtailment [GWh],2010.8585498968125
Total curtailment with deg [GWh],1762.422709131716
Awpp [km2],93.0
Apvp [km2],8.733120000000001
Plant area [km2],93.0
Rotor diam [m],235.96828103188196
Hub height [m],144.98414051594096
Number of batteries used in lifetime,0.0
Break-even PPA price [Euro/MWh],64.67929303433365
Capacity factor wind [-],0.4116941410029675
AEP [GWh],2330.3422181094875
AEP with degradation [GWh],2289.595490278465
design obj,NPV_over_CAPEX
opt time [min],9.19
n_model_evals,125
