,Sud_Atlantique_Solar
clearance [m],27.0
sp [W/m2],343.0
p_rated [MW],15.0
Nwt,0
wind_MW_per_km2 [MW/km2],5.0
solar_MW [MW],893.85
surface_tilt [deg],13.210321900956929
surface_azimuth [deg],180.0
DC_AC_ratio,1.0
b_P [MW],0.0
b_E_h [h],0.0
cost_of_battery_P_fluct_in_peak_price_ratio,3.418
name,Sud_Atlantique_Solar
longitude,-1.7802
latitude,45.8912
altitude,100
NPV_over_CAPEX,-0.8644175802835138
NPV [MEuro],-650.3708015998632
IRR,0.0
LCOE [Euro/MWh],64.46751258344048
Revenues [MEuro],16.069705351830073
CAPEX [MEuro],752.38035
OPEX [MEuro],8.491575
Wind CAPEX [MEuro],0.0
Wind OPEX [MEuro],0.0
PV CAPEX [MEuro],438.88035
PV OPEX [MEuro],8.491575
Batt CAPEX [MEuro],0.0
Batt OPEX [MEuro],0.0
Shared CAPEX [MEuro],313.5
Shared OPEX [MEuro],0.0
penalty lifetime [MEuro],0.0
Mean Annual Electricity Sold [GWh],972.972200922538
GUF,0.22213977190012285
grid [MW],500.0
wind [MW],0
solar [MW],893.85
Battery Energy [MWh],0.0
Battery Power [MW],0.0
Total curtailment [GWh],1257.9915323750004
Total curtailment with deg [GWh],755.9881661257637
Awpp [km2],0.0
Apvp [km2],14.3016
Plant area [km2],14.3016
Rotor diam [m],235.96828103188196
Hub height [m],144.98414051594096
Number of batteries used in lifetime,0.0
Break-even PPA price [Euro/MWh],66.59424979280212
Capacity factor wind [-],
AEP [GWh],1069.9397013900002
AEP with degradation [GWh],1003.2117275675687
design obj,NPV_over_CAPEX
opt time [min],6.48
n_model_evals,102
