,Thetys
clearance [m],27.0
sp [W/m2],343.0
p_rated [MW],15.0
Nwt,27.0
wind_MW_per_km2 [MW/km2],5.0
solar_MW [MW],643.0
surface_tilt [deg],4.479500000000001
surface_azimuth [deg],180.0
DC_AC_ratio,1.0
b_P [MW],1.0
b_E_h [h],1.0
cost_of_battery_P_fluct_in_peak_price_ratio,8.254
name,Thetys
longitude,4.193
latitude,52.542
altitude,100
NPV_over_CAPEX,-0.8034929144396158
NPV [MEuro],-1114.6230108467876
IRR,0.0
LCOE [Euro/MWh],59.15678392365113
Revenues [MEuro],52.804066924245326
CAPEX [MEuro],1387.2219540655997
OPEX [MEuro],31.491172732637953
Wind CAPEX [MEuro],712.6312151082875
Wind OPEX [MEuro],25.382664332637955
PV CAPEX [MEuro],360.723
PV OPEX [MEuro],6.1085
Batt CAPEX [MEuro],0.3677389573121834
Batt OPEX [MEuro],8.400000000000001e-06
Shared CAPEX [MEuro],313.5
Shared OPEX [MEuro],0.0
penalty lifetime [MEuro],0.0
Mean Annual Electricity Sold [GWh],2301.7116371292004
GUF,0.5255049399838357
grid [MW],500.0
wind [MW],405.0
solar [MW],643.0
Battery Energy [MWh],1.0
Battery Power [MW],1.0
Total curtailment [GWh],2066.011396610499
Total curtailment with deg [GWh],1750.1412849298918
Awpp [km2],81.0
Apvp [km2],10.288
Plant area [km2],81.0
Rotor diam [m],235.96828103188196
Hub height [m],144.98414051594096
Number of batteries used in lifetime,2.0
Break-even PPA price [Euro/MWh],60.91591069510305
Capacity factor wind [-],0.4833671208485471
AEP [GWh],2415.385195246475
AEP with degradation [GWh],2371.717268826396
design obj,NPV_over_CAPEX
opt time [min],8.62
n_model_evals,124
