time,WS_1,WS_50,WS_100,WS_150,WS_200,temp_air_1,ghi,dni,dhi,WP_150,WP_200,SP,Price
01-01-2012 00:00,2.5644,2.6323,2.6398,2.7295,2.7506,13.1917,0.0,0.0,0.0,0.0073,0.0076,0.0,48.95999999999998
01-01-2012 01:00,1.7723,1.659,1.6367,1.6762,1.6777,13.0939,0.0,0.0,0.0,0.0003,0.0003,0.0,48.95999999999998
01-01-2012 02:00,0.9461,0.7912,0.7652,0.7745,0.7688,13.0,0.0,0.0,0.0,0.0,0.0,0.0,48.95999999999998
01-01-2012 03:00,0.5308,0.5464,0.5482,0.567,0.5715,12.9959,0.0,0.0,0.0,0.0,0.0,0.0,48.95999999999998
01-01-2012 04:00,0.4419,0.6516,0.6968,0.748,0.7741,12.9398,0.0,0.0,0.0,0.0,0.0,0.0,48.95999999999998
01-01-2012 05:00,0.2943,0.6204,0.7067,0.7873,0.8365,12.9218,0.0,0.0,0.0,0.0,0.0,0.0,48.95999999999998
01-01-2012 06:00,0.4819,0.5912,0.6119,0.6445,0.658,12.9119,5.6603,2.2567,5.4588,0.0,0.0,0.0,48.95999999999998
01-01-2012 07:00,0.6407,0.5826,0.5719,0.5839,0.5832,12.947,62.7998,131.4752,40.3791,0.0,0.0,0.0647,48.758
01-01-2012 08:00,0.4585,0.5068,0.515,0.5366,0.5437,13.2143,189.6755,372.6556,89.453,0.0,0.0,0.2675,20.364
01-01-2012 09:00,0.3095,0.3968,0.4139,0.4379,0.4485,13.6353,318.299,511.5041,126.5139,0.0,0.0,0.437,10.469333333333331
01-01-2012 10:00,0.1738,0.3036,0.3345,0.3654,0.3829,13.8722,395.2769,519.7272,160.0676,0.0,0.0,0.5091,10.469333333333331
01-01-2012 11:00,0.6052,0.6716,0.6829,0.7119,0.7215,14.0879,422.4139,500.5586,178.7155,0.0,0.0,0.5268,10.469333333333331
01-01-2012 12:00,1.5638,1.4632,1.4435,1.4783,1.4796,14.2911,387.1951,419.8301,188.0039,0.0001,0.0001,0.4718,10.469333333333331
01-01-2012 13:00,2.425,2.2518,2.2184,2.27,2.2707,14.4844,286.3559,244.9992,182.7103,0.0025,0.0025,0.3203,10.469333333333331
01-01-2012 14:00,3.1564,3.0046,2.9732,3.0502,3.0568,14.5471,169.4943,111.3256,134.2769,0.0122,0.0123,0.1675,17.982666666666667
01-01-2012 15:00,3.6323,3.553,3.5328,3.6346,3.6497,14.6038,71.6559,49.6826,62.1652,0.0259,0.0264,0.0583,47.76933333333333
01-01-2012 16:00,3.8294,3.8944,3.899,4.0276,4.0558,14.7001,14.2223,12.4245,13.2236,0.038,0.0391,0.0,48.95999999999998
01-01-2012 17:00,3.8149,3.9747,3.9966,4.1387,4.1752,14.8232,0.0,0.0,0.0,0.0423,0.0437,0.0,48.95999999999998
01-01-2012 18:00,3.6941,3.8852,3.913,4.0562,4.0948,14.9233,0.0,0.0,0.0,0.0391,0.0406,0.0,48.95999999999998
01-01-2012 19:00,3.2908,3.5921,3.6418,3.7895,3.836,14.9755,0.0,0.0,0.0,0.0306,0.032,0.0,48.95999999999998
01-01-2012 20:00,2.7994,3.1582,3.2206,3.3628,3.4124,14.9593,0.0,0.0,0.0,0.0189,0.02,0.0,48.95999999999998
01-01-2012 21:00,2.4289,2.7545,2.8115,2.9372,2.9817,14.8791,0.0,0.0,0.0,0.0102,0.0108,0.0,48.95999999999998
01-01-2012 22:00,1.8307,1.7801,1.7682,1.818,1.8247,14.7403,0.0,0.0,0.0,0.0004,0.0004,0.0,48.95999999999998
01-01-2012 23:00,1.2649,0.9649,0.918,0.9205,0.9075,14.5099,0.0,0.0,0.0,0.0,0.0,0.0,48.95999999999998
02-01-2012 00:00,1.6282,0.3484,0.2646,0.2326,0.2088,14.2697,0.0,0.0,0.0,-0.0,-0.0,0.0,18.15
02-01-2012 01:00,1.2447,0.6746,0.6041,0.5846,0.5621,14.0943,0.0,0.0,0.0,0.0,0.0,0.0,18.15
02-01-2012 02:00,1.3969,1.1902,1.1548,1.1712,1.1642,13.9161,0.0,0.0,0.0,0.0,0.0,0.0,18.15
02-01-2012 03:00,1.3382,1.428,1.4419,1.4969,1.5128,13.6848,0.0,0.0,0.0,0.0001,0.0002,0.0,18.15
02-01-2012 04:00,1.3495,1.5069,1.5338,1.5998,1.6222,13.547,0.0,0.0,0.0,0.0002,0.0002,0.0,18.15
02-01-2012 05:00,1.4367,1.5461,1.5636,1.6246,1.6428,13.4546,0.0,0.0,0.0,0.0002,0.0003,0.0,18.17
02-01-2012 06:00,1.4888,1.6004,1.6181,1.6811,1.6998,13.3913,6.3564,5.2887,5.8743,0.0003,0.0003,0.0,18.203333333333333
02-01-2012 07:00,1.4017,1.5162,1.5347,1.5955,1.614,13.3721,53.4491,60.2142,43.7612,0.0002,0.0002,0.0426,18.095333333333333
02-01-2012 08:00,1.0712,1.2474,1.2792,1.34,1.3629,13.5942,134.5859,100.1421,110.9335,0.0001,0.0001,0.1353,16.849999999999998
02-01-2012 09:00,0.832,0.9059,0.918,0.955,0.9665,14.003,219.9867,119.3452,174.0197,0.0,0.0,0.2152,16.38133333333333
02-01-2012 10:00,1.3196,1.2863,1.2782,1.3146,1.3197,14.3264,284.4949,150.3251,216.0733,0.0001,0.0001,0.284,14.723999999999998
02-01-2012 11:00,1.1771,1.2067,1.2099,1.2508,1.2603,14.5306,296.4969,134.2255,230.9454,0.0001,0.0001,0.2868,14.723999999999998
02-01-2012 12:00,1.0345,1.0468,1.0471,1.081,1.0882,14.6899,302.7992,178.2551,219.7312,0.0,0.0,0.3111,14.723999999999998
02-01-2012 13:00,1.053,1.0256,1.019,1.0479,1.0519,14.8589,279.7436,230.7024,185.1348,0.0,0.0,0.3102,16.100666666666665
02-01-2012 14:00,1.125,1.0733,1.0625,1.0903,1.0928,14.9369,200.8,250.0788,128.4841,0.0,0.0,0.2481,16.849999999999998
02-01-2012 15:00,1.3787,1.3314,1.3208,1.357,1.3613,14.9969,101.8264,228.9355,61.3631,0.0001,0.0001,0.1356,17.619999999999997
02-01-2012 16:00,1.885,1.8447,1.8344,1.8873,1.8952,14.9922,22.4662,89.333,14.1277,0.0005,0.0005,0.0,18.15
02-01-2012 17:00,2.0501,2.0715,2.0716,2.1385,2.1525,15.0286,0.0,0.0,0.0,0.0015,0.0016,0.0,18.15
02-01-2012 18:00,2.0173,2.0549,2.0579,2.1261,2.1413,15.0254,0.0,0.0,0.0,0.0014,0.0015,0.0,18.15
02-01-2012 19:00,1.9795,2.1021,2.1208,2.2006,2.2231,14.9963,0.0,0.0,0.0,0.002,0.0021,0.0,18.15
02-01-2012 20:00,2.2085,2.3583,2.3816,2.4726,2.499,14.9361,0.0,0.0,0.0,0.0039,0.0041,0.0,18.15
02-01-2012 21:00,2.6099,2.7824,2.8091,2.916,2.9467,14.9799,0.0,0.0,0.0,0.0099,0.0103,0.0,18.15
02-01-2012 22:00,3.9513,4.0338,4.0413,4.1762,4.2067,14.6794,0.0,0.0,0.0,0.0437,0.0449,0.0,18.15
02-01-2012 23:00,4.3794,4.517,4.5337,4.6901,4.7279,14.5515,0.0,0.0,0.0,0.0651,0.0669,0.0,18.15
03-01-2012 00:00,4.6416,4.7484,4.759,4.9189,4.9556,14.5975,0.0,0.0,0.0,0.076,0.0778,0.0,33.488
03-01-2012 01:00,4.4214,4.5921,4.6148,4.7773,4.8183,14.7923,0.0,0.0,0.0,0.0693,0.0712,0.0,33.488
03-01-2012 02:00,3.3761,3.6549,3.7,3.8469,3.8917,14.8113,0.0,0.0,0.0,0.0323,0.0337,0.0,33.488
03-01-2012 03:00,3.3294,3.6347,3.685,3.8346,3.8817,14.6468,0.0,0.0,0.0,0.032,0.0334,0.0,33.488
03-01-2012 04:00,4.871,5.1382,5.1778,5.3688,5.421,14.1342,0.0,0.0,0.0,0.1014,0.1044,0.0,33.488
03-01-2012 05:00,5.5214,5.9226,5.9859,6.2175,6.2858,13.7982,0.0,0.0,0.0,0.1619,0.1676,0.0,33.488
03-01-2012 06:00,5.752,5.9682,5.9966,6.2072,6.26,13.7234,4.4209,0.2934,4.395,0.1611,0.1654,0.0,32.49466666666666
03-01-2012 07:00,5.3988,5.6038,5.6308,5.8288,5.8786,13.4058,36.6622,9.2634,35.0842,0.132,0.1355,0.018,32.49466666666666
03-01-2012 08:00,5.0826,5.1533,5.1567,5.3251,5.3613,13.4726,85.4239,13.8657,82.2941,0.0989,0.101,0.0614,31.30533333333333
03-01-2012 09:00,5.1969,5.1885,5.1778,5.3383,5.3685,13.6665,125.6268,9.5666,122.0573,0.0996,0.1014,0.0926,28.930666666666667
03-01-2012 10:00,5.6742,5.8173,5.8325,6.0299,6.0758,13.2517,167.8658,15.3439,160.6908,0.1464,0.1502,0.1298,28.930666666666667
03-01-2012 11:00,5.7143,5.8005,5.8054,5.9957,6.037,13.2105,215.7325,35.5248,198.2481,0.1437,0.147,0.1788,28.930666666666667
03-01-2012 12:00,5.764,5.8077,5.805,5.9906,6.0286,13.1587,254.527,79.0304,217.6388,0.1433,0.1463,0.2321,28.930666666666667
03-01-2012 13:00,5.4939,5.4916,5.4814,5.652,5.6845,13.2406,213.7227,70.3669,183.2009,0.1197,0.1219,0.1917,31.125333333333334
03-01-2012 14:00,5.3638,5.3078,5.2885,5.4474,5.4747,13.1717,136.4604,46.7375,123.4018,0.106,0.1076,0.1179,31.164666666666665
03-01-2012 15:00,5.2473,5.1181,5.0864,5.2314,5.252,13.2657,74.3711,57.1545,65.0515,0.0934,0.0946,0.0649,32.49466666666666
03-01-2012 16:00,5.7752,5.6542,5.6229,5.7855,5.8098,13.3004,17.4173,26.6053,15.2215,0.129,0.1307,0.0,33.488
03-01-2012 17:00,6.2513,6.227,6.2115,6.4025,6.4377,13.339,0.0,0.0,0.0,0.1772,0.1801,0.0,33.488
03-01-2012 18:00,6.1974,6.3097,6.3185,6.5276,6.574,13.4117,0.0,0.0,0.0,0.1879,0.1923,0.0,33.488
03-01-2012 19:00,6.1216,6.3754,6.4099,6.6376,6.6959,13.5294,0.0,0.0,0.0,0.1984,0.204,0.0,33.488
03-01-2012 20:00,5.9328,6.3915,6.4648,6.718,6.7939,13.5732,0.0,0.0,0.0,0.2062,0.2134,0.0,33.488
03-01-2012 21:00,5.873,6.4095,6.4979,6.7614,6.8443,13.6167,0.0,0.0,0.0,0.2103,0.2183,0.0,33.488
03-01-2012 22:00,5.3462,5.8885,5.9794,6.2278,6.3085,13.6478,0.0,0.0,0.0,0.1628,0.1694,0.0,33.488
03-01-2012 23:00,5.0849,5.6984,5.8042,6.0562,6.1425,13.6041,0.0,0.0,0.0,0.1486,0.1557,0.0,33.488
04-01-2012 00:00,4.9205,5.6009,5.7207,5.9787,6.0708,13.5481,0.0,0.0,0.0,0.1425,0.1498,0.0,17.037999999999997
04-01-2012 01:00,4.7435,5.5253,5.6665,5.9362,6.0379,13.4273,0.0,0.0,0.0,0.1395,0.1471,0.0,17.037999999999997
04-01-2012 02:00,4.5221,5.2703,5.4055,5.6632,5.7604,13.3675,0.0,0.0,0.0,0.1204,0.1272,0.0,17.037999999999997
04-01-2012 03:00,4.068,4.7218,4.8395,5.0681,5.1535,13.2656,0.0,0.0,0.0,0.0839,0.0889,0.0,17.037999999999997
04-01-2012 04:00,3.7053,4.1865,4.2704,4.4596,4.5258,13.1081,0.0,0.0,0.0,0.0545,0.0573,0.0,17.037999999999997
04-01-2012 05:00,3.3579,3.486,3.5029,3.6262,3.6572,12.8959,0.0,0.0,0.0,0.0257,0.0266,0.0,17.037999999999997
04-01-2012 06:00,3.5077,3.4111,3.3882,3.4837,3.4966,12.8899,7.7879,20.1979,6.0485,0.0215,0.0218,0.0,16.855999999999998
04-01-2012 07:00,3.7485,4.0217,4.0649,4.2222,4.2687,12.9103,73.6447,214.0801,36.9668,0.0454,0.0472,0.0894,16.602666666666664
04-01-2012 08:00,3.2999,3.8133,3.9053,4.0878,4.1554,13.0145,202.7623,458.5981,82.7025,0.0403,0.0429,0.3076,15.435333333333332
04-01-2012 09:00,2.8982,3.0036,3.0172,3.1228,3.1491,13.4504,337.8951,592.1703,113.0427,0.0137,0.0143,0.4787,12.285999999999998
04-01-2012 10:00,2.4533,2.5454,2.5574,2.6472,2.6697,13.5992,431.3712,653.7235,133.1092,0.0061,0.0065,0.5819,9.127333333333333
04-01-2012 11:00,3.4264,3.4766,3.4793,3.5932,3.6178,14.0448,463.7299,644.7305,147.2726,0.0247,0.0254,0.6093,9.109333333333332
04-01-2012 12:00,5.478,5.5806,5.589,5.7743,5.8155,14.4414,421.8103,535.5146,164.9397,0.1282,0.1311,0.5443,9.109333333333332
04-01-2012 13:00,7.1227,7.4245,7.4659,7.7318,7.8002,14.6375,330.0681,398.7203,164.3349,0.3172,0.3257,0.4202,10.212666666666667
04-01-2012 14:00,8.3946,8.9657,9.0547,9.4008,9.501,14.6758,217.0243,285.4161,125.9147,0.552,0.567,0.2725,13.152
04-01-2012 15:00,9.5083,10.4883,10.653,11.0973,11.2422,14.499,95.1974,149.5733,66.9307,0.7733,0.7866,0.108,16.25733333333333
04-01-2012 16:00,9.7906,10.9862,11.1926,11.6802,11.8476,14.3165,19.7791,45.8242,15.8332,0.8224,0.8339,0.0,17.037999999999997
04-01-2012 17:00,9.4695,10.6231,10.8223,11.2933,11.455,14.3154,0.0,0.0,0.0,0.7913,0.806,0.0,17.037999999999997
04-01-2012 18:00,8.7565,9.8543,10.0447,10.4853,10.6379,14.4117,0.0,0.0,0.0,0.7048,0.7227,0.0,17.037999999999997
