time,WS_1,WS_50,WS_100,WS_150,WS_200,temp_air_1,ghi,dni,dhi,WP_150,WP_200,SP,Price
01-01-2012 00:00,1.9349,7.335,9.2501,10.9922,11.4688,13.1612,0.0,0.0,0.0,0.8988,0.8995,0.0,22.955
01-01-2012 01:00,1.857,7.0737,8.9282,10.6149,11.079,13.161,0.0,0.0,0.0,0.8973,0.8988,0.0,22.955
01-01-2012 02:00,1.8506,7.0046,8.8311,10.4926,10.9462,13.1699,0.0,0.0,0.0,0.8981,0.8992,0.0,22.955
01-01-2012 03:00,1.9226,7.2596,9.1486,10.8672,11.335,13.1786,0.0,0.0,0.0,0.8991,0.8996,0.0,22.955
01-01-2012 04:00,1.8828,7.0836,8.921,10.5928,11.0458,13.1726,0.0,0.0,0.0,0.899,0.8995,0.0,22.955
01-01-2012 05:00,1.8748,7.1228,8.986,10.6808,11.1456,13.1852,0.0,0.0,0.0,0.8988,0.8995,0.0,22.955
01-01-2012 06:00,2.0119,7.5139,9.4507,11.2133,11.6865,13.2187,0.0,0.0,0.0,0.8984,0.8992,0.0,22.955
01-01-2012 07:00,2.1643,7.9441,9.9612,11.7977,12.2799,13.2333,0.0726,0.0,0.0726,0.8976,0.899,0.0,22.955
01-01-2012 08:00,2.2923,7.9285,9.8374,11.5796,12.0004,13.2401,9.1781,0.0,9.1781,0.8977,0.899,0.0,21.012
01-01-2012 09:00,2.3175,7.8909,9.7636,11.474,11.8772,13.1987,34.5974,0.0,34.5974,0.8984,0.8993,0.0146,10.183
01-01-2012 10:00,2.5488,7.8914,9.6012,11.1725,11.4845,13.3085,55.1293,0.0,55.1293,0.8846,0.893,0.0305,8.8
01-01-2012 11:00,2.4427,8.3001,10.2663,12.0622,12.4842,13.3369,59.8023,0.0,59.8023,0.8933,0.8971,0.0339,8.8
01-01-2012 12:00,3.0558,9.1931,11.128,12.9107,13.2433,13.3336,56.6211,0.0,56.6211,0.8954,0.898,0.0313,8.8
01-01-2012 13:00,2.548,8.6761,10.7353,12.6159,13.0593,13.3255,69.5945,0.1398,69.5501,0.8958,0.8983,0.0418,10.183
01-01-2012 14:00,2.6958,8.8821,10.9263,12.7966,13.2144,13.3835,82.6681,4.7385,81.5332,0.8967,0.8986,0.055,12.779
01-01-2012 15:00,2.6085,8.5698,10.5367,12.3367,12.7367,13.4184,62.9629,18.2086,60.3243,0.8918,0.8965,0.0452,22.955
01-01-2012 16:00,2.3067,7.746,9.5608,11.2196,11.602,13.3855,25.0864,13.6098,23.5383,0.8798,0.8906,0.0047,23.287
01-01-2012 17:00,2.0794,7.5898,9.5075,11.2538,11.709,13.3208,1.6534,0.0,1.6534,0.8837,0.8924,0.0,23.902
01-01-2012 18:00,2.2812,8.1505,10.1713,12.0128,12.4791,13.2673,0.0,0.0,0.0,0.8789,0.89,0.0,23.287
01-01-2012 19:00,2.1977,8.0727,10.1238,11.9912,12.4821,13.2358,0.0,0.0,0.0,0.8272,0.859,0.0,23.143
01-01-2012 20:00,2.3989,8.6114,10.7554,12.7089,13.2068,13.324,0.0,0.0,0.0,0.6861,0.7499,0.0,22.955
01-01-2012 21:00,2.5087,8.9555,11.1742,13.1962,13.7076,13.076,0.0,0.0,0.0,0.6657,0.733,0.0,22.955
01-01-2012 22:00,2.3813,8.9307,11.241,13.3432,13.9106,12.5589,0.0,0.0,0.0,0.7132,0.7683,0.0,22.955
01-01-2012 23:00,2.3204,8.9938,11.3867,13.5623,14.1734,12.5388,0.0,0.0,0.0,0.7859,0.8277,0.0,22.955
02-01-2012 00:00,2.4443,9.2772,11.7019,13.9074,14.5116,12.381,0.0,0.0,0.0,0.8705,0.8852,0.0,22.301
02-01-2012 01:00,2.4974,9.2825,11.6653,13.8339,14.4127,12.156,0.0,0.0,0.0,0.8839,0.8922,0.0,22.301
02-01-2012 02:00,2.4399,8.9995,11.2942,13.3832,13.9353,12.0491,0.0,0.0,0.0,0.863,0.8811,0.0,22.301
02-01-2012 03:00,2.4315,8.8469,11.0759,13.106,13.6329,12.1228,0.0,0.0,0.0,0.8578,0.8771,0.0,22.301
02-01-2012 04:00,2.4946,8.8286,10.9989,12.9776,13.472,11.8534,0.0,0.0,0.0,0.8126,0.8453,0.0,22.301
02-01-2012 05:00,2.6733,9.1808,11.3769,13.3818,13.8609,11.524,0.0,0.0,0.0,0.7215,0.7694,0.0,22.301
02-01-2012 06:00,2.6083,8.9065,11.0259,12.9613,13.4196,11.2855,0.0,0.0,0.0,0.6132,0.6634,0.0,22.301
02-01-2012 07:00,2.2336,8.2576,10.3674,12.2879,12.7969,11.2638,0.238,0.0,0.238,0.5044,0.551,0.0,22.749
02-01-2012 08:00,1.6549,6.2023,7.8058,9.2649,9.6584,11.0461,24.902,95.1313,16.9915,0.5086,0.5543,0.0,22.749
02-01-2012 09:00,1.6106,5.723,7.135,8.4221,8.7455,10.6399,97.9159,256.755,56.1214,0.5896,0.6364,0.1753,21.295
02-01-2012 10:00,1.865,7.3309,9.3046,11.0986,11.6106,11.1127,169.4542,258.9016,106.3323,0.5683,0.6151,0.2618,19.985
02-01-2012 11:00,2.1202,7.6705,9.5935,11.3451,11.7963,11.0653,186.9498,131.4385,145.7587,0.6995,0.7393,0.2161,19.985
02-01-2012 12:00,2.2558,7.2891,8.9356,10.4441,10.7697,11.1324,200.1749,107.1371,162.2955,0.8529,0.8698,0.2144,19.985
