time;WS_1;WS_50;WS_100;WS_150;WS_200;temp_air_1;GHI;DNI;DHI;WP_150;WP_200;SP;Price
01-01-2012 00:00;9.201;14.958;16.303;17.1451;17.7689;14.2325;0.0;0.0;0.0;0.8998;0.8999;0.0;22.955
01-01-2012 01:00;9.1691;14.9363;16.2851;17.1299;17.7558;14.1693;0.0;0.0;0.0;0.8998;0.8999;0.0;22.955
01-01-2012 02:00;8.9471;14.7345;16.0961;16.9503;17.5836;14.1563;0.0;0.0;0.0;0.8998;0.8999;0.0;22.955
01-01-2012 03:00;8.8292;14.3306;15.6147;16.4186;17.0139;14.1657;0.0;0.0;0.0;0.8996;0.8998;0.0;22.955
01-01-2012 04:00;8.6289;13.8814;15.1014;15.8642;16.4287;14.1508;0.0;0.0;0.0;0.8993;0.8996;0.0;22.955
01-01-2012 05:00;8.5317;13.5327;14.6853;15.4045;15.9361;14.1011;0.0;0.0;0.0;0.8989;0.8994;0.0;22.955
01-01-2012 06:00;7.936;13.0175;14.2105;14.9584;15.5128;14.0608;0.0;0.0;0.0;0.8982;0.899;0.0;22.955
01-01-2012 07:00;7.8586;12.7239;13.8581;14.5678;15.0933;14.0367;9.273;39.0508;7.0736;0.8971;0.8985;0.0;22.955
01-01-2012 08:00;7.2637;12.3511;13.5692;14.3368;14.9075;13.9926;69.8403;223.3072;36.3397;0.8962;0.8981;0.1135;21.012
01-01-2012 09:00;6.8323;11.735;12.9153;13.6601;14.2144;13.9779;176.1028;418.2018;77.6623;0.8913;0.8956;0.3161;10.183
01-01-2012 10:00;6.5632;11.1527;12.2512;12.9433;13.4579;14.0683;263.5634;452.674;116.3514;0.8799;0.889;0.4267;8.8
01-01-2012 11:00;6.4323;10.7333;11.7525;12.3931;12.8686;14.0997;323.9178;492.9154;133.7499;0.862;0.8777;0.5016;8.8
01-01-2012 12:00;6.0006;9.7502;10.626;11.1743;11.5804;14.1435;332.5305;480.8746;141.6445;0.7804;0.8156;0.5051;8.8
01-01-2012 13:00;5.6126;8.9909;9.7738;10.263;10.6249;14.2052;297.3768;461.2614;131.3004;0.675;0.7212;0.4634;10.183
01-01-2012 14:00;5.3247;8.4946;9.2276;9.6853;10.0237;14.2608;234.3025;484.3811;94.3926;0.5939;0.6429;0.4033;12.779
01-01-2012 15:00;4.6196;7.4846;8.1527;8.5708;8.8804;14.3218;126.3752;358.3045;58.1562;0.4294;0.4744;0.2316;22.955
01-01-2012 16:00;3.7244;5.9769;6.4993;6.8259;7.0675;14.3529;33.5812;128.4969;19.9863;0.2165;0.2407;0.0;23.287
01-01-2012 17:00;3.19;4.8649;5.2427;5.4771;5.6498;14.2309;0.7723;0.0;0.7723;0.1077;0.1195;0.0;23.902
01-01-2012 18:00;3.0991;4.6136;4.9506;5.1591;5.3123;14.0773;0.0;0.0;0.0;0.0892;0.0981;0.0;23.287
01-01-2012 19:00;3.3249;5.5113;6.0276;6.3518;6.5923;14.0161;0.0;0.0;0.0;0.173;0.1941;0.0;23.143
01-01-2012 20:00;3.9349;6.7686;7.4514;7.8823;8.2031;14.1085;0.0;0.0;0.0;0.3359;0.3783;0.0;22.955
01-01-2012 21:00;4.6377;7.7178;8.4466;8.9045;9.2443;14.1533;0.0;0.0;0.0;0.4779;0.5285;0.0;22.955
01-01-2012 22:00;6.2422;8.1149;8.501;8.7354;8.9056;13.9391;0.0;0.0;0.0;0.4533;0.478;0.0;22.955
01-01-2012 23:00;6.6318;8.5575;8.9529;9.1926;9.3665;13.8249;0.0;0.0;0.0;0.5207;0.5468;0.0;22.955
02-01-2012 00:00;6.4863;8.3154;8.6896;8.9162;9.0806;13.8177;0.0;0.0;0.0;0.4796;0.5039;0.0;22.301
02-01-2012 01:00;6.28;8.5891;9.0791;9.3785;9.597;13.9789;0.0;0.0;0.0;0.5487;0.581;0.0;22.301
02-01-2012 02:00;6.0877;8.8973;9.5161;9.8979;10.178;14.2152;0.0;0.0;0.0;0.6248;0.6636;0.0;22.301
02-01-2012 03:00;6.0985;8.9873;9.6265;10.0212;10.3111;14.4057;0.0;0.0;0.0;0.6426;0.6815;0.0;22.301
02-01-2012 04:00;5.619;8.2049;8.7741;9.1252;9.3828;14.4005;0.0;0.0;0.0;0.5106;0.5493;0.0;22.301
02-01-2012 05:00;4.4433;6.3583;6.7751;7.0315;7.2193;14.1863;0.0;0.0;0.0;0.2367;0.2575;0.0;22.301
02-01-2012 06:00;2.8811;4.2034;4.4944;4.6738;4.8055;13.9556;0.0;0.0;0.0;0.0643;0.0706;0.0;22.301
02-01-2012 07:00;3.8874;4.4546;4.5634;4.6283;4.6749;13.7885;7.0706;6.997;6.6585;0.0622;0.0644;0.0;22.749
02-01-2012 08:00;6.1093;7.3817;7.6333;7.7845;7.8935;13.5222;40.3586;18.516;38.0216;0.3237;0.3372;0.0246;22.749
02-01-2012 09:00;7.9722;10.1605;10.6067;10.8767;11.0724;13.2723;92.0914;23.6905;86.665;0.7502;0.771;0.0717;21.295
