time;WS_1;WS_50;WS_100;WS_150;WS_200;temp_air_1;GHI;DNI;DHI;WP_150;WP_200;SP;Price
1993-01-01 00:00:00;0.8883;3.3572;4.2315;5.0269;5.2436;8.3766;0.0;0.0;0.0;0.0238;0.0277;0.0;73.477
1993-01-01 01:00:00;0.9896;3.4882;4.3427;5.1218;5.3153;8.2894;0.0;0.0;0.0;0.0285;0.0322;0.0;73.477
1993-01-01 02:00:00;1.0;3.4621;4.2964;5.0578;5.242;8.1093;0.0;0.0;0.0;0.0313;0.0349;0.0;73.477
1993-01-01 03:00:00;0.9691;3.3992;4.2281;4.984;5.1705;7.8376;0.0;0.0;0.0;0.0315;0.0349;0.0;73.477
1993-01-01 04:00:00;0.9604;3.4379;4.2917;5.0698;5.2673;7.5278;0.0;0.0;0.0;0.0285;0.0317;0.0;73.477
1993-01-01 05:00:00;1.0604;3.6929;4.5876;5.4039;5.6031;7.1955;0.0;0.0;0.0;0.0243;0.0274;0.0;73.477
1993-01-01 06:00:00;1.1185;3.5899;4.3956;5.1341;5.2914;6.8014;0.0;0.0;0.0;0.0249;0.0274;0.0;73.477
1993-01-01 07:00:00;1.1658;3.5148;4.2562;4.9392;5.0672;6.4269;0.1587;0.0;0.1587;0.0308;0.0331;0.0;71.335
1993-01-01 08:00:00;1.1619;3.5486;4.3071;5.0049;5.1395;6.0511;15.5058;6.7601;14.9761;0.0409;0.0439;0.0;40.1
1993-01-01 09:00:00;1.2617;3.7838;4.5776;5.3091;5.4446;5.6209;65.8303;36.1246;59.1641;0.0426;0.0457;0.0581;33.247
1993-01-01 10:00:00;1.3876;4.036;4.8564;5.6147;5.7451;5.925;138.0936;92.0888;113.1733;0.0448;0.0484;0.1527;28.834
1993-01-01 11:00:00;1.471;4.1713;4.9966;5.7616;5.8844;5.7819;211.1437;197.8649;145.1962;0.0211;0.0229;0.2789;28.834
1993-01-01 12:00:00;1.5361;4.3077;5.1499;5.9315;6.0529;5.7203;258.6389;315.2066;147.5914;0.0099;0.0105;0.3868;28.834
1993-01-01 13:00:00;1.5906;4.5163;5.4112;6.2405;6.3741;5.6884;242.4886;299.9758;140.6776;0.0116;0.0125;0.3625;32.702
1993-01-01 14:00:00;1.6434;4.8686;5.8773;6.8079;6.9754;5.5904;184.5101;238.6411;118.6452;0.0314;0.033;0.2757;33.856
1993-01-01 15:00:00;1.475;5.4341;6.8183;8.0785;8.411;5.3524;114.5589;246.1189;71.5588;0.0628;0.066;0.2035;70.849
1993-01-01 16:00:00;1.5024;6.2488;8.0109;9.6115;10.0968;5.0485;40.165;130.9267;24.9705;0.0968;0.1019;0.0431;73.477
1993-01-01 17:00:00;1.6248;6.768;8.6787;10.4143;10.9413;4.7263;2.7331;3.5392;2.601;0.1296;0.1371;0.0;73.477
1993-01-01 18:00:00;1.6474;6.7489;8.6289;10.3368;10.8466;4.3061;0.0;0.0;0.0;0.1362;0.1444;0.0;73.477
1993-01-01 19:00:00;1.6054;6.5547;8.3755;10.0297;10.5218;3.8235;0.0;0.0;0.0;0.125;0.1331;0.0;73.477
1993-01-01 20:00:00;1.5454;6.351;8.1247;9.736;10.2185;3.3699;0.0;0.0;0.0;0.1192;0.1271;0.0;73.477
1993-01-01 21:00:00;1.4706;6.1127;7.8355;9.4005;9.8747;3.0055;0.0;0.0;0.0;0.1124;0.1202;0.0;73.477
1993-01-01 22:00:00;1.2999;5.8273;7.5704;9.1538;9.6692;2.6601;0.0;0.0;0.0;0.0894;0.0955;0.0;73.477
1993-01-01 23:00:00;1.0988;5.3197;7.0057;8.5388;9.0706;2.5198;0.0;0.0;0.0;0.089;0.0949;0.0;73.477
1993-01-02 00:00:00;0.985;4.6372;6.0768;7.3852;7.8291;2.4006;0.0;0.0;0.0;0.1057;0.1125;0.0;73.477
1993-01-02 01:00:00;0.8925;4.2366;5.56;6.763;7.1739;2.3762;0.0;0.0;0.0;0.1322;0.1403;0.0;73.477
1993-01-02 02:00:00;0.7668;3.8743;5.141;6.2938;6.7069;2.3937;0.0;0.0;0.0;0.1715;0.182;0.0;73.477
1993-01-02 03:00:00;0.6445;3.4017;4.549;5.5943;5.9807;2.3641;0.0;0.0;0.0;0.2016;0.2146;0.0;73.477
1993-01-02 04:00:00;0.6001;2.8909;3.8039;4.6339;4.9207;2.2947;0.0;0.0;0.0;0.2188;0.232;0.0;73.477
1993-01-02 05:00:00;0.6977;2.822;3.5999;4.3066;4.5148;2.1896;0.0;0.0;0.0;0.2373;0.2529;0.0;73.477
1993-01-02 06:00:00;0.7;3.0518;3.9451;4.7565;5.0139;2.0568;0.0;0.0;0.0;0.2578;0.2741;0.0;73.477
1993-01-02 07:00:00;0.6803;3.3702;4.4566;5.4449;5.7939;1.9648;0.3818;0.0;0.3818;0.246;0.2619;0.0;73.477
1993-01-02 08:00:00;0.69;3.7406;5.026;6.1981;6.6392;1.8794;31.2714;156.1353;15.6399;0.2207;0.2338;0.0;71.895
1993-01-02 09:00:00;0.8459;4.0795;5.3689;6.5413;6.9468;1.8699;119.8448;415.3671;48.4631;0.2218;0.235;0.2681;45.573
1993-01-02 10:00:00;0.9072;3.9856;5.1592;6.2253;6.566;1.819;225.083;567.25;76.3776;0.2156;0.2286;0.4596;45.573
1993-01-02 11:00:00;1.2386;3.7915;4.6036;5.3507;5.4955;2.2021;298.907;632.1145;92.4081;0.1517;0.1613;0.5696;45.573
1993-01-02 12:00:00;1.3913;4.0315;4.8477;5.6024;5.7309;2.641;332.4359;664.2941;97.6905;0.0966;0.1019;0.617;45.573
1993-01-02 13:00:00;1.5133;4.3983;5.2917;6.1174;6.2591;3.0474;318.3702;666.7321;93.0278;0.0755;0.0794;0.6008;57.981
1993-01-02 14:00:00;1.5348;4.764;5.7988;6.7496;6.9394;3.4881;253.3135;608.5207;81.0077;0.0832;0.0881;0.504;71.895
1993-01-02 15:00:00;1.4193;5.6273;7.1532;8.54;8.9397;3.9483;151.6051;474.3281;57.7764;0.1313;0.1384;0.3278;73.477
1993-01-02 16:00:00;1.4336;6.4457;8.3781;10.1336;10.7064;4.318;50.4787;206.8115;24.2653;0.211;0.2236;0.0711;73.477
1993-01-02 17:00:00;1.5431;6.9398;9.0207;10.9111;11.528;4.5182;3.4737;14.4698;2.9237;0.2502;0.2665;0.0;73.477
1993-01-02 18:00:00;1.5668;7.0933;9.2312;11.1734;11.811;4.5497;0.0;0.0;0.0;0.269;0.286;0.0;73.477
1993-01-02 19:00:00;1.5808;7.1803;9.3499;11.321;11.9699;4.4082;0.0;0.0;0.0;0.274;0.2915;0.0;73.477
1993-01-02 20:00:00;1.5684;7.1339;9.2916;11.252;11.8982;4.1378;0.0;0.0;0.0;0.2758;0.2937;0.0;73.477
