time;WS_1;WS_50;WS_100;WS_150;WS_200;temp_air_1;GHI;DNI;DHI;WP_150;WP_200;SP;Price
01-01-2014 00:00;6.4452;10.582;11.5351;12.0143;12.5485;7.729;0.0;0.0;0.0;0.8449;0.8683;0.0;20.167
01-01-2014 01:00;7.6002;11.4692;12.3168;12.7168;13.2001;7.825;0.0;0.0;0.0;0.8732;0.8848;0.0;20.167
01-01-2014 02:00;7.4789;11.3046;12.1435;12.54;13.0181;7.8191;0.0;0.0;0.0;0.868;0.8819;0.0;20.167
01-01-2014 03:00;7.0084;11.4547;12.4764;12.9885;13.5615;7.6007;0.0;0.0;0.0;0.8812;0.8903;0.0;20.167
01-01-2014 04:00;6.9818;11.8439;12.9856;13.5709;14.2084;7.1575;0.0;0.0;0.0;0.8904;0.8955;0.0;20.167
01-01-2014 05:00;7.3433;12.1193;13.2231;13.7798;14.3979;6.8393;0.0;0.0;0.0;0.8924;0.8965;0.0;20.167
01-01-2014 06:00;7.4733;12.4347;13.5867;14.1706;14.8152;6.6451;0.0;0.0;0.0;0.8954;0.8978;0.0;18.682000000000002
01-01-2014 07:00;7.5761;12.4263;13.5431;14.1042;14.7302;6.5551;0.0;0.0;0.0;0.895;0.8976;0.0;18.433999999999997
01-01-2014 08:00;7.8077;12.5692;13.6536;14.1918;14.8013;6.5964;12.6422;9.7922;97.922;0.8955;0.8978;0.0;18.305999999999997
01-01-2014 09:00;7.7436;12.3867;13.4402;13.9607;14.5535;6.6662;55.0452;39.3827;393.827;0.8942;0.8971;0.0979;17.106
01-01-2014 10:00;7.0299;11.733;12.827;13.3826;13.9945;6.5922;113.415;71.8664;718.664;0.8878;0.8945;0.2119;17.106
01-01-2014 11:00;7.4659;12.3246;13.4476;14.0141;14.6431;6.7319;154.497;91.1225;911.225;0.8946;0.8973;0.291;17.506
01-01-2014 12:00;6.9876;12.663;14.0472;14.7812;15.5509;6.9742;143.1664;99.9274;999.274;0.8977;0.8991;0.2219;18.070999999999998
01-01-2014 13:00;7.5942;13.4481;14.8572;15.5961;16.3804;7.2705;87.0476;78.3565;783.565;0.8991;0.8996;0.0805;18.609
01-01-2014 14:00;7.9715;13.8561;15.2576;15.9855;16.7665;7.5358;37.8759;37.7855;377.855;0.8994;0.8997;0.0184;19.174999999999997
01-01-2014 15:00;8.3692;14.5446;16.0151;16.7789;17.5983;7.6466;11.5234;11.5234;115.234;0.8997;0.8999;0.0;20.167
01-01-2014 16:00;8.7314;15.3409;16.9247;17.7519;18.6338;7.782;1.0136;1.0136;10.136;0.8999;0.8999;0.0;20.167
01-01-2014 17:00;9.3333;16.021;17.6022;18.4181;19.3001;8.0799;0.0;0.0;0.0;0.8999;0.9;0.0;20.167
01-01-2014 18:00;9.7091;16.3244;17.8699;18.658;19.5217;8.4406;0.0;0.0;0.0;0.8999;0.9;0.0;20.167
01-01-2014 19:00;9.7247;16.5157;18.1115;18.9301;19.821;8.8085;0.0;0.0;0.0;0.8999;0.9;0.0;20.167
01-01-2014 20:00;9.7052;16.5695;18.1874;19.0197;19.9226;9.014;0.0;0.0;0.0;0.9;0.9;0.0;20.167
01-01-2014 21:00;9.7616;16.6297;18.2464;19.0772;19.9795;9.1186;0.0;0.0;0.0;0.9;0.9;0.0;20.167
01-01-2014 22:00;9.9036;16.9975;18.6746;19.5399;20.4754;9.2957;0.0;0.0;0.0;0.9;0.9;0.0;20.167
01-01-2014 23:00;9.5069;16.2846;17.8851;18.71;19.6029;9.3706;0.0;0.0;0.0;0.8999;0.9;0.0;20.167
02-01-2014 00:00;9.4748;16.138;17.7063;18.5121;19.3875;9.3613;0.0;0.0;0.0;0.8999;0.9;0.0;20.35
02-01-2014 01:00;9.118;15.5584;17.076;17.8564;18.7033;9.2496;0.0;0.0;0.0;0.8999;0.8999;0.0;20.35
02-01-2014 02:00;9.1563;15.6164;17.1381;17.9205;18.7698;9.4215;0.0;0.0;0.0;0.8999;0.8999;0.0;20.35
02-01-2014 03:00;8.9904;15.1955;16.6496;17.3934;18.2056;9.4683;0.0;0.0;0.0;0.8998;0.8999;0.0;20.35
02-01-2014 04:00;8.4039;14.128;15.4652;16.1471;16.8944;9.3629;0.0;0.0;0.0;0.8995;0.8997;0.0;20.35
02-01-2014 05:00;7.7099;12.9683;14.1971;14.8239;15.5106;9.1762;0.0;0.0;0.0;0.8978;0.899;0.0;20.35
02-01-2014 06:00;7.3427;12.3014;13.4575;14.0458;14.6921;8.9379;0.0;0.0;0.0;0.8948;0.8975;0.0;19.599000000000004
02-01-2014 07:00;7.2844;12.1228;13.2464;13.816;14.4447;8.7786;0.0;0.0;0.0;0.8928;0.8967;0.0;19.378
02-01-2014 08:00;7.301;12.0589;13.1589;13.7139;14.33;8.805;8.1625;8.085;8.085;0.8918;0.8961;0.0;19.233000000000004
02-01-2014 09:00;7.4162;12.1803;13.2782;13.8302;14.4455;8.7761;20.3873;20.3098;203.098;0.8929;0.8967;0.0048;18.555999999999997
02-01-2014 10:00;7.0704;11.2951;12.2529;12.7257;13.2648;8.6971;33.228;33.228;33.228;0.8735;0.8859;0.0143;18.061999999999998
02-01-2014 11:00;7.1976;11.4072;12.357;12.8233;13.3587;8.6831;81.9306;73.0691;730.691;0.8764;0.8874;0.0749;18.061999999999998
02-01-2014 12:00;6.9511;10.981;11.8885;12.3329;12.8448;8.4433;143.1397;98.2227;982.227;0.8593;0.877;0.2264;18.061999999999998
02-01-2014 13:00;6.8842;10.8022;11.681;12.1092;12.6055;8.2422;153.3788;77.389;77.389;0.8492;0.87;0.3312;18.448999999999998
02-01-2014 14:00;6.7344;10.6819;11.5731;12.0107;12.513;8.1981;108.4679;49.7809;497.809;0.8447;0.8673;0.2743;19.292
02-01-2014 15:00;6.5489;10.6206;11.552;12.0164;12.5394;8.2648;41.7125;22.3115;223.115;0.845;0.868;0.0744;20.35
02-01-2014 16:00;6.5754;10.7828;11.7515;12.2381;12.7811;8.3989;4.4112;3.7628;37.628;0.855;0.8751;0.0;20.35
02-01-2014 17:00;6.4866;10.779;11.775;12.2794;12.8368;8.5417;0.0;0.0;0.0;0.8569;0.8768;0.0;20.35
02-01-2014 18:00;6.7637;11.2056;12.2345;12.7546;13.3305;8.6187;0.0;0.0;0.0;0.8744;0.887;0.0;20.35
02-01-2014 19:00;7.1748;11.7517;12.8047;13.3333;13.9237;8.5686;0.0;0.0;0.0;0.887;0.8938;0.0;20.35
02-01-2014 20:00;7.1252;11.6524;12.693;13.2149;13.7984;8.4279;0.0;0.0;0.0;0.8851;0.8926;0.0;20.35
02-01-2014 21:00;7.147;11.6779;12.7188;13.2405;13.8243;8.2692;0.0;0.0;0.0;0.8855;0.8928;0.0;20.35
02-01-2014 22:00;6.787;11.4875;12.5899;13.1542;13.7699;8.0747;0.0;0.0;0.0;0.8841;0.8923;0.0;20.35
02-01-2014 23:00;6.9598;11.7704;12.898;13.4751;14.1049;7.8811;0.0;0.0;0.0;0.8893;0.895;0.0;20.35
03-01-2014 00:00;7.421;12.4197;13.5844;14.1767;14.8279;7.7629;0.0;0.0;0.0;0.8954;0.8978;0.0;19.558
03-01-2014 01:00;7.7616;12.9211;14.1195;14.7271;15.3975;7.7074;0.0;0.0;0.0;0.8976;0.8989;0.0;19.558
03-01-2014 02:00;8.1266;13.6215;14.903;15.5553;16.2717;7.7587;0.0;0.0;0.0;0.8991;0.8995;0.0;19.558
03-01-2014 03:00;8.7598;14.7227;16.1155;16.8256;17.604;7.8261;0.0;0.0;0.0;0.8997;0.8999;0.0;19.558
03-01-2014 04:00;9.0154;15.2959;16.7709;17.527;18.3506;8.0388;0.0;0.0;0.0;0.8998;0.8999;0.0;19.558
03-01-2014 05:00;9.0819;15.4997;17.0121;17.79;18.634;8.3825;0.0;0.0;0.0;0.8999;0.8999;0.0;19.558
03-01-2014 06:00;8.8845;15.2745;16.7867;17.5676;18.4109;8.7741;0.0;0.0;0.0;0.8999;0.8999;0.0;19.075000000000003
03-01-2014 07:00;8.7063;14.9365;16.4091;17.1687;17.9901;9.0468;0.0;0.0;0.0;0.8998;0.8999;0.0;19.61
03-01-2014 08:00;8.7508;14.8492;16.2815;17.0158;17.8156;9.1599;6.2379;6.2379;62.379;0.8998;0.8999;0.0;18.742999999999995
