time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
1987-01-01 00:00:00,21.94,21.94,21.94,21.94,21.94,21.94,21.94,21.94,21.94,21.94,21.94,21.94
1987-01-01 01:00:00,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577
1987-01-01 02:00:00,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577,21.577
1987-01-01 03:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 04:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 05:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 06:00:00,21.274,21.274,21.274,21.274,21.274,21.274,21.274,21.274,21.274,21.274,21.274,21.274
1987-01-01 07:00:00,19.857,19.857,19.857,19.857,19.857,19.857,19.857,19.857,19.857,19.857,19.857,19.857
1987-01-01 08:00:00,18.311,18.311,18.311,18.311,18.311,18.311,18.311,18.311,18.311,18.311,18.311,18.311
1987-01-01 09:00:00,16.525,16.525,16.525,16.525,16.525,16.525,16.525,16.525,16.525,16.525,16.525,16.525
1987-01-01 10:00:00,14.855,14.855,14.855,14.855,14.855,14.855,14.855,14.855,14.855,14.855,14.855,14.855
1987-01-01 11:00:00,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781
1987-01-01 12:00:00,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781,14.781
1987-01-01 13:00:00,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89,15.89
1987-01-01 14:00:00,18.869,18.869,18.869,18.869,18.869,18.869,18.869,18.869,18.869,18.869,18.869,18.869
1987-01-01 15:00:00,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615
1987-01-01 16:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 17:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 18:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 19:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 20:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 21:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 22:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-01 23:00:00,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573,21.573
1987-01-02 00:00:00,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673
1987-01-02 01:00:00,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673
1987-01-02 02:00:00,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673
1987-01-02 03:00:00,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673
1987-01-02 04:00:00,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673
1987-01-02 05:00:00,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673,22.673
1987-01-02 06:00:00,22.358,22.358,22.358,22.358,22.358,22.358,22.358,22.358,22.358,22.358,22.358,22.358
1987-01-02 07:00:00,21.053,21.053,21.053,21.053,21.053,21.053,21.053,21.053,21.053,21.053,21.053,21.053
1987-01-02 08:00:00,20.061,20.061,20.061,20.061,20.061,20.061,20.061,20.061,20.061,20.061,20.061,20.061
1987-01-02 09:00:00,19.452,19.452,19.452,19.452,19.452,19.452,19.452,19.452,19.452,19.452,19.452,19.452
1987-01-02 10:00:00,17.933,17.933,17.933,17.933,17.933,17.933,17.933,17.933,17.933,17.933,17.933,17.933
1987-01-02 11:00:00,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302
1987-01-02 12:00:00,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302,16.302
1987-01-02 13:00:00,17.283,17.283,17.283,17.283,17.283,17.283,17.283,17.283,17.283,17.283,17.283,17.283
1987-01-02 14:00:00,18.856,18.856,18.856,18.856,18.856,18.856,18.856,18.856,18.856,18.856,18.856,18.856
1987-01-02 15:00:00,21.465,21.465,21.465,21.465,21.465,21.465,21.465,21.465,21.465,21.465,21.465,21.465
1987-01-02 16:00:00,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532
1987-01-02 17:00:00,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532
1987-01-02 18:00:00,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532
1987-01-02 19:00:00,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532
1987-01-02 20:00:00,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532
1987-01-02 21:00:00,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532
1987-01-02 22:00:00,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532
1987-01-02 23:00:00,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532,21.532
1987-01-03 00:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 01:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 02:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 03:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 04:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 05:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 06:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 07:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 08:00:00,22.389,22.389,22.389,22.389,22.389,22.389,22.389,22.389,22.389,22.389,22.389,22.389
1987-01-03 09:00:00,19.172,19.172,19.172,19.172,19.172,19.172,19.172,19.172,19.172,19.172,19.172,19.172
1987-01-03 10:00:00,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346
1987-01-03 11:00:00,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346
1987-01-03 12:00:00,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346
1987-01-03 13:00:00,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346,17.346
1987-01-03 14:00:00,20.047,20.047,20.047,20.047,20.047,20.047,20.047,20.047,20.047,20.047,20.047,20.047
1987-01-03 15:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 16:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 17:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 18:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 19:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 20:00:00,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.83
1987-01-03 21:00:00,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179
1987-01-03 22:00:00,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179,23.179
1987-01-03 23:00:00,23.489,23.489,23.489,23.489,23.489,23.489,23.489,23.489,23.489,23.489,23.489,23.489
1987-01-04 00:00:00,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871
1987-01-04 01:00:00,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871
1987-01-04 02:00:00,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871
1987-01-04 03:00:00,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871
1987-01-04 04:00:00,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871
1987-01-04 05:00:00,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871
1987-01-04 06:00:00,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871,22.871
1987-01-04 07:00:00,22.536,22.536,22.536,22.536,22.536,22.536,22.536,22.536,22.536,22.536,22.536,22.536
1987-01-04 08:00:00,22.223,22.223,22.223,22.223,22.223,22.223,22.223,22.223,22.223,22.223,22.223,22.223
1987-01-04 09:00:00,12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762
1987-01-04 10:00:00,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18
1987-01-04 11:00:00,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18
1987-01-04 12:00:00,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18,9.18
1987-01-04 13:00:00,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51
1987-01-04 14:00:00,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27
1987-01-04 15:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-04 16:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-04 17:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-04 18:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-04 19:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-04 20:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-04 21:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-04 22:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-04 23:00:00,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402,21.402
1987-01-05 00:00:00,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517
1987-01-05 01:00:00,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517
1987-01-05 02:00:00,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517
1987-01-05 03:00:00,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517
1987-01-05 04:00:00,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517
1987-01-05 05:00:00,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517
1987-01-05 06:00:00,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517,23.517
