time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
1991-01-01 00:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 01:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 02:00:00,24.648,24.648,24.648,24.648,24.648,24.648,24.648,24.648,24.648,24.648,24.648,24.648
1991-01-01 03:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 04:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 05:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 06:00:00,24.422,24.422,24.422,24.422,24.422,24.422,24.422,24.422,24.422,24.422,24.422,24.422
1991-01-01 07:00:00,22.74,22.74,22.74,22.74,22.74,22.74,22.74,22.74,22.74,22.74,22.74,22.74
1991-01-01 08:00:00,22.554,22.554,22.554,22.554,22.554,22.554,22.554,22.554,22.554,22.554,22.554,22.554
1991-01-01 09:00:00,21.841,21.841,21.841,21.841,21.841,21.841,21.841,21.841,21.841,21.841,21.841,21.841
1991-01-01 10:00:00,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239
1991-01-01 11:00:00,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239,21.239
1991-01-01 12:00:00,21.594,21.594,21.594,21.594,21.594,21.594,21.594,21.594,21.594,21.594,21.594,21.594
1991-01-01 13:00:00,21.758,21.758,21.758,21.758,21.758,21.758,21.758,21.758,21.758,21.758,21.758,21.758
1991-01-01 14:00:00,22.709,22.709,22.709,22.709,22.709,22.709,22.709,22.709,22.709,22.709,22.709,22.709
1991-01-01 15:00:00,24.626,24.626,24.626,24.626,24.626,24.626,24.626,24.626,24.626,24.626,24.626,24.626
1991-01-01 16:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 17:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 18:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 19:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 20:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 21:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 22:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-01 23:00:00,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646,24.646
1991-01-02 00:00:00,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183
1991-01-02 01:00:00,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183,23.183
