time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
1992-01-01 00:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 01:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 02:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 03:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 04:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 05:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 06:00:00,45.503,45.503,45.503,45.503,45.503,45.503,45.503,45.503,45.503,45.503,45.503,45.503
1992-01-01 07:00:00,42.29,42.29,42.29,42.29,42.29,42.29,42.29,42.29,42.29,42.29,42.29,42.29
1992-01-01 08:00:00,22.538,22.538,22.538,22.538,22.538,22.538,22.538,22.538,22.538,22.538,22.538,22.538
1992-01-01 09:00:00,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264
1992-01-01 10:00:00,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05
1992-01-01 11:00:00,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05
1992-01-01 12:00:00,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05
1992-01-01 13:00:00,18.653,18.653,18.653,18.653,18.653,18.653,18.653,18.653,18.653,18.653,18.653,18.653
1992-01-01 14:00:00,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264,19.264
1992-01-01 15:00:00,23.918,23.918,23.918,23.918,23.918,23.918,23.918,23.918,23.918,23.918,23.918,23.918
1992-01-01 16:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 17:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 18:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
1992-01-01 19:00:00,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368,47.368
