time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
1995-01-01 00:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 01:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 02:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 03:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 04:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 05:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 06:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 07:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 08:00:00,19.737,19.737,19.737,19.737,19.737,19.737,19.737,19.737,19.737,19.737,19.737,19.737
1995-01-01 09:00:00,19.122,19.122,19.122,19.122,19.122,19.122,19.122,19.122,19.122,19.122,19.122,19.122
1995-01-01 10:00:00,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269
1995-01-01 11:00:00,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269
1995-01-01 12:00:00,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269,18.269
1995-01-01 13:00:00,18.307,18.307,18.307,18.307,18.307,18.307,18.307,18.307,18.307,18.307,18.307,18.307
1995-01-01 14:00:00,19.889,19.889,19.889,19.889,19.889,19.889,19.889,19.889,19.889,19.889,19.889,19.889
1995-01-01 15:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 16:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 17:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 18:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 19:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 20:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 21:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 22:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-01 23:00:00,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583,20.583
1995-01-02 00:00:00,26.346,26.346,26.346,26.346,26.346,26.346,26.346,26.346,26.346,26.346,26.346,26.346
1995-01-02 01:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 02:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 03:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 04:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 05:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 06:00:00,25.023,25.023,25.023,25.023,25.023,25.023,25.023,25.023,25.023,25.023,25.023,25.023
1995-01-02 07:00:00,24.512,24.512,24.512,24.512,24.512,24.512,24.512,24.512,24.512,24.512,24.512,24.512
1995-01-02 08:00:00,21.965,21.965,21.965,21.965,21.965,21.965,21.965,21.965,21.965,21.965,21.965,21.965
1995-01-02 09:00:00,17.754,17.754,17.754,17.754,17.754,17.754,17.754,17.754,17.754,17.754,17.754,17.754
1995-01-02 10:00:00,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255
1995-01-02 11:00:00,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255
1995-01-02 12:00:00,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255
1995-01-02 13:00:00,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255,14.255
1995-01-02 14:00:00,21.948,21.948,21.948,21.948,21.948,21.948,21.948,21.948,21.948,21.948,21.948,21.948
1995-01-02 15:00:00,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.97
1995-01-02 16:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 17:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 18:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 19:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 20:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 21:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 22:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-02 23:00:00,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889,25.889
1995-01-03 00:00:00,71.734,71.734,71.734,71.734,71.734,71.734,71.734,71.734,71.734,71.734,71.734,71.734
