time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
1996-01-01 00:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 01:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 02:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 03:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 04:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 05:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 06:00:00,75.874,75.874,75.874,75.874,75.874,75.874,75.874,75.874,75.874,75.874,75.874,75.874
1996-01-01 07:00:00,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221
1996-01-01 08:00:00,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975
1996-01-01 09:00:00,68.082,68.082,68.082,68.082,68.082,68.082,68.082,68.082,68.082,68.082,68.082,68.082
1996-01-01 10:00:00,62.523,62.523,62.523,62.523,62.523,62.523,62.523,62.523,62.523,62.523,62.523,62.523
1996-01-01 11:00:00,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545
1996-01-01 12:00:00,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545,61.545
1996-01-01 13:00:00,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975,71.975
1996-01-01 14:00:00,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2
1996-01-01 15:00:00,77.361,77.361,77.361,77.361,77.361,77.361,77.361,77.361,77.361,77.361,77.361,77.361
1996-01-01 16:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 17:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 18:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 19:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 20:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 21:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 22:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-01 23:00:00,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553,77.553
1996-01-02 00:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 01:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 02:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 03:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 04:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 05:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 06:00:00,73.123,73.123,73.123,73.123,73.123,73.123,73.123,73.123,73.123,73.123,73.123,73.123
1996-01-02 07:00:00,72.428,72.428,72.428,72.428,72.428,72.428,72.428,72.428,72.428,72.428,72.428,72.428
1996-01-02 08:00:00,71.641,71.641,71.641,71.641,71.641,71.641,71.641,71.641,71.641,71.641,71.641,71.641
1996-01-02 09:00:00,70.633,70.633,70.633,70.633,70.633,70.633,70.633,70.633,70.633,70.633,70.633,70.633
1996-01-02 10:00:00,68.198,68.198,68.198,68.198,68.198,68.198,68.198,68.198,68.198,68.198,68.198,68.198
1996-01-02 11:00:00,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913
1996-01-02 12:00:00,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913,67.913
1996-01-02 13:00:00,69.369,69.369,69.369,69.369,69.369,69.369,69.369,69.369,69.369,69.369,69.369,69.369
1996-01-02 14:00:00,71.187,71.187,71.187,71.187,71.187,71.187,71.187,71.187,71.187,71.187,71.187,71.187
1996-01-02 15:00:00,73.104,73.104,73.104,73.104,73.104,73.104,73.104,73.104,73.104,73.104,73.104,73.104
1996-01-02 16:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 17:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 18:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 19:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 20:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 21:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 22:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
1996-01-02 23:00:00,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129,75.129
