time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
1997-01-01 00:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 01:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 02:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 03:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 04:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 05:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 06:00:00,217.063,217.063,217.063,217.063,217.063,217.063,217.063,217.063,217.063,217.063,217.063,217.063
1997-01-01 07:00:00,181.226,181.226,181.226,181.226,181.226,181.226,181.226,181.226,181.226,181.226,181.226,181.226
1997-01-01 08:00:00,109.702,109.702,109.702,109.702,109.702,109.702,109.702,109.702,109.702,109.702,109.702,109.702
1997-01-01 09:00:00,100.456,100.456,100.456,100.456,100.456,100.456,100.456,100.456,100.456,100.456,100.456,100.456
1997-01-01 10:00:00,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002
1997-01-01 11:00:00,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194
1997-01-01 12:00:00,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194
1997-01-01 13:00:00,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194,96.194
1997-01-01 14:00:00,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002,99.002
1997-01-01 15:00:00,188.889,188.889,188.889,188.889,188.889,188.889,188.889,188.889,188.889,188.889,188.889,188.889
1997-01-01 16:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 17:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 18:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 19:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 20:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 21:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 22:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-01 23:00:00,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659,222.659
1997-01-02 00:00:00,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463
1997-01-02 01:00:00,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463
1997-01-02 02:00:00,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463
1997-01-02 03:00:00,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463,204.463
