time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
2003-01-01 00:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 01:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 02:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 03:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 04:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 05:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 06:00:00,24.522,24.522,24.522,24.522,24.522,24.522,24.522,24.522,24.522,24.522,24.522,24.522
2003-01-01 07:00:00,22.796,22.796,22.796,22.796,22.796,22.796,22.796,22.796,22.796,22.796,22.796,22.796
2003-01-01 08:00:00,22.118,22.118,22.118,22.118,22.118,22.118,22.118,22.118,22.118,22.118,22.118,22.118
2003-01-01 09:00:00,19.24,19.24,19.24,19.24,19.24,19.24,19.24,19.24,19.24,19.24,19.24,19.24
2003-01-01 10:00:00,18.69,18.69,18.69,18.69,18.69,18.69,18.69,18.69,18.69,18.69,18.69,18.69
2003-01-01 11:00:00,19.376,19.376,19.376,19.376,19.376,19.376,19.376,19.376,19.376,19.376,19.376,19.376
2003-01-01 12:00:00,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309
2003-01-01 13:00:00,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309,20.309
2003-01-01 14:00:00,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2
2003-01-01 15:00:00,24.881,24.881,24.881,24.881,24.881,24.881,24.881,24.881,24.881,24.881,24.881,24.881
2003-01-01 16:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 17:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 18:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 19:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 20:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 21:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 22:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-01 23:00:00,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
2003-01-02 00:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 01:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 02:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 03:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 04:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 05:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 06:00:00,26.707,26.707,26.707,26.707,26.707,26.707,26.707,26.707,26.707,26.707,26.707,26.707
2003-01-02 07:00:00,27.033,27.033,27.033,27.033,27.033,27.033,27.033,27.033,27.033,27.033,27.033,27.033
2003-01-02 08:00:00,26.826,26.826,26.826,26.826,26.826,26.826,26.826,26.826,26.826,26.826,26.826,26.826
2003-01-02 09:00:00,25.892,25.892,25.892,25.892,25.892,25.892,25.892,25.892,25.892,25.892,25.892,25.892
2003-01-02 10:00:00,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155
2003-01-02 11:00:00,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155
2003-01-02 12:00:00,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155
2003-01-02 13:00:00,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155,24.155
2003-01-02 14:00:00,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89,25.89
2003-01-02 15:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 16:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 17:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 18:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 19:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
2003-01-02 20:00:00,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297,26.297
