time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
2009-01-01 00:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 01:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 02:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 03:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 04:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 05:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 06:00:00,81.703,81.703,81.703,81.703,81.703,81.703,81.703,81.703,81.703,81.703,81.703,81.703
2009-01-01 07:00:00,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221,75.221
2009-01-01 08:00:00,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31,74.31
2009-01-01 09:00:00,73.276,73.276,73.276,73.276,73.276,73.276,73.276,73.276,73.276,73.276,73.276,73.276
2009-01-01 10:00:00,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54
2009-01-01 11:00:00,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54,70.54
2009-01-01 12:00:00,72.784,72.784,72.784,72.784,72.784,72.784,72.784,72.784,72.784,72.784,72.784,72.784
2009-01-01 13:00:00,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203
2009-01-01 14:00:00,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203,74.203
2009-01-01 15:00:00,160.893,160.893,160.893,160.893,160.893,160.893,160.893,160.893,160.893,160.893,160.893,160.893
2009-01-01 16:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 17:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 18:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 19:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 20:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 21:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 22:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-01 23:00:00,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703,176.703
2009-01-02 00:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 01:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 02:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 03:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 04:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 05:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 06:00:00,165.584,165.584,165.584,165.584,165.584,165.584,165.584,165.584,165.584,165.584,165.584,165.584
2009-01-02 07:00:00,151.876,151.876,151.876,151.876,151.876,151.876,151.876,151.876,151.876,151.876,151.876,151.876
2009-01-02 08:00:00,78.288,78.288,78.288,78.288,78.288,78.288,78.288,78.288,78.288,78.288,78.288,78.288
2009-01-02 09:00:00,75.543,75.543,75.543,75.543,75.543,75.543,75.543,75.543,75.543,75.543,75.543,75.543
2009-01-02 10:00:00,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288
2009-01-02 11:00:00,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288,72.288
2009-01-02 12:00:00,75.093,75.093,75.093,75.093,75.093,75.093,75.093,75.093,75.093,75.093,75.093,75.093
2009-01-02 13:00:00,78.274,78.274,78.274,78.274,78.274,78.274,78.274,78.274,78.274,78.274,78.274,78.274
2009-01-02 14:00:00,109.267,109.267,109.267,109.267,109.267,109.267,109.267,109.267,109.267,109.267,109.267,109.267
2009-01-02 15:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 16:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 17:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 18:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
2009-01-02 19:00:00,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801,169.801
