time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
2015-01-01 00:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 01:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 02:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 03:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 04:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 05:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 06:00:00,13.825,13.825,13.825,13.825,13.825,13.825,13.825,13.825,13.825,13.825,13.825,13.825
2015-01-01 07:00:00,11.882,11.882,11.882,11.882,11.882,11.882,11.882,11.882,11.882,11.882,11.882,11.882
2015-01-01 08:00:00,9.858,9.858,9.858,9.858,9.858,9.858,9.858,9.858,9.858,9.858,9.858,9.858
2015-01-01 09:00:00,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063
2015-01-01 10:00:00,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063
2015-01-01 11:00:00,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063
2015-01-01 12:00:00,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063
2015-01-01 13:00:00,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063,7.063
2015-01-01 14:00:00,7.462,7.462,7.462,7.462,7.462,7.462,7.462,7.462,7.462,7.462,7.462,7.462
2015-01-01 15:00:00,18.041,18.041,18.041,18.041,18.041,18.041,18.041,18.041,18.041,18.041,18.041,18.041
2015-01-01 16:00:00,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465
2015-01-01 17:00:00,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465,19.465
2015-01-01 18:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 19:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 20:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 21:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 22:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-01 23:00:00,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992,18.992
2015-01-02 00:00:00,19.355,19.355,19.355,19.355,19.355,19.355,19.355,19.355,19.355,19.355,19.355,19.355
