time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1984-01-01 00:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 01:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 02:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 03:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 04:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 05:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 06:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 07:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 08:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 09:00:00,0.0586,0.0586,0,0,0,0,0,0
1984-01-01 10:00:00,0.0638,0.0638,0,0,0,0,0,0
1984-01-01 11:00:00,0.046,0.046,0,0,0,0,0,0
1984-01-01 12:00:00,0.0244,0.0244,0,0,0,0,0,0
1984-01-01 13:00:00,0.0108,0.0108,0,0,0,0,0,0
1984-01-01 14:00:00,0.0019,0.0019,0,0,0,0,0,0
1984-01-01 15:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 16:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 17:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 18:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 19:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 20:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 21:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 22:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-01 23:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 00:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 01:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 02:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 03:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 04:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 05:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 06:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 07:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 08:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 09:00:00,0.1314,0.1314,0,0,0,0,0,0
1984-01-02 10:00:00,0.2816,0.2816,0,0,0,0,0,0
1984-01-02 11:00:00,0.4217,0.4217,0,0,0,0,0,0
1984-01-02 12:00:00,0.3857,0.3857,0,0,0,0,0,0
1984-01-02 13:00:00,0.1833,0.1833,0,0,0,0,0,0
1984-01-02 14:00:00,0.0308,0.0308,0,0,0,0,0,0
1984-01-02 15:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 16:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 17:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 18:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 19:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 20:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 21:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 22:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-02 23:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 00:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 01:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 02:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 03:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 04:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 05:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 06:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 07:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 08:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 09:00:00,0.1901,0.1901,0,0,0,0,0,0
1984-01-03 10:00:00,0.3734,0.3734,0,0,0,0,0,0
1984-01-03 11:00:00,0.4715,0.4715,0,0,0,0,0,0
1984-01-03 12:00:00,0.4763,0.4763,0,0,0,0,0,0
1984-01-03 13:00:00,0.2949,0.2949,0,0,0,0,0,0
1984-01-03 14:00:00,0.0833,0.0833,0,0,0,0,0,0
1984-01-03 15:00:00,0.0091,0.0091,0,0,0,0,0,0
1984-01-03 16:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 17:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 18:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 19:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 20:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 21:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 22:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-03 23:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 00:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 01:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 02:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 03:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 04:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 05:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 06:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 07:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 08:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 09:00:00,0.1363,0.1363,0,0,0,0,0,0
1984-01-04 10:00:00,0.2181,0.2181,0,0,0,0,0,0
1984-01-04 11:00:00,0.1763,0.1763,0,0,0,0,0,0
1984-01-04 12:00:00,0.1016,0.1016,0,0,0,0,0,0
1984-01-04 13:00:00,0.0506,0.0506,0,0,0,0,0,0
1984-01-04 14:00:00,0.0284,0.0284,0,0,0,0,0,0
1984-01-04 15:00:00,0.0054,0.0054,0,0,0,0,0,0
1984-01-04 16:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 17:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 18:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 19:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 20:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 21:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 22:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-04 23:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 00:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 01:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 02:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 03:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 04:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 05:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 06:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 07:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 08:00:00,0.0,0.0,0,0,0,0,0,0
1984-01-05 09:00:00,0.0491,0.0491,0,0,0,0,0,0
1984-01-05 10:00:00,0.1137,0.1137,0,0,0,0,0,0
1984-01-05 11:00:00,0.0977,0.0977,0,0,0,0,0,0
1984-01-05 12:00:00,0.045,0.045,0,0,0,0,0,0
1984-01-05 13:00:00,0.0339,0.0339,0,0,0,0,0,0
1984-01-05 14:00:00,0.0157,0.0157,0,0,0,0,0,0
1984-01-05 15:00:00,0.0,0.0,0,0,0,0,0,0
