time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1994-01-01 00:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 01:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 02:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 03:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 04:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 05:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 06:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 07:00:00,0.0443,0.0395,0,0,0,0,0,0
1994-01-01 08:00:00,0.1568,0.081,0,0,0,0,0,0
1994-01-01 09:00:00,0.2626,0.2848,0,0,0,0,0,0
1994-01-01 10:00:00,0.3761,0.3913,0,0,0,0,0,0
1994-01-01 11:00:00,0.3883,0.297,0,0,0,0,0,0
1994-01-01 12:00:00,0.2569,0.2257,0,0,0,0,0,0
1994-01-01 13:00:00,0.1436,0.1992,0,0,0,0,0,0
1994-01-01 14:00:00,0.0738,0.2343,0,0,0,0,0,0
1994-01-01 15:00:00,0.035,0.1069,0,0,0,0,0,0
1994-01-01 16:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 17:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 18:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 19:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 20:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 21:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 22:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-01 23:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 00:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 01:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 02:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 03:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 04:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 05:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 06:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 07:00:00,0.0726,0.0384,0,0,0,0,0,0
1994-01-02 08:00:00,0.2307,0.1848,0,0,0,0,0,0
1994-01-02 09:00:00,0.3786,0.3315,0,0,0,0,0,0
1994-01-02 10:00:00,0.5367,0.5208,0,0,0,0,0,0
1994-01-02 11:00:00,0.6202,0.5744,0,0,0,0,0,0
1994-01-02 12:00:00,0.6106,0.6012,0,0,0,0,0,0
1994-01-02 13:00:00,0.5133,0.544,0,0,0,0,0,0
1994-01-02 14:00:00,0.3546,0.3727,0,0,0,0,0,0
1994-01-02 15:00:00,0.1508,0.1216,0,0,0,0,0,0
1994-01-02 16:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 17:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 18:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 19:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 20:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 21:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 22:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-02 23:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 00:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 01:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 02:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 03:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 04:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 05:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 06:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 07:00:00,0.0486,0.0341,0,0,0,0,0,0
1994-01-03 08:00:00,0.2063,0.2999,0,0,0,0,0,0
1994-01-03 09:00:00,0.3517,0.4708,0,0,0,0,0,0
1994-01-03 10:00:00,0.3755,0.4927,0,0,0,0,0,0
1994-01-03 11:00:00,0.3838,0.5355,0,0,0,0,0,0
1994-01-03 12:00:00,0.4358,0.4545,0,0,0,0,0,0
1994-01-03 13:00:00,0.4283,0.5169,0,0,0,0,0,0
1994-01-03 14:00:00,0.3373,0.3369,0,0,0,0,0,0
1994-01-03 15:00:00,0.1584,0.1173,0,0,0,0,0,0
1994-01-03 16:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 17:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 18:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 19:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 20:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 21:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 22:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-03 23:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-04 00:00:00,0.0,0.0,0,0,0,0,0,0
1994-01-04 01:00:00,0.0,0.0,0,0,0,0,0,0
