time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1995-01-01 00:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 01:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 02:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 03:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 04:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 05:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 06:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 07:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 08:00:00,0.0208,0.0636,0,0,0,0,0,0
1995-01-01 09:00:00,0.1526,0.313,0,0,0,0,0,0
1995-01-01 10:00:00,0.3526,0.527,0,0,0,0,0,0
1995-01-01 11:00:00,0.4872,0.6157,0,0,0,0,0,0
1995-01-01 12:00:00,0.4901,0.4492,0,0,0,0,0,0
1995-01-01 13:00:00,0.4816,0.609,0,0,0,0,0,0
1995-01-01 14:00:00,0.4591,0.509,0,0,0,0,0,0
1995-01-01 15:00:00,0.2957,0.3085,0,0,0,0,0,0
1995-01-01 16:00:00,0.0271,0.0,0,0,0,0,0,0
1995-01-01 17:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 18:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 19:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 20:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 21:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 22:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-01 23:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 00:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 01:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 02:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 03:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 04:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 05:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 06:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 07:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 08:00:00,0.0968,0.0677,0,0,0,0,0,0
1995-01-02 09:00:00,0.2452,0.2626,0,0,0,0,0,0
1995-01-02 10:00:00,0.2572,0.1647,0,0,0,0,0,0
1995-01-02 11:00:00,0.3209,0.1625,0,0,0,0,0,0
1995-01-02 12:00:00,0.3948,0.3175,0,0,0,0,0,0
1995-01-02 13:00:00,0.4527,0.4498,0,0,0,0,0,0
1995-01-02 14:00:00,0.4577,0.5203,0,0,0,0,0,0
1995-01-02 15:00:00,0.2966,0.3126,0,0,0,0,0,0
1995-01-02 16:00:00,0.0345,0.0,0,0,0,0,0,0
1995-01-02 17:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 18:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 19:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 20:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 21:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 22:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-02 23:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 00:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 01:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 02:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 03:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 04:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 05:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 06:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 07:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 08:00:00,0.1327,0.0681,0,0,0,0,0,0
1995-01-03 09:00:00,0.4031,0.3924,0,0,0,0,0,0
1995-01-03 10:00:00,0.5839,0.5637,0,0,0,0,0,0
1995-01-03 11:00:00,0.6747,0.681,0,0,0,0,0,0
1995-01-03 12:00:00,0.6969,0.706,0,0,0,0,0,0
1995-01-03 13:00:00,0.6552,0.6443,0,0,0,0,0,0
1995-01-03 14:00:00,0.5299,0.5132,0,0,0,0,0,0
1995-01-03 15:00:00,0.3285,0.3065,0,0,0,0,0,0
1995-01-03 16:00:00,0.0475,0.0,0,0,0,0,0,0
1995-01-03 17:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 18:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 19:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 20:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 21:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 22:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-03 23:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 00:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 01:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 02:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 03:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 04:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 05:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 06:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 07:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 08:00:00,0.1282,0.0714,0,0,0,0,0,0
1995-01-04 09:00:00,0.3948,0.3939,0,0,0,0,0,0
1995-01-04 10:00:00,0.5737,0.5844,0,0,0,0,0,0
1995-01-04 11:00:00,0.674,0.6839,0,0,0,0,0,0
1995-01-04 12:00:00,0.7006,0.6876,0,0,0,0,0,0
1995-01-04 13:00:00,0.6542,0.6564,0,0,0,0,0,0
1995-01-04 14:00:00,0.5332,0.5496,0,0,0,0,0,0
1995-01-04 15:00:00,0.3352,0.3281,0,0,0,0,0,0
1995-01-04 16:00:00,0.0559,0.0,0,0,0,0,0,0
1995-01-04 17:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 18:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 19:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 20:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 21:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 22:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-04 23:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 00:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 01:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 02:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 03:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 04:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 05:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 06:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 07:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 08:00:00,0.1316,0.0703,0,0,0,0,0,0
1995-01-05 09:00:00,0.3986,0.3915,0,0,0,0,0,0
1995-01-05 10:00:00,0.5751,0.5678,0,0,0,0,0,0
1995-01-05 11:00:00,0.6699,0.6629,0,0,0,0,0,0
1995-01-05 12:00:00,0.6927,0.6944,0,0,0,0,0,0
1995-01-05 13:00:00,0.6486,0.653,0,0,0,0,0,0
1995-01-05 14:00:00,0.5314,0.5394,0,0,0,0,0,0
1995-01-05 15:00:00,0.3361,0.3375,0,0,0,0,0,0
1995-01-05 16:00:00,0.0642,0.001,0,0,0,0,0,0
1995-01-05 17:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 18:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 19:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 20:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 21:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 22:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-05 23:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 00:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 01:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 02:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 03:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 04:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 05:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 06:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 07:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 08:00:00,0.0,0.0012,0,0,0,0,0,0
1995-01-06 09:00:00,0.0289,0.1116,0,0,0,0,0,0
1995-01-06 10:00:00,0.0727,0.1209,0,0,0,0,0,0
1995-01-06 11:00:00,0.108,0.1528,0,0,0,0,0,0
1995-01-06 12:00:00,0.1593,0.157,0,0,0,0,0,0
1995-01-06 13:00:00,0.2058,0.1508,0,0,0,0,0,0
1995-01-06 14:00:00,0.1846,0.259,0,0,0,0,0,0
1995-01-06 15:00:00,0.117,0.1001,0,0,0,0,0,0
1995-01-06 16:00:00,0.0196,0.0019,0,0,0,0,0,0
1995-01-06 17:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 18:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 19:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 20:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 21:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 22:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-06 23:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 00:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 01:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 02:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 03:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 04:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 05:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 06:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 07:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 08:00:00,0.087,0.0693,0,0,0,0,0,0
1995-01-07 09:00:00,0.3216,0.3024,0,0,0,0,0,0
1995-01-07 10:00:00,0.4725,0.4529,0,0,0,0,0,0
1995-01-07 11:00:00,0.4627,0.337,0,0,0,0,0,0
1995-01-07 12:00:00,0.5374,0.4642,0,0,0,0,0,0
1995-01-07 13:00:00,0.5732,0.6131,0,0,0,0,0,0
1995-01-07 14:00:00,0.4398,0.3933,0,0,0,0,0,0
1995-01-07 15:00:00,0.2668,0.2624,0,0,0,0,0,0
1995-01-07 16:00:00,0.0538,0.0,0,0,0,0,0,0
1995-01-07 17:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 18:00:00,0.0,0.0,0,0,0,0,0,0
1995-01-07 19:00:00,0.0,0.0,0,0,0,0,0,0
