time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
2006-01-01 00:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 01:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 02:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 03:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 04:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 05:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 06:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 07:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 08:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 09:00:00,0.0601,0.1263,0,0,0,0,0,0
2006-01-01 10:00:00,0.1121,0.2999,0,0,0,0,0,0
2006-01-01 11:00:00,0.1139,0.4382,0,0,0,0,0,0
2006-01-01 12:00:00,0.1148,0.0902,0,0,0,0,0,0
2006-01-01 13:00:00,0.0899,0.2342,0,0,0,0,0,0
2006-01-01 14:00:00,0.0546,0.0643,0,0,0,0,0,0
2006-01-01 15:00:00,0.0118,0.0032,0,0,0,0,0,0
2006-01-01 16:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 17:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 18:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 19:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 20:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 21:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 22:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-01 23:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 00:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 01:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 02:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 03:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 04:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 05:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 06:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 07:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 08:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 09:00:00,0.0615,0.0461,0,0,0,0,0,0
2006-01-02 10:00:00,0.1217,0.0343,0,0,0,0,0,0
2006-01-02 11:00:00,0.1871,0.0487,0,0,0,0,0,0
2006-01-02 12:00:00,0.2241,0.2741,0,0,0,0,0,0
2006-01-02 13:00:00,0.2097,0.1704,0,0,0,0,0,0
2006-01-02 14:00:00,0.1351,0.1613,0,0,0,0,0,0
2006-01-02 15:00:00,0.0249,0.0081,0,0,0,0,0,0
2006-01-02 16:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 17:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 18:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 19:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 20:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 21:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 22:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-02 23:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 00:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 01:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 02:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 03:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 04:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 05:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 06:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 07:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 08:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 09:00:00,0.0677,0.0612,0,0,0,0,0,0
2006-01-03 10:00:00,0.1351,0.0622,0,0,0,0,0,0
2006-01-03 11:00:00,0.1676,0.1239,0,0,0,0,0,0
2006-01-03 12:00:00,0.1855,0.3507,0,0,0,0,0,0
2006-01-03 13:00:00,0.1474,0.184,0,0,0,0,0,0
2006-01-03 14:00:00,0.0921,0.0215,0,0,0,0,0,0
2006-01-03 15:00:00,0.0227,0.0125,0,0,0,0,0,0
2006-01-03 16:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 17:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 18:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 19:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 20:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 21:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 22:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-03 23:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 00:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 01:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 02:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 03:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 04:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 05:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 06:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 07:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 08:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 09:00:00,0.169,0.1357,0,0,0,0,0,0
2006-01-04 10:00:00,0.3094,0.2649,0,0,0,0,0,0
2006-01-04 11:00:00,0.3585,0.3498,0,0,0,0,0,0
2006-01-04 12:00:00,0.3121,0.4369,0,0,0,0,0,0
2006-01-04 13:00:00,0.2412,0.3597,0,0,0,0,0,0
2006-01-04 14:00:00,0.1544,0.1818,0,0,0,0,0,0
2006-01-04 15:00:00,0.0321,0.0183,0,0,0,0,0,0
2006-01-04 16:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 17:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 18:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 19:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 20:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 21:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 22:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-04 23:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 00:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 01:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 02:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 03:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 04:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 05:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 06:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 07:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 08:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 09:00:00,0.0117,0.0154,0,0,0,0,0,0
2006-01-05 10:00:00,0.03,0.0839,0,0,0,0,0,0
2006-01-05 11:00:00,0.0445,0.0835,0,0,0,0,0,0
2006-01-05 12:00:00,0.0506,0.0245,0,0,0,0,0,0
2006-01-05 13:00:00,0.038,0.0128,0,0,0,0,0,0
2006-01-05 14:00:00,0.0188,0.0149,0,0,0,0,0,0
2006-01-05 15:00:00,0.0004,0.0,0,0,0,0,0,0
2006-01-05 16:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 17:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 18:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 19:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 20:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 21:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 22:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-05 23:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 00:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 01:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 02:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 03:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 04:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 05:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 06:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 07:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 08:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 09:00:00,0.067,0.1035,0,0,0,0,0,0
2006-01-06 10:00:00,0.1186,0.2807,0,0,0,0,0,0
2006-01-06 11:00:00,0.1633,0.2363,0,0,0,0,0,0
2006-01-06 12:00:00,0.1835,0.4305,0,0,0,0,0,0
2006-01-06 13:00:00,0.1435,0.3107,0,0,0,0,0,0
2006-01-06 14:00:00,0.0809,0.2241,0,0,0,0,0,0
2006-01-06 15:00:00,0.0163,0.0332,0,0,0,0,0,0
2006-01-06 16:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 17:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 18:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 19:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 20:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 21:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 22:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-06 23:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 00:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 01:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 02:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 03:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 04:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 05:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 06:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 07:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 08:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 09:00:00,0.0391,0.0468,0,0,0,0,0,0
2006-01-07 10:00:00,0.1085,0.0747,0,0,0,0,0,0
2006-01-07 11:00:00,0.1952,0.114,0,0,0,0,0,0
2006-01-07 12:00:00,0.2749,0.477,0,0,0,0,0,0
2006-01-07 13:00:00,0.2783,0.445,0,0,0,0,0,0
2006-01-07 14:00:00,0.2173,0.3071,0,0,0,0,0,0
2006-01-07 15:00:00,0.0764,0.0389,0,0,0,0,0,0
2006-01-07 16:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 17:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 18:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 19:00:00,0.0,0.0,0,0,0,0,0,0
2006-01-07 20:00:00,0.0,0.0,0,0,0,0,0,0
