time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
2009-01-01 00:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 01:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 02:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 03:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 04:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 05:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 06:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 07:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 08:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 09:00:00,0.0356,0.1726,0,0,0,0,0,0
2009-01-01 10:00:00,0.1016,0.3264,0,0,0,0,0,0
2009-01-01 11:00:00,0.1732,0.4038,0,0,0,0,0,0
2009-01-01 12:00:00,0.1432,0.472,0,0,0,0,0,0
2009-01-01 13:00:00,0.0845,0.3452,0,0,0,0,0,0
2009-01-01 14:00:00,0.0888,0.221,0,0,0,0,0,0
2009-01-01 15:00:00,0.0818,0.2647,0,0,0,0,0,0
2009-01-01 16:00:00,0.0128,0.0003,0,0,0,0,0,0
2009-01-01 17:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 18:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 19:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 20:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 21:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 22:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-01 23:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 00:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 01:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 02:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 03:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 04:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 05:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 06:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 07:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 08:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 09:00:00,0.1652,0.2296,0,0,0,0,0,0
2009-01-02 10:00:00,0.3299,0.4095,0,0,0,0,0,0
2009-01-02 11:00:00,0.5036,0.4713,0,0,0,0,0,0
2009-01-02 12:00:00,0.5937,0.4945,0,0,0,0,0,0
2009-01-02 13:00:00,0.5393,0.4459,0,0,0,0,0,0
2009-01-02 14:00:00,0.455,0.215,0,0,0,0,0,0
2009-01-02 15:00:00,0.3165,0.1717,0,0,0,0,0,0
2009-01-02 16:00:00,0.0646,0.0019,0,0,0,0,0,0
2009-01-02 17:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 18:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 19:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 20:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 21:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 22:00:00,0.0,0.0,0,0,0,0,0,0
2009-01-02 23:00:00,0.0,0.0,0,0,0,0,0,0
