time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1982-01-01 00:00:00,0.1439,0.0646,0,0,0,0,0,0
1982-01-01 01:00:00,0.1337,0.0775,0,0,0,0,0,0
1982-01-01 02:00:00,0.14,0.0712,0,0,0,0,0,0
1982-01-01 03:00:00,0.1524,0.0766,0,0,0,0,0,0
1982-01-01 04:00:00,0.1599,0.3627,0,0,0,0,0,0
1982-01-01 05:00:00,0.1492,0.4003,0,0,0,0,0,0
1982-01-01 06:00:00,0.2084,0.5768,0,0,0,0,0,0
1982-01-01 07:00:00,0.5343,0.8507,0,0,0,0,0,0
1982-01-01 08:00:00,0.8916,0.8906,0,0,0,0,0,0
1982-01-01 09:00:00,0.8978,0.8973,0,0,0,0,0,0
1982-01-01 10:00:00,0.8816,0.8848,0,0,0,0,0,0
1982-01-01 11:00:00,0.8878,0.8927,0,0,0,0,0,0
1982-01-01 12:00:00,0.8892,0.848,0,0,0,0,0,0
1982-01-01 13:00:00,0.8833,0.8272,0,0,0,0,0,0
1982-01-01 14:00:00,0.8689,0.7702,0,0,0,0,0,0
1982-01-01 15:00:00,0.8775,0.7889,0,0,0,0,0,0
1982-01-01 16:00:00,0.8948,0.8833,0,0,0,0,0,0
1982-01-01 17:00:00,0.8982,0.8937,0,0,0,0,0,0
1982-01-01 18:00:00,0.8986,0.8967,0,0,0,0,0,0
1982-01-01 19:00:00,0.8975,0.8946,0,0,0,0,0,0
1982-01-01 20:00:00,0.8971,0.8888,0,0,0,0,0,0
1982-01-01 21:00:00,0.8952,0.8827,0,0,0,0,0,0
1982-01-01 22:00:00,0.8893,0.855,0,0,0,0,0,0
1982-01-01 23:00:00,0.8951,0.8667,0,0,0,0,0,0
1982-01-02 00:00:00,0.8963,0.8213,0,0,0,0,0,0
1982-01-02 01:00:00,0.8973,0.8008,0,0,0,0,0,0
1982-01-02 02:00:00,0.8972,0.795,0,0,0,0,0,0
1982-01-02 03:00:00,0.893,0.7552,0,0,0,0,0,0
1982-01-02 04:00:00,0.8741,0.8108,0,0,0,0,0,0
1982-01-02 05:00:00,0.826,0.6188,0,0,0,0,0,0
1982-01-02 06:00:00,0.76,0.415,0,0,0,0,0,0
1982-01-02 07:00:00,0.6306,0.2877,0,0,0,0,0,0
1982-01-02 08:00:00,0.4486,0.1601,0,0,0,0,0,0
1982-01-02 09:00:00,0.3596,0.1123,0,0,0,0,0,0
1982-01-02 10:00:00,0.3202,0.1056,0,0,0,0,0,0
1982-01-02 11:00:00,0.2284,0.058,0,0,0,0,0,0
1982-01-02 12:00:00,0.1795,0.3333,0,0,0,0,0,0
1982-01-02 13:00:00,0.1738,0.3449,0,0,0,0,0,0
1982-01-02 14:00:00,0.1935,0.408,0,0,0,0,0,0
1982-01-02 15:00:00,0.1931,0.3489,0,0,0,0,0,0
1982-01-02 16:00:00,0.1548,0.2838,0,0,0,0,0,0
1982-01-02 17:00:00,0.104,0.2051,0,0,0,0,0,0
1982-01-02 18:00:00,0.0516,0.1244,0,0,0,0,0,0
1982-01-02 19:00:00,0.0148,0.0678,0,0,0,0,0,0
1982-01-02 20:00:00,0.0015,0.0004,0,0,0,0,0,0
1982-01-02 21:00:00,0.0012,0.0011,0,0,0,0,0,0
1982-01-02 22:00:00,0.0053,0.0051,0,0,0,0,0,0
1982-01-02 23:00:00,0.0052,0.0046,0,0,0,0,0,0
1982-01-03 00:00:00,0.0005,0.0012,0,0,0,0,0,0
1982-01-03 01:00:00,0.0005,0.002,0,0,0,0,0,0
1982-01-03 02:00:00,0.0096,0.0152,0,0,0,0,0,0
1982-01-03 03:00:00,0.0356,0.0665,0,0,0,0,0,0
1982-01-03 04:00:00,0.0921,0.0498,0,0,0,0,0,0
1982-01-03 05:00:00,0.1669,0.087,0,0,0,0,0,0
1982-01-03 06:00:00,0.2805,0.1703,0,0,0,0,0,0
1982-01-03 07:00:00,0.4909,0.3375,0,0,0,0,0,0
1982-01-03 08:00:00,0.7236,0.6516,0,0,0,0,0,0
1982-01-03 09:00:00,0.8342,0.8154,0,0,0,0,0,0
1982-01-03 10:00:00,0.858,0.8681,0,0,0,0,0,0
1982-01-03 11:00:00,0.8843,0.8887,0,0,0,0,0,0
1982-01-03 12:00:00,0.8896,0.8424,0,0,0,0,0,0
1982-01-03 13:00:00,0.8918,0.83,0,0,0,0,0,0
1982-01-03 14:00:00,0.8951,0.8708,0,0,0,0,0,0
1982-01-03 15:00:00,0.8973,0.8868,0,0,0,0,0,0
1982-01-03 16:00:00,0.8979,0.8998,0,0,0,0,0,0
1982-01-03 17:00:00,0.8979,0.8997,0,0,0,0,0,0
1982-01-03 18:00:00,0.8978,0.8995,0,0,0,0,0,0
1982-01-03 19:00:00,0.897,0.8992,0,0,0,0,0,0
1982-01-03 20:00:00,0.8963,0.8898,0,0,0,0,0,0
1982-01-03 21:00:00,0.8943,0.8681,0,0,0,0,0,0
1982-01-03 22:00:00,0.8954,0.8779,0,0,0,0,0,0
1982-01-03 23:00:00,0.8957,0.8875,0,0,0,0,0,0
1982-01-04 00:00:00,0.8905,0.8943,0,0,0,0,0,0
1982-01-04 01:00:00,0.8733,0.8722,0,0,0,0,0,0
1982-01-04 02:00:00,0.8583,0.8573,0,0,0,0,0,0
1982-01-04 03:00:00,0.7719,0.7624,0,0,0,0,0,0
1982-01-04 04:00:00,0.5398,0.4889,0,0,0,0,0,0
1982-01-04 05:00:00,0.293,0.2586,0,0,0,0,0,0
1982-01-04 06:00:00,0.1094,0.1038,0,0,0,0,0,0
1982-01-04 07:00:00,0.0289,0.028,0,0,0,0,0,0
1982-01-04 08:00:00,0.0119,0.0017,0,0,0,0,0,0
1982-01-04 09:00:00,0.0141,0.0109,0,0,0,0,0,0
