time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1985-01-01 00:00:00,6.3406,6.3406,0,0,0,0,0,0
1985-01-01 01:00:00,7.3825,7.3825,0,0,0,0,0,0
1985-01-01 02:00:00,8.353,8.353,0,0,0,0,0,0
1985-01-01 03:00:00,8.9986,8.9986,0,0,0,0,0,0
1985-01-01 04:00:00,9.2703,9.2703,0,0,0,0,0,0
1985-01-01 05:00:00,8.8727,8.8727,0,0,0,0,0,0
1985-01-01 06:00:00,8.0359,8.0359,0,0,0,0,0,0
1985-01-01 07:00:00,7.4493,7.4493,0,0,0,0,0,0
1985-01-01 08:00:00,7.6723,7.6723,0,0,0,0,0,0
1985-01-01 09:00:00,8.088,8.088,0,0,0,0,0,0
1985-01-01 10:00:00,8.8115,8.8115,0,0,0,0,0,0
1985-01-01 11:00:00,8.2397,8.2397,0,0,0,0,0,0
1985-01-01 12:00:00,8.4389,8.4389,0,0,0,0,0,0
1985-01-01 13:00:00,8.6562,8.6562,0,0,0,0,0,0
1985-01-01 14:00:00,8.6866,8.6866,0,0,0,0,0,0
1985-01-01 15:00:00,9.1799,9.1799,0,0,0,0,0,0
1985-01-01 16:00:00,9.7853,9.7853,0,0,0,0,0,0
1985-01-01 17:00:00,10.523,10.523,0,0,0,0,0,0
1985-01-01 18:00:00,11.11,11.11,0,0,0,0,0,0
1985-01-01 19:00:00,11.5474,11.5474,0,0,0,0,0,0
1985-01-01 20:00:00,12.0628,12.0628,0,0,0,0,0,0
1985-01-01 21:00:00,12.7159,12.7159,0,0,0,0,0,0
1985-01-01 22:00:00,12.0489,12.0489,0,0,0,0,0,0
1985-01-01 23:00:00,11.4374,11.4374,0,0,0,0,0,0
1985-01-02 00:00:00,10.9305,10.9305,0,0,0,0,0,0
1985-01-02 01:00:00,10.5391,10.5391,0,0,0,0,0,0
1985-01-02 02:00:00,10.3284,10.3284,0,0,0,0,0,0
1985-01-02 03:00:00,10.064,10.064,0,0,0,0,0,0
1985-01-02 04:00:00,9.9867,9.9867,0,0,0,0,0,0
1985-01-02 05:00:00,10.1863,10.1863,0,0,0,0,0,0
1985-01-02 06:00:00,10.4676,10.4676,0,0,0,0,0,0
1985-01-02 07:00:00,10.3772,10.3772,0,0,0,0,0,0
1985-01-02 08:00:00,9.8835,9.8835,0,0,0,0,0,0
1985-01-02 09:00:00,9.4051,9.4051,0,0,0,0,0,0
1985-01-02 10:00:00,9.2216,9.2216,0,0,0,0,0,0
1985-01-02 11:00:00,8.6819,8.6819,0,0,0,0,0,0
1985-01-02 12:00:00,8.5908,8.5908,0,0,0,0,0,0
1985-01-02 13:00:00,8.8577,8.8577,0,0,0,0,0,0
1985-01-02 14:00:00,8.9078,8.9078,0,0,0,0,0,0
1985-01-02 15:00:00,8.739,8.739,0,0,0,0,0,0
1985-01-02 16:00:00,8.4477,8.4477,0,0,0,0,0,0
