time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1988-01-01 00:00:00,0.0246,0.0001,0,0,0,0,0,0
1988-01-01 01:00:00,0.0288,0.0002,0,0,0,0,0,0
1988-01-01 02:00:00,0.0703,0.005,0,0,0,0,0,0
1988-01-01 03:00:00,0.0581,0.0039,0,0,0,0,0,0
1988-01-01 04:00:00,0.0629,0.0656,0,0,0,0,0,0
1988-01-01 05:00:00,0.1511,0.1681,0,0,0,0,0,0
1988-01-01 06:00:00,0.1987,0.2682,0,0,0,0,0,0
1988-01-01 07:00:00,0.1413,0.2513,0,0,0,0,0,0
1988-01-01 08:00:00,0.1065,0.09,0,0,0,0,0,0
1988-01-01 09:00:00,0.107,0.1189,0,0,0,0,0,0
1988-01-01 10:00:00,0.3055,0.3701,0,0,0,0,0,0
1988-01-01 11:00:00,0.4815,0.5738,0,0,0,0,0,0
1988-01-01 12:00:00,0.6065,0.8388,0,0,0,0,0,0
1988-01-01 13:00:00,0.6184,0.8287,0,0,0,0,0,0
1988-01-01 14:00:00,0.7178,0.8638,0,0,0,0,0,0
1988-01-01 15:00:00,0.7818,0.8786,0,0,0,0,0,0
1988-01-01 16:00:00,0.8165,0.7639,0,0,0,0,0,0
1988-01-01 17:00:00,0.8042,0.7406,0,0,0,0,0,0
1988-01-01 18:00:00,0.7648,0.614,0,0,0,0,0,0
1988-01-01 19:00:00,0.7257,0.5574,0,0,0,0,0,0
1988-01-01 20:00:00,0.7491,0.6531,0,0,0,0,0,0
1988-01-01 21:00:00,0.7695,0.6571,0,0,0,0,0,0
1988-01-01 22:00:00,0.6688,0.4928,0,0,0,0,0,0
1988-01-01 23:00:00,0.7147,0.5319,0,0,0,0,0,0
1988-01-02 00:00:00,0.7194,0.671,0,0,0,0,0,0
1988-01-02 01:00:00,0.6588,0.5594,0,0,0,0,0,0
1988-01-02 02:00:00,0.566,0.3668,0,0,0,0,0,0
1988-01-02 03:00:00,0.4149,0.2162,0,0,0,0,0,0
1988-01-02 04:00:00,0.349,0.2575,0,0,0,0,0,0
1988-01-02 05:00:00,0.3608,0.2637,0,0,0,0,0,0
1988-01-02 06:00:00,0.3641,0.2583,0,0,0,0,0,0
1988-01-02 07:00:00,0.3636,0.2873,0,0,0,0,0,0
1988-01-02 08:00:00,0.3366,0.2957,0,0,0,0,0,0
1988-01-02 09:00:00,0.2528,0.2229,0,0,0,0,0,0
1988-01-02 10:00:00,0.1649,0.1487,0,0,0,0,0,0
1988-01-02 11:00:00,0.1996,0.199,0,0,0,0,0,0
1988-01-02 12:00:00,0.317,0.3699,0,0,0,0,0,0
1988-01-02 13:00:00,0.4398,0.4574,0,0,0,0,0,0
1988-01-02 14:00:00,0.5327,0.5506,0,0,0,0,0,0
1988-01-02 15:00:00,0.5655,0.6438,0,0,0,0,0,0
1988-01-02 16:00:00,0.5133,0.7693,0,0,0,0,0,0
1988-01-02 17:00:00,0.418,0.6725,0,0,0,0,0,0
1988-01-02 18:00:00,0.2831,0.5336,0,0,0,0,0,0
1988-01-02 19:00:00,0.2295,0.4857,0,0,0,0,0,0
1988-01-02 20:00:00,0.2223,0.0411,0,0,0,0,0,0
1988-01-02 21:00:00,0.2156,0.0474,0,0,0,0,0,0
1988-01-02 22:00:00,0.2587,0.0575,0,0,0,0,0,0
1988-01-02 23:00:00,0.2244,0.0361,0,0,0,0,0,0
1988-01-03 00:00:00,0.224,0.1399,0,0,0,0,0,0
1988-01-03 01:00:00,0.254,0.1439,0,0,0,0,0,0
1988-01-03 02:00:00,0.2858,0.1591,0,0,0,0,0,0
1988-01-03 03:00:00,0.3674,0.213,0,0,0,0,0,0
1988-01-03 04:00:00,0.4468,0.523,0,0,0,0,0,0
1988-01-03 05:00:00,0.4809,0.5097,0,0,0,0,0,0
1988-01-03 06:00:00,0.4614,0.4753,0,0,0,0,0,0
1988-01-03 07:00:00,0.4655,0.4586,0,0,0,0,0,0
1988-01-03 08:00:00,0.5285,0.2747,0,0,0,0,0,0
1988-01-03 09:00:00,0.5585,0.2756,0,0,0,0,0,0
1988-01-03 10:00:00,0.5987,0.2698,0,0,0,0,0,0
1988-01-03 11:00:00,0.5373,0.2473,0,0,0,0,0,0
1988-01-03 12:00:00,0.5189,0.2901,0,0,0,0,0,0
1988-01-03 13:00:00,0.5894,0.3503,0,0,0,0,0,0
1988-01-03 14:00:00,0.5846,0.3576,0,0,0,0,0,0
1988-01-03 15:00:00,0.5398,0.3814,0,0,0,0,0,0
1988-01-03 16:00:00,0.5088,0.5787,0,0,0,0,0,0
1988-01-03 17:00:00,0.5087,0.6139,0,0,0,0,0,0
1988-01-03 18:00:00,0.5148,0.6201,0,0,0,0,0,0
1988-01-03 19:00:00,0.4809,0.5539,0,0,0,0,0,0
1988-01-03 20:00:00,0.458,0.566,0,0,0,0,0,0
1988-01-03 21:00:00,0.6253,0.7831,0,0,0,0,0,0
1988-01-03 22:00:00,0.5583,0.786,0,0,0,0,0,0
1988-01-03 23:00:00,0.61,0.7947,0,0,0,0,0,0
1988-01-04 00:00:00,0.7679,0.6886,0,0,0,0,0,0
1988-01-04 01:00:00,0.8614,0.82,0,0,0,0,0,0
1988-01-04 02:00:00,0.8996,0.899,0,0,0,0,0,0
1988-01-04 03:00:00,0.8992,0.8984,0,0,0,0,0,0
1988-01-04 04:00:00,0.8983,0.8981,0,0,0,0,0,0
1988-01-04 05:00:00,0.8981,0.8974,0,0,0,0,0,0
1988-01-04 06:00:00,0.8319,0.8243,0,0,0,0,0,0
1988-01-04 07:00:00,0.7165,0.6951,0,0,0,0,0,0
1988-01-04 08:00:00,0.7639,0.7669,0,0,0,0,0,0
1988-01-04 09:00:00,0.8736,0.8692,0,0,0,0,0,0
1988-01-04 10:00:00,0.8778,0.8428,0,0,0,0,0,0
1988-01-04 11:00:00,0.8954,0.8841,0,0,0,0,0,0
1988-01-04 12:00:00,0.8987,0.8987,0,0,0,0,0,0
1988-01-04 13:00:00,0.8996,0.8996,0,0,0,0,0,0
1988-01-04 14:00:00,0.8995,0.899,0,0,0,0,0,0
1988-01-04 15:00:00,0.8995,0.8987,0,0,0,0,0,0
1988-01-04 16:00:00,0.8992,0.8992,0,0,0,0,0,0
1988-01-04 17:00:00,0.8987,0.8989,0,0,0,0,0,0
1988-01-04 18:00:00,0.8948,0.8971,0,0,0,0,0,0
1988-01-04 19:00:00,0.867,0.8778,0,0,0,0,0,0
1988-01-04 20:00:00,0.8252,0.8573,0,0,0,0,0,0
