time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1990-01-01 00:00:00,3.3379,3.3379,0,0,0,0,0,0
1990-01-01 01:00:00,2.8209,2.8209,0,0,0,0,0,0
1990-01-01 02:00:00,2.2608,2.2608,0,0,0,0,0,0
1990-01-01 03:00:00,1.8795,1.8795,0,0,0,0,0,0
1990-01-01 04:00:00,1.7544,1.7544,0,0,0,0,0,0
1990-01-01 05:00:00,1.7773,1.7773,0,0,0,0,0,0
1990-01-01 06:00:00,1.6755,1.6755,0,0,0,0,0,0
1990-01-01 07:00:00,1.4103,1.4103,0,0,0,0,0,0
1990-01-01 08:00:00,1.1306,1.1306,0,0,0,0,0,0
1990-01-01 09:00:00,1.1142,1.1142,0,0,0,0,0,0
1990-01-01 10:00:00,1.8679,1.8679,0,0,0,0,0,0
1990-01-01 11:00:00,2.0178,2.0178,0,0,0,0,0,0
1990-01-01 12:00:00,2.1767,2.1767,0,0,0,0,0,0
1990-01-01 13:00:00,2.1676,2.1676,0,0,0,0,0,0
1990-01-01 14:00:00,2.1471,2.1471,0,0,0,0,0,0
1990-01-01 15:00:00,1.8996,1.8996,0,0,0,0,0,0
1990-01-01 16:00:00,1.2794,1.2794,0,0,0,0,0,0
1990-01-01 17:00:00,0.4276,0.4276,0,0,0,0,0,0
1990-01-01 18:00:00,0.6908,0.6908,0,0,0,0,0,0
1990-01-01 19:00:00,1.4657,1.4657,0,0,0,0,0,0
1990-01-01 20:00:00,1.9442,1.9442,0,0,0,0,0,0
1990-01-01 21:00:00,2.3769,2.3769,0,0,0,0,0,0
1990-01-01 22:00:00,3.2896,3.2896,0,0,0,0,0,0
1990-01-01 23:00:00,3.3298,3.3298,0,0,0,0,0,0
1990-01-02 00:00:00,3.4591,3.4591,0,0,0,0,0,0
1990-01-02 01:00:00,4.0371,4.0371,0,0,0,0,0,0
1990-01-02 02:00:00,4.4831,4.4831,0,0,0,0,0,0
1990-01-02 03:00:00,4.8116,4.8116,0,0,0,0,0,0
1990-01-02 04:00:00,5.1862,5.1862,0,0,0,0,0,0
1990-01-02 05:00:00,5.6444,5.6444,0,0,0,0,0,0
1990-01-02 06:00:00,5.9111,5.9111,0,0,0,0,0,0
1990-01-02 07:00:00,5.8906,5.8906,0,0,0,0,0,0
1990-01-02 08:00:00,6.0435,6.0435,0,0,0,0,0,0
1990-01-02 09:00:00,6.3412,6.3412,0,0,0,0,0,0
1990-01-02 10:00:00,6.9022,6.9022,0,0,0,0,0,0
1990-01-02 11:00:00,6.9782,6.9782,0,0,0,0,0,0
1990-01-02 12:00:00,6.8065,6.8065,0,0,0,0,0,0
1990-01-02 13:00:00,6.6118,6.6118,0,0,0,0,0,0
1990-01-02 14:00:00,6.4252,6.4252,0,0,0,0,0,0
1990-01-02 15:00:00,6.1865,6.1865,0,0,0,0,0,0
1990-01-02 16:00:00,6.109,6.109,0,0,0,0,0,0
1990-01-02 17:00:00,5.9099,5.9099,0,0,0,0,0,0
1990-01-02 18:00:00,5.3627,5.3627,0,0,0,0,0,0
1990-01-02 19:00:00,5.9226,5.9226,0,0,0,0,0,0
1990-01-02 20:00:00,7.2861,7.2861,0,0,0,0,0,0
1990-01-02 21:00:00,7.1604,7.1604,0,0,0,0,0,0
1990-01-02 22:00:00,5.9432,5.9432,0,0,0,0,0,0
1990-01-02 23:00:00,4.0056,4.0056,0,0,0,0,0,0
1990-01-03 00:00:00,2.9676,2.9676,0,0,0,0,0,0
1990-01-03 01:00:00,3.0756,3.0756,0,0,0,0,0,0
1990-01-03 02:00:00,3.7381,3.7381,0,0,0,0,0,0
1990-01-03 03:00:00,4.1908,4.1908,0,0,0,0,0,0
1990-01-03 04:00:00,4.7786,4.7786,0,0,0,0,0,0
1990-01-03 05:00:00,5.6472,5.6472,0,0,0,0,0,0
1990-01-03 06:00:00,6.4373,6.4373,0,0,0,0,0,0
1990-01-03 07:00:00,7.4988,7.4988,0,0,0,0,0,0
1990-01-03 08:00:00,8.1639,8.1639,0,0,0,0,0,0
1990-01-03 09:00:00,9.0738,9.0738,0,0,0,0,0,0
1990-01-03 10:00:00,10.0425,10.0425,0,0,0,0,0,0
1990-01-03 11:00:00,10.5362,10.5362,0,0,0,0,0,0
1990-01-03 12:00:00,10.6982,10.6982,0,0,0,0,0,0
1990-01-03 13:00:00,10.7583,10.7583,0,0,0,0,0,0
1990-01-03 14:00:00,10.7188,10.7188,0,0,0,0,0,0
1990-01-03 15:00:00,10.7334,10.7334,0,0,0,0,0,0
1990-01-03 16:00:00,10.7285,10.7285,0,0,0,0,0,0
1990-01-03 17:00:00,10.7116,10.7116,0,0,0,0,0,0
1990-01-03 18:00:00,10.8257,10.8257,0,0,0,0,0,0
1990-01-03 19:00:00,10.9596,10.9596,0,0,0,0,0,0
1990-01-03 20:00:00,10.8584,10.8584,0,0,0,0,0,0
1990-01-03 21:00:00,10.5776,10.5776,0,0,0,0,0,0
1990-01-03 22:00:00,10.596,10.596,0,0,0,0,0,0
1990-01-03 23:00:00,10.0871,10.0871,0,0,0,0,0,0
1990-01-04 00:00:00,9.6944,9.6944,0,0,0,0,0,0
1990-01-04 01:00:00,9.5081,9.5081,0,0,0,0,0,0
1990-01-04 02:00:00,9.2039,9.2039,0,0,0,0,0,0
1990-01-04 03:00:00,9.0362,9.0362,0,0,0,0,0,0
1990-01-04 04:00:00,8.945,8.945,0,0,0,0,0,0
1990-01-04 05:00:00,8.6447,8.6447,0,0,0,0,0,0
1990-01-04 06:00:00,8.3397,8.3397,0,0,0,0,0,0
1990-01-04 07:00:00,7.8003,7.8003,0,0,0,0,0,0
1990-01-04 08:00:00,7.1957,7.1957,0,0,0,0,0,0
1990-01-04 09:00:00,6.7911,6.7911,0,0,0,0,0,0
1990-01-04 10:00:00,6.4755,6.4755,0,0,0,0,0,0
1990-01-04 11:00:00,6.3723,6.3723,0,0,0,0,0,0
1990-01-04 12:00:00,5.9113,5.9113,0,0,0,0,0,0
1990-01-04 13:00:00,5.5815,5.5815,0,0,0,0,0,0
1990-01-04 14:00:00,4.8521,4.8521,0,0,0,0,0,0
1990-01-04 15:00:00,3.9302,3.9302,0,0,0,0,0,0
1990-01-04 16:00:00,3.2408,3.2408,0,0,0,0,0,0
1990-01-04 17:00:00,2.6013,2.6013,0,0,0,0,0,0
1990-01-04 18:00:00,2.076,2.076,0,0,0,0,0,0
1990-01-04 19:00:00,1.8085,1.8085,0,0,0,0,0,0
1990-01-04 20:00:00,1.7082,1.7082,0,0,0,0,0,0
1990-01-04 21:00:00,1.6413,1.6413,0,0,0,0,0,0
1990-01-04 22:00:00,2.0611,2.0611,0,0,0,0,0,0
1990-01-04 23:00:00,2.1213,2.1213,0,0,0,0,0,0
1990-01-05 00:00:00,2.2386,2.2386,0,0,0,0,0,0
1990-01-05 01:00:00,2.2069,2.2069,0,0,0,0,0,0
1990-01-05 02:00:00,2.4345,2.4345,0,0,0,0,0,0
1990-01-05 03:00:00,2.7319,2.7319,0,0,0,0,0,0
1990-01-05 04:00:00,2.8137,2.8137,0,0,0,0,0,0
1990-01-05 05:00:00,2.7049,2.7049,0,0,0,0,0,0
1990-01-05 06:00:00,2.5951,2.5951,0,0,0,0,0,0
1990-01-05 07:00:00,2.3571,2.3571,0,0,0,0,0,0
1990-01-05 08:00:00,2.438,2.438,0,0,0,0,0,0
1990-01-05 09:00:00,2.8789,2.8789,0,0,0,0,0,0
1990-01-05 10:00:00,3.1534,3.1534,0,0,0,0,0,0
1990-01-05 11:00:00,3.3409,3.3409,0,0,0,0,0,0
1990-01-05 12:00:00,3.2865,3.2865,0,0,0,0,0,0
1990-01-05 13:00:00,2.9755,2.9755,0,0,0,0,0,0
1990-01-05 14:00:00,2.0281,2.0281,0,0,0,0,0,0
1990-01-05 15:00:00,1.4138,1.4138,0,0,0,0,0,0
1990-01-05 16:00:00,1.6251,1.6251,0,0,0,0,0,0
1990-01-05 17:00:00,2.0924,2.0924,0,0,0,0,0,0
1990-01-05 18:00:00,2.5644,2.5644,0,0,0,0,0,0
1990-01-05 19:00:00,2.6265,2.6265,0,0,0,0,0,0
1990-01-05 20:00:00,2.4745,2.4745,0,0,0,0,0,0
1990-01-05 21:00:00,2.443,2.443,0,0,0,0,0,0
1990-01-05 22:00:00,2.997,2.997,0,0,0,0,0,0
1990-01-05 23:00:00,2.7092,2.7092,0,0,0,0,0,0
1990-01-06 00:00:00,2.4275,2.4275,0,0,0,0,0,0
1990-01-06 01:00:00,2.4359,2.4359,0,0,0,0,0,0
1990-01-06 02:00:00,2.5241,2.5241,0,0,0,0,0,0
1990-01-06 03:00:00,2.4563,2.4563,0,0,0,0,0,0
1990-01-06 04:00:00,2.3551,2.3551,0,0,0,0,0,0
1990-01-06 05:00:00,1.7794,1.7794,0,0,0,0,0,0
1990-01-06 06:00:00,1.4028,1.4028,0,0,0,0,0,0
1990-01-06 07:00:00,1.1754,1.1754,0,0,0,0,0,0
1990-01-06 08:00:00,1.2449,1.2449,0,0,0,0,0,0
1990-01-06 09:00:00,1.6018,1.6018,0,0,0,0,0,0
1990-01-06 10:00:00,3.0876,3.0876,0,0,0,0,0,0
1990-01-06 11:00:00,3.2409,3.2409,0,0,0,0,0,0
1990-01-06 12:00:00,2.7625,2.7625,0,0,0,0,0,0
1990-01-06 13:00:00,2.251,2.251,0,0,0,0,0,0
1990-01-06 14:00:00,1.9735,1.9735,0,0,0,0,0,0
1990-01-06 15:00:00,2.157,2.157,0,0,0,0,0,0
1990-01-06 16:00:00,2.3655,2.3655,0,0,0,0,0,0
1990-01-06 17:00:00,2.6963,2.6963,0,0,0,0,0,0
1990-01-06 18:00:00,3.4511,3.4511,0,0,0,0,0,0
1990-01-06 19:00:00,4.4252,4.4252,0,0,0,0,0,0
1990-01-06 20:00:00,5.4544,5.4544,0,0,0,0,0,0
1990-01-06 21:00:00,6.3013,6.3013,0,0,0,0,0,0
1990-01-06 22:00:00,7.2485,7.2485,0,0,0,0,0,0
1990-01-06 23:00:00,8.4356,8.4356,0,0,0,0,0,0
1990-01-07 00:00:00,9.5683,9.5683,0,0,0,0,0,0
1990-01-07 01:00:00,10.1473,10.1473,0,0,0,0,0,0
1990-01-07 02:00:00,10.5504,10.5504,0,0,0,0,0,0
1990-01-07 03:00:00,10.9769,10.9769,0,0,0,0,0,0
1990-01-07 04:00:00,11.8448,11.8448,0,0,0,0,0,0
1990-01-07 05:00:00,12.9395,12.9395,0,0,0,0,0,0
1990-01-07 06:00:00,13.5959,13.5959,0,0,0,0,0,0
1990-01-07 07:00:00,13.524,13.524,0,0,0,0,0,0
1990-01-07 08:00:00,13.1579,13.1579,0,0,0,0,0,0
1990-01-07 09:00:00,12.7178,12.7178,0,0,0,0,0,0
1990-01-07 10:00:00,12.5438,12.5438,0,0,0,0,0,0
1990-01-07 11:00:00,11.8274,11.8274,0,0,0,0,0,0
1990-01-07 12:00:00,11.1768,11.1768,0,0,0,0,0,0
1990-01-07 13:00:00,10.3871,10.3871,0,0,0,0,0,0
1990-01-07 14:00:00,9.6964,9.6964,0,0,0,0,0,0
1990-01-07 15:00:00,9.2227,9.2227,0,0,0,0,0,0
1990-01-07 16:00:00,8.8065,8.8065,0,0,0,0,0,0
1990-01-07 17:00:00,8.4588,8.4588,0,0,0,0,0,0
1990-01-07 18:00:00,7.9216,7.9216,0,0,0,0,0,0
1990-01-07 19:00:00,7.6494,7.6494,0,0,0,0,0,0
1990-01-07 20:00:00,7.3013,7.3013,0,0,0,0,0,0
1990-01-07 21:00:00,6.8458,6.8458,0,0,0,0,0,0
1990-01-07 22:00:00,6.1312,6.1312,0,0,0,0,0,0
1990-01-07 23:00:00,5.5322,5.5322,0,0,0,0,0,0
1990-01-08 00:00:00,5.1047,5.1047,0,0,0,0,0,0
1990-01-08 01:00:00,4.8784,4.8784,0,0,0,0,0,0
1990-01-08 02:00:00,4.9653,4.9653,0,0,0,0,0,0
1990-01-08 03:00:00,4.5011,4.5011,0,0,0,0,0,0
1990-01-08 04:00:00,3.8121,3.8121,0,0,0,0,0,0
1990-01-08 05:00:00,3.5251,3.5251,0,0,0,0,0,0
1990-01-08 06:00:00,3.6473,3.6473,0,0,0,0,0,0
1990-01-08 07:00:00,3.9027,3.9027,0,0,0,0,0,0
1990-01-08 08:00:00,4.1227,4.1227,0,0,0,0,0,0
1990-01-08 09:00:00,4.2111,4.2111,0,0,0,0,0,0
1990-01-08 10:00:00,4.7566,4.7566,0,0,0,0,0,0
1990-01-08 11:00:00,4.7716,4.7716,0,0,0,0,0,0
1990-01-08 12:00:00,4.7584,4.7584,0,0,0,0,0,0
1990-01-08 13:00:00,4.1203,4.1203,0,0,0,0,0,0
1990-01-08 14:00:00,3.2065,3.2065,0,0,0,0,0,0
1990-01-08 15:00:00,2.3018,2.3018,0,0,0,0,0,0
1990-01-08 16:00:00,2.0204,2.0204,0,0,0,0,0,0
1990-01-08 17:00:00,2.1147,2.1147,0,0,0,0,0,0
1990-01-08 18:00:00,2.0827,2.0827,0,0,0,0,0,0
1990-01-08 19:00:00,1.9533,1.9533,0,0,0,0,0,0
1990-01-08 20:00:00,1.9293,1.9293,0,0,0,0,0,0
1990-01-08 21:00:00,1.988,1.988,0,0,0,0,0,0
1990-01-08 22:00:00,2.5716,2.5716,0,0,0,0,0,0
1990-01-08 23:00:00,2.4488,2.4488,0,0,0,0,0,0
1990-01-09 00:00:00,2.4406,2.4406,0,0,0,0,0,0
1990-01-09 01:00:00,2.8872,2.8872,0,0,0,0,0,0
1990-01-09 02:00:00,3.7438,3.7438,0,0,0,0,0,0
1990-01-09 03:00:00,4.49,4.49,0,0,0,0,0,0
1990-01-09 04:00:00,5.1608,5.1608,0,0,0,0,0,0
1990-01-09 05:00:00,5.8139,5.8139,0,0,0,0,0,0
1990-01-09 06:00:00,6.156,6.156,0,0,0,0,0,0
1990-01-09 07:00:00,6.3867,6.3867,0,0,0,0,0,0
1990-01-09 08:00:00,6.7685,6.7685,0,0,0,0,0,0
1990-01-09 09:00:00,7.1171,7.1171,0,0,0,0,0,0
1990-01-09 10:00:00,7.8877,7.8877,0,0,0,0,0,0
1990-01-09 11:00:00,8.0149,8.0149,0,0,0,0,0,0
1990-01-09 12:00:00,7.1275,7.1275,0,0,0,0,0,0
1990-01-09 13:00:00,6.0401,6.0401,0,0,0,0,0,0
1990-01-09 14:00:00,5.5309,5.5309,0,0,0,0,0,0
1990-01-09 15:00:00,5.6293,5.6293,0,0,0,0,0,0
1990-01-09 16:00:00,6.0153,6.0153,0,0,0,0,0,0
1990-01-09 17:00:00,6.1783,6.1783,0,0,0,0,0,0
1990-01-09 18:00:00,6.6984,6.6984,0,0,0,0,0,0
1990-01-09 19:00:00,7.279,7.279,0,0,0,0,0,0
1990-01-09 20:00:00,7.8956,7.8956,0,0,0,0,0,0
1990-01-09 21:00:00,8.4835,8.4835,0,0,0,0,0,0
1990-01-09 22:00:00,9.6022,9.6022,0,0,0,0,0,0
1990-01-09 23:00:00,9.4638,9.4638,0,0,0,0,0,0
1990-01-10 00:00:00,10.0198,10.0198,0,0,0,0,0,0
1990-01-10 01:00:00,10.8449,10.8449,0,0,0,0,0,0
1990-01-10 02:00:00,10.8291,10.8291,0,0,0,0,0,0
1990-01-10 03:00:00,10.3895,10.3895,0,0,0,0,0,0
1990-01-10 04:00:00,10.0176,10.0176,0,0,0,0,0,0
1990-01-10 05:00:00,9.6174,9.6174,0,0,0,0,0,0
1990-01-10 06:00:00,8.9187,8.9187,0,0,0,0,0,0
1990-01-10 07:00:00,8.7477,8.7477,0,0,0,0,0,0
1990-01-10 08:00:00,8.7618,8.7618,0,0,0,0,0,0
1990-01-10 09:00:00,8.9881,8.9881,0,0,0,0,0,0
1990-01-10 10:00:00,9.5966,9.5966,0,0,0,0,0,0
1990-01-10 11:00:00,9.2123,9.2123,0,0,0,0,0,0
