time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1994-01-01 00:00:00,4.5156,4.5156,0,0,0,0,0,0
1994-01-01 01:00:00,4.2699,4.2699,0,0,0,0,0,0
1994-01-01 02:00:00,4.0228,4.0228,0,0,0,0,0,0
1994-01-01 03:00:00,4.0392,4.0392,0,0,0,0,0,0
1994-01-01 04:00:00,5.3511,5.3511,0,0,0,0,0,0
1994-01-01 05:00:00,7.5398,7.5398,0,0,0,0,0,0
1994-01-01 06:00:00,10.229,10.229,0,0,0,0,0,0
1994-01-01 07:00:00,12.2844,12.2844,0,0,0,0,0,0
1994-01-01 08:00:00,12.905,12.905,0,0,0,0,0,0
1994-01-01 09:00:00,12.8089,12.8089,0,0,0,0,0,0
1994-01-01 10:00:00,11.9661,11.9661,0,0,0,0,0,0
1994-01-01 11:00:00,11.8507,11.8507,0,0,0,0,0,0
1994-01-01 12:00:00,11.7449,11.7449,0,0,0,0,0,0
1994-01-01 13:00:00,11.5178,11.5178,0,0,0,0,0,0
1994-01-01 14:00:00,10.8601,10.8601,0,0,0,0,0,0
1994-01-01 15:00:00,10.1603,10.1603,0,0,0,0,0,0
1994-01-01 16:00:00,9.832,9.832,0,0,0,0,0,0
1994-01-01 17:00:00,9.5555,9.5555,0,0,0,0,0,0
1994-01-01 18:00:00,8.8208,8.8208,0,0,0,0,0,0
1994-01-01 19:00:00,7.9313,7.9313,0,0,0,0,0,0
1994-01-01 20:00:00,7.4443,7.4443,0,0,0,0,0,0
1994-01-01 21:00:00,7.4466,7.4466,0,0,0,0,0,0
1994-01-01 22:00:00,7.5125,7.5125,0,0,0,0,0,0
1994-01-01 23:00:00,7.3054,7.3054,0,0,0,0,0,0
1994-01-02 00:00:00,7.1744,7.1744,0,0,0,0,0,0
1994-01-02 01:00:00,6.5512,6.5512,0,0,0,0,0,0
1994-01-02 02:00:00,4.8328,4.8328,0,0,0,0,0,0
1994-01-02 03:00:00,3.3325,3.3325,0,0,0,0,0,0
1994-01-02 04:00:00,5.1001,5.1001,0,0,0,0,0,0
1994-01-02 05:00:00,7.5636,7.5636,0,0,0,0,0,0
1994-01-02 06:00:00,8.5911,8.5911,0,0,0,0,0,0
1994-01-02 07:00:00,9.2117,9.2117,0,0,0,0,0,0
1994-01-02 08:00:00,9.6808,9.6808,0,0,0,0,0,0
1994-01-02 09:00:00,10.5869,10.5869,0,0,0,0,0,0
1994-01-02 10:00:00,11.6056,11.6056,0,0,0,0,0,0
1994-01-02 11:00:00,11.6711,11.6711,0,0,0,0,0,0
1994-01-02 12:00:00,11.5024,11.5024,0,0,0,0,0,0
1994-01-02 13:00:00,11.1573,11.1573,0,0,0,0,0,0
1994-01-02 14:00:00,11.1752,11.1752,0,0,0,0,0,0
1994-01-02 15:00:00,11.2828,11.2828,0,0,0,0,0,0
1994-01-02 16:00:00,11.2489,11.2489,0,0,0,0,0,0
1994-01-02 17:00:00,11.1083,11.1083,0,0,0,0,0,0
1994-01-02 18:00:00,10.7771,10.7771,0,0,0,0,0,0
1994-01-02 19:00:00,10.3189,10.3189,0,0,0,0,0,0
1994-01-02 20:00:00,9.942,9.942,0,0,0,0,0,0
1994-01-02 21:00:00,9.6071,9.6071,0,0,0,0,0,0
1994-01-02 22:00:00,9.0018,9.0018,0,0,0,0,0,0
1994-01-02 23:00:00,8.5579,8.5579,0,0,0,0,0,0
1994-01-03 00:00:00,8.0147,8.0147,0,0,0,0,0,0
1994-01-03 01:00:00,7.7083,7.7083,0,0,0,0,0,0
1994-01-03 02:00:00,7.6316,7.6316,0,0,0,0,0,0
1994-01-03 03:00:00,7.7378,7.7378,0,0,0,0,0,0
1994-01-03 04:00:00,7.5873,7.5873,0,0,0,0,0,0
1994-01-03 05:00:00,7.7876,7.7876,0,0,0,0,0,0
1994-01-03 06:00:00,8.0796,8.0796,0,0,0,0,0,0
1994-01-03 07:00:00,8.7405,8.7405,0,0,0,0,0,0
1994-01-03 08:00:00,9.6102,9.6102,0,0,0,0,0,0
1994-01-03 09:00:00,10.1811,10.1811,0,0,0,0,0,0
1994-01-03 10:00:00,10.0491,10.0491,0,0,0,0,0,0
1994-01-03 11:00:00,10.1858,10.1858,0,0,0,0,0,0
1994-01-03 12:00:00,10.2548,10.2548,0,0,0,0,0,0
1994-01-03 13:00:00,10.4104,10.4104,0,0,0,0,0,0
1994-01-03 14:00:00,10.8041,10.8041,0,0,0,0,0,0
1994-01-03 15:00:00,11.0397,11.0397,0,0,0,0,0,0
1994-01-03 16:00:00,11.8655,11.8655,0,0,0,0,0,0
1994-01-03 17:00:00,12.9056,12.9056,0,0,0,0,0,0
1994-01-03 18:00:00,13.6085,13.6085,0,0,0,0,0,0
1994-01-03 19:00:00,13.792,13.792,0,0,0,0,0,0
1994-01-03 20:00:00,14.4527,14.4527,0,0,0,0,0,0
1994-01-03 21:00:00,15.2879,15.2879,0,0,0,0,0,0
1994-01-03 22:00:00,16.075,16.075,0,0,0,0,0,0
1994-01-03 23:00:00,16.621,16.621,0,0,0,0,0,0
1994-01-04 00:00:00,18.3875,18.3875,0,0,0,0,0,0
1994-01-04 01:00:00,19.4843,19.4843,0,0,0,0,0,0
1994-01-04 02:00:00,19.5784,19.5784,0,0,0,0,0,0
1994-01-04 03:00:00,19.4476,19.4476,0,0,0,0,0,0
1994-01-04 04:00:00,18.1756,18.1756,0,0,0,0,0,0
1994-01-04 05:00:00,15.1681,15.1681,0,0,0,0,0,0
1994-01-04 06:00:00,14.0219,14.0219,0,0,0,0,0,0
1994-01-04 07:00:00,17.173,17.173,0,0,0,0,0,0
1994-01-04 08:00:00,18.3545,18.3545,0,0,0,0,0,0
1994-01-04 09:00:00,18.9237,18.9237,0,0,0,0,0,0
