time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1995-01-01 00:00:00,9.3047,9.3047,0,0,0,0,0,0
1995-01-01 01:00:00,9.1367,9.1367,0,0,0,0,0,0
1995-01-01 02:00:00,9.1696,9.1696,0,0,0,0,0,0
1995-01-01 03:00:00,8.9919,8.9919,0,0,0,0,0,0
1995-01-01 04:00:00,8.4019,8.4019,0,0,0,0,0,0
1995-01-01 05:00:00,7.5139,7.5139,0,0,0,0,0,0
1995-01-01 06:00:00,6.3783,6.3783,0,0,0,0,0,0
1995-01-01 07:00:00,6.3298,6.3298,0,0,0,0,0,0
1995-01-01 08:00:00,7.0123,7.0123,0,0,0,0,0,0
1995-01-01 09:00:00,7.5906,7.5906,0,0,0,0,0,0
1995-01-01 10:00:00,8.3538,8.3538,0,0,0,0,0,0
1995-01-01 11:00:00,8.4789,8.4789,0,0,0,0,0,0
1995-01-01 12:00:00,8.5173,8.5173,0,0,0,0,0,0
1995-01-01 13:00:00,8.6456,8.6456,0,0,0,0,0,0
1995-01-01 14:00:00,8.6972,8.6972,0,0,0,0,0,0
1995-01-01 15:00:00,8.5893,8.5893,0,0,0,0,0,0
1995-01-01 16:00:00,8.0931,8.0931,0,0,0,0,0,0
1995-01-01 17:00:00,7.6655,7.6655,0,0,0,0,0,0
1995-01-01 18:00:00,7.4101,7.4101,0,0,0,0,0,0
1995-01-01 19:00:00,7.663,7.663,0,0,0,0,0,0
1995-01-01 20:00:00,8.1255,8.1255,0,0,0,0,0,0
1995-01-01 21:00:00,8.8064,8.8064,0,0,0,0,0,0
1995-01-01 22:00:00,10.5776,10.5776,0,0,0,0,0,0
1995-01-01 23:00:00,10.6723,10.6723,0,0,0,0,0,0
1995-01-02 00:00:00,10.2825,10.2825,0,0,0,0,0,0
1995-01-02 01:00:00,11.0638,11.0638,0,0,0,0,0,0
1995-01-02 02:00:00,12.0724,12.0724,0,0,0,0,0,0
1995-01-02 03:00:00,11.9904,11.9904,0,0,0,0,0,0
1995-01-02 04:00:00,13.668,13.668,0,0,0,0,0,0
1995-01-02 05:00:00,13.9688,13.9688,0,0,0,0,0,0
1995-01-02 06:00:00,14.6634,14.6634,0,0,0,0,0,0
1995-01-02 07:00:00,15.5815,15.5815,0,0,0,0,0,0
1995-01-02 08:00:00,15.7083,15.7083,0,0,0,0,0,0
1995-01-02 09:00:00,15.7587,15.7587,0,0,0,0,0,0
1995-01-02 10:00:00,15.0359,15.0359,0,0,0,0,0,0
1995-01-02 11:00:00,14.5215,14.5215,0,0,0,0,0,0
1995-01-02 12:00:00,14.3652,14.3652,0,0,0,0,0,0
1995-01-02 13:00:00,14.0246,14.0246,0,0,0,0,0,0
1995-01-02 14:00:00,13.5758,13.5758,0,0,0,0,0,0
1995-01-02 15:00:00,13.1234,13.1234,0,0,0,0,0,0
1995-01-02 16:00:00,12.4117,12.4117,0,0,0,0,0,0
1995-01-02 17:00:00,11.7481,11.7481,0,0,0,0,0,0
1995-01-02 18:00:00,11.5775,11.5775,0,0,0,0,0,0
1995-01-02 19:00:00,11.8605,11.8605,0,0,0,0,0,0
1995-01-02 20:00:00,11.8067,11.8067,0,0,0,0,0,0
1995-01-02 21:00:00,11.4328,11.4328,0,0,0,0,0,0
1995-01-02 22:00:00,10.0905,10.0905,0,0,0,0,0,0
1995-01-02 23:00:00,9.4517,9.4517,0,0,0,0,0,0
1995-01-03 00:00:00,9.2826,9.2826,0,0,0,0,0,0
1995-01-03 01:00:00,10.08,10.08,0,0,0,0,0,0
1995-01-03 02:00:00,12.0903,12.0903,0,0,0,0,0,0
1995-01-03 03:00:00,12.238,12.238,0,0,0,0,0,0
1995-01-03 04:00:00,11.5884,11.5884,0,0,0,0,0,0
1995-01-03 05:00:00,12.339,12.339,0,0,0,0,0,0
1995-01-03 06:00:00,12.4496,12.4496,0,0,0,0,0,0
1995-01-03 07:00:00,13.787,13.787,0,0,0,0,0,0
1995-01-03 08:00:00,14.9938,14.9938,0,0,0,0,0,0
1995-01-03 09:00:00,13.5208,13.5208,0,0,0,0,0,0
1995-01-03 10:00:00,14.2605,14.2605,0,0,0,0,0,0
1995-01-03 11:00:00,15.3691,15.3691,0,0,0,0,0,0
1995-01-03 12:00:00,16.1761,16.1761,0,0,0,0,0,0
1995-01-03 13:00:00,15.4664,15.4664,0,0,0,0,0,0
1995-01-03 14:00:00,16.1441,16.1441,0,0,0,0,0,0
1995-01-03 15:00:00,17.2836,17.2836,0,0,0,0,0,0
1995-01-03 16:00:00,17.0481,17.0481,0,0,0,0,0,0
1995-01-03 17:00:00,16.0362,16.0362,0,0,0,0,0,0
1995-01-03 18:00:00,15.8306,15.8306,0,0,0,0,0,0
1995-01-03 19:00:00,15.7945,15.7945,0,0,0,0,0,0
1995-01-03 20:00:00,15.5341,15.5341,0,0,0,0,0,0
1995-01-03 21:00:00,15.715,15.715,0,0,0,0,0,0
1995-01-03 22:00:00,16.7983,16.7983,0,0,0,0,0,0
1995-01-03 23:00:00,17.0695,17.0695,0,0,0,0,0,0
1995-01-04 00:00:00,17.3231,17.3231,0,0,0,0,0,0
1995-01-04 01:00:00,17.0455,17.0455,0,0,0,0,0,0
1995-01-04 02:00:00,16.24,16.24,0,0,0,0,0,0
1995-01-04 03:00:00,16.0398,16.0398,0,0,0,0,0,0
1995-01-04 04:00:00,16.4454,16.4454,0,0,0,0,0,0
1995-01-04 05:00:00,16.6468,16.6468,0,0,0,0,0,0
1995-01-04 06:00:00,16.7316,16.7316,0,0,0,0,0,0
1995-01-04 07:00:00,16.3631,16.3631,0,0,0,0,0,0
1995-01-04 08:00:00,15.9252,15.9252,0,0,0,0,0,0
1995-01-04 09:00:00,15.5005,15.5005,0,0,0,0,0,0
