time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1998-01-01 00:00:00,6.8852,6.8852,0,0,0,0,0,0
1998-01-01 01:00:00,6.9877,6.9877,0,0,0,0,0,0
1998-01-01 02:00:00,7.6675,7.6675,0,0,0,0,0,0
1998-01-01 03:00:00,8.5618,8.5618,0,0,0,0,0,0
1998-01-01 04:00:00,9.3498,9.3498,0,0,0,0,0,0
1998-01-01 05:00:00,9.88,9.88,0,0,0,0,0,0
1998-01-01 06:00:00,10.6436,10.6436,0,0,0,0,0,0
1998-01-01 07:00:00,11.5089,11.5089,0,0,0,0,0,0
1998-01-01 08:00:00,12.0517,12.0517,0,0,0,0,0,0
1998-01-01 09:00:00,12.4351,12.4351,0,0,0,0,0,0
1998-01-01 10:00:00,12.1721,12.1721,0,0,0,0,0,0
1998-01-01 11:00:00,12.8445,12.8445,0,0,0,0,0,0
1998-01-01 12:00:00,14.3482,14.3482,0,0,0,0,0,0
1998-01-01 13:00:00,14.6706,14.6706,0,0,0,0,0,0
1998-01-01 14:00:00,14.6755,14.6755,0,0,0,0,0,0
1998-01-01 15:00:00,14.6584,14.6584,0,0,0,0,0,0
1998-01-01 16:00:00,14.7089,14.7089,0,0,0,0,0,0
1998-01-01 17:00:00,15.6402,15.6402,0,0,0,0,0,0
1998-01-01 18:00:00,16.8809,16.8809,0,0,0,0,0,0
1998-01-01 19:00:00,17.8254,17.8254,0,0,0,0,0,0
1998-01-01 20:00:00,18.7622,18.7622,0,0,0,0,0,0
1998-01-01 21:00:00,19.1654,19.1654,0,0,0,0,0,0
1998-01-01 22:00:00,20.3579,20.3579,0,0,0,0,0,0
1998-01-01 23:00:00,22.3572,22.3572,0,0,0,0,0,0
1998-01-02 00:00:00,23.3322,23.3322,0,0,0,0,0,0
1998-01-02 01:00:00,21.8787,21.8787,0,0,0,0,0,0
1998-01-02 02:00:00,21.0,21.0,0,0,0,0,0,0
1998-01-02 03:00:00,17.9484,17.9484,0,0,0,0,0,0
1998-01-02 04:00:00,16.234,16.234,0,0,0,0,0,0
1998-01-02 05:00:00,16.1786,16.1786,0,0,0,0,0,0
1998-01-02 06:00:00,16.7451,16.7451,0,0,0,0,0,0
1998-01-02 07:00:00,16.7085,16.7085,0,0,0,0,0,0
1998-01-02 08:00:00,15.9882,15.9882,0,0,0,0,0,0
1998-01-02 09:00:00,15.3787,15.3787,0,0,0,0,0,0
1998-01-02 10:00:00,14.6852,14.6852,0,0,0,0,0,0
1998-01-02 11:00:00,14.8001,14.8001,0,0,0,0,0,0
1998-01-02 12:00:00,15.0272,15.0272,0,0,0,0,0,0
1998-01-02 13:00:00,15.4808,15.4808,0,0,0,0,0,0
1998-01-02 14:00:00,16.035,16.035,0,0,0,0,0,0
1998-01-02 15:00:00,14.754,14.754,0,0,0,0,0,0
1998-01-02 16:00:00,12.9365,12.9365,0,0,0,0,0,0
1998-01-02 17:00:00,11.8792,11.8792,0,0,0,0,0,0
1998-01-02 18:00:00,10.5565,10.5565,0,0,0,0,0,0
1998-01-02 19:00:00,9.9685,9.9685,0,0,0,0,0,0
1998-01-02 20:00:00,15.7928,15.7928,0,0,0,0,0,0
1998-01-02 21:00:00,18.4636,18.4636,0,0,0,0,0,0
1998-01-02 22:00:00,16.8851,16.8851,0,0,0,0,0,0
1998-01-02 23:00:00,15.3583,15.3583,0,0,0,0,0,0
1998-01-03 00:00:00,14.2345,14.2345,0,0,0,0,0,0
1998-01-03 01:00:00,14.4563,14.4563,0,0,0,0,0,0
1998-01-03 02:00:00,14.9335,14.9335,0,0,0,0,0,0
1998-01-03 03:00:00,13.6813,13.6813,0,0,0,0,0,0
1998-01-03 04:00:00,14.292,14.292,0,0,0,0,0,0
1998-01-03 05:00:00,15.2557,15.2557,0,0,0,0,0,0
1998-01-03 06:00:00,17.501,17.501,0,0,0,0,0,0
1998-01-03 07:00:00,18.7475,18.7475,0,0,0,0,0,0
1998-01-03 08:00:00,20.0866,20.0866,0,0,0,0,0,0
1998-01-03 09:00:00,21.3628,21.3628,0,0,0,0,0,0
1998-01-03 10:00:00,23.5245,23.5245,0,0,0,0,0,0
1998-01-03 11:00:00,24.0386,24.0386,0,0,0,0,0,0
1998-01-03 12:00:00,23.4407,23.4407,0,0,0,0,0,0
1998-01-03 13:00:00,22.0929,22.0929,0,0,0,0,0,0
1998-01-03 14:00:00,20.5803,20.5803,0,0,0,0,0,0
1998-01-03 15:00:00,23.623,23.623,0,0,0,0,0,0
1998-01-03 16:00:00,24.0041,24.0041,0,0,0,0,0,0
1998-01-03 17:00:00,22.7772,22.7772,0,0,0,0,0,0
1998-01-03 18:00:00,22.1075,22.1075,0,0,0,0,0,0
