time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
2002-01-01 00:00:00,0.3076,0.7565,0,0,0,0,0,0
2002-01-01 01:00:00,0.2239,0.6773,0,0,0,0,0,0
2002-01-01 02:00:00,0.1782,0.5985,0,0,0,0,0,0
2002-01-01 03:00:00,0.1778,0.5068,0,0,0,0,0,0
2002-01-01 04:00:00,0.1933,0.2812,0,0,0,0,0,0
2002-01-01 05:00:00,0.2146,0.369,0,0,0,0,0,0
2002-01-01 06:00:00,0.2604,0.521,0,0,0,0,0,0
2002-01-01 07:00:00,0.3145,0.6251,0,0,0,0,0,0
2002-01-01 08:00:00,0.3967,0.6936,0,0,0,0,0,0
2002-01-01 09:00:00,0.4821,0.7335,0,0,0,0,0,0
2002-01-01 10:00:00,0.5932,0.8301,0,0,0,0,0,0
2002-01-01 11:00:00,0.5578,0.8187,0,0,0,0,0,0
2002-01-01 12:00:00,0.4974,0.8235,0,0,0,0,0,0
2002-01-01 13:00:00,0.4798,0.7954,0,0,0,0,0,0
2002-01-01 14:00:00,0.4898,0.7533,0,0,0,0,0,0
2002-01-01 15:00:00,0.4736,0.6377,0,0,0,0,0,0
2002-01-01 16:00:00,0.4605,0.2594,0,0,0,0,0,0
2002-01-01 17:00:00,0.5041,0.3273,0,0,0,0,0,0
2002-01-01 18:00:00,0.5508,0.4008,0,0,0,0,0,0
2002-01-01 19:00:00,0.5742,0.4343,0,0,0,0,0,0
2002-01-01 20:00:00,0.5774,0.2911,0,0,0,0,0,0
2002-01-01 21:00:00,0.6133,0.2863,0,0,0,0,0,0
2002-01-01 22:00:00,0.6515,0.3209,0,0,0,0,0,0
2002-01-01 23:00:00,0.5632,0.2695,0,0,0,0,0,0
2002-01-02 00:00:00,0.5253,0.3282,0,0,0,0,0,0
2002-01-02 01:00:00,0.4948,0.2966,0,0,0,0,0,0
2002-01-02 02:00:00,0.4259,0.2714,0,0,0,0,0,0
2002-01-02 03:00:00,0.3376,0.2597,0,0,0,0,0,0
2002-01-02 04:00:00,0.2412,0.3605,0,0,0,0,0,0
2002-01-02 05:00:00,0.1602,0.2642,0,0,0,0,0,0
2002-01-02 06:00:00,0.1146,0.2114,0,0,0,0,0,0
2002-01-02 07:00:00,0.0591,0.1132,0,0,0,0,0,0
2002-01-02 08:00:00,0.0186,0.0017,0,0,0,0,0,0
2002-01-02 09:00:00,0.0095,0.0003,0,0,0,0,0,0
2002-01-02 10:00:00,0.0103,0.0007,0,0,0,0,0,0
2002-01-02 11:00:00,0.0101,0.0005,0,0,0,0,0,0
2002-01-02 12:00:00,0.0043,0.0093,0,0,0,0,0,0
2002-01-02 13:00:00,0.0007,0.001,0,0,0,0,0,0
2002-01-02 14:00:00,0.0042,0.0037,0,0,0,0,0,0
2002-01-02 15:00:00,0.0122,0.011,0,0,0,0,0,0
2002-01-02 16:00:00,0.0357,0.0756,0,0,0,0,0,0
2002-01-02 17:00:00,0.0704,0.1374,0,0,0,0,0,0
2002-01-02 18:00:00,0.1122,0.2056,0,0,0,0,0,0
2002-01-02 19:00:00,0.1343,0.2216,0,0,0,0,0,0
2002-01-02 20:00:00,0.1407,0.055,0,0,0,0,0,0
2002-01-02 21:00:00,0.1526,0.0786,0,0,0,0,0,0
2002-01-02 22:00:00,0.1087,0.0519,0,0,0,0,0,0
2002-01-02 23:00:00,0.1281,0.0709,0,0,0,0,0,0
2002-01-03 00:00:00,0.2191,0.1323,0,0,0,0,0,0
2002-01-03 01:00:00,0.3791,0.2908,0,0,0,0,0,0
2002-01-03 02:00:00,0.5231,0.4631,0,0,0,0,0,0
2002-01-03 03:00:00,0.5973,0.6362,0,0,0,0,0,0
2002-01-03 04:00:00,0.658,0.7179,0,0,0,0,0,0
2002-01-03 05:00:00,0.6972,0.7625,0,0,0,0,0,0
2002-01-03 06:00:00,0.7212,0.7437,0,0,0,0,0,0
2002-01-03 07:00:00,0.7663,0.7725,0,0,0,0,0,0
2002-01-03 08:00:00,0.7981,0.7227,0,0,0,0,0,0
2002-01-03 09:00:00,0.8195,0.7291,0,0,0,0,0,0
2002-01-03 10:00:00,0.7791,0.6145,0,0,0,0,0,0
2002-01-03 11:00:00,0.7614,0.5774,0,0,0,0,0,0
2002-01-03 12:00:00,0.7106,0.7941,0,0,0,0,0,0
2002-01-03 13:00:00,0.6964,0.8332,0,0,0,0,0,0
2002-01-03 14:00:00,0.7527,0.8376,0,0,0,0,0,0
2002-01-03 15:00:00,0.8323,0.8691,0,0,0,0,0,0
2002-01-03 16:00:00,0.8555,0.4452,0,0,0,0,0,0
2002-01-03 17:00:00,0.8673,0.4974,0,0,0,0,0,0
2002-01-03 18:00:00,0.8705,0.5619,0,0,0,0,0,0
2002-01-03 19:00:00,0.8562,0.5215,0,0,0,0,0,0
2002-01-03 20:00:00,0.8375,0.7322,0,0,0,0,0,0
2002-01-03 21:00:00,0.831,0.7004,0,0,0,0,0,0
2002-01-03 22:00:00,0.7898,0.6057,0,0,0,0,0,0
2002-01-03 23:00:00,0.7996,0.7016,0,0,0,0,0,0
2002-01-04 00:00:00,0.788,0.8191,0,0,0,0,0,0
2002-01-04 01:00:00,0.7351,0.7393,0,0,0,0,0,0
2002-01-04 02:00:00,0.7301,0.7403,0,0,0,0,0,0
2002-01-04 03:00:00,0.7596,0.753,0,0,0,0,0,0
2002-01-04 04:00:00,0.7518,0.5192,0,0,0,0,0,0
2002-01-04 05:00:00,0.6912,0.4185,0,0,0,0,0,0
2002-01-04 06:00:00,0.6794,0.4102,0,0,0,0,0,0
2002-01-04 07:00:00,0.6831,0.4642,0,0,0,0,0,0
2002-01-04 08:00:00,0.6534,0.8068,0,0,0,0,0,0
2002-01-04 09:00:00,0.642,0.7899,0,0,0,0,0,0
2002-01-04 10:00:00,0.532,0.7161,0,0,0,0,0,0
2002-01-04 11:00:00,0.5344,0.7185,0,0,0,0,0,0
2002-01-04 12:00:00,0.5077,0.7777,0,0,0,0,0,0
2002-01-04 13:00:00,0.4621,0.7366,0,0,0,0,0,0
2002-01-04 14:00:00,0.4387,0.7409,0,0,0,0,0,0
2002-01-04 15:00:00,0.4548,0.7797,0,0,0,0,0,0
2002-01-04 16:00:00,0.4669,0.5057,0,0,0,0,0,0
2002-01-04 17:00:00,0.439,0.4599,0,0,0,0,0,0
2002-01-04 18:00:00,0.4059,0.3749,0,0,0,0,0,0
2002-01-04 19:00:00,0.4036,0.3953,0,0,0,0,0,0
2002-01-04 20:00:00,0.3712,0.7223,0,0,0,0,0,0
2002-01-04 21:00:00,0.3437,0.7125,0,0,0,0,0,0
2002-01-04 22:00:00,0.2467,0.5573,0,0,0,0,0,0
2002-01-04 23:00:00,0.2332,0.4866,0,0,0,0,0,0
2002-01-05 00:00:00,0.2247,0.2541,0,0,0,0,0,0
2002-01-05 01:00:00,0.2265,0.233,0,0,0,0,0,0
2002-01-05 02:00:00,0.2367,0.2381,0,0,0,0,0,0
2002-01-05 03:00:00,0.2518,0.2396,0,0,0,0,0,0
2002-01-05 04:00:00,0.2516,0.3106,0,0,0,0,0,0
2002-01-05 05:00:00,0.2424,0.3624,0,0,0,0,0,0
2002-01-05 06:00:00,0.2391,0.3602,0,0,0,0,0,0
2002-01-05 07:00:00,0.2782,0.4021,0,0,0,0,0,0
2002-01-05 08:00:00,0.3052,0.4781,0,0,0,0,0,0
2002-01-05 09:00:00,0.3243,0.4871,0,0,0,0,0,0
2002-01-05 10:00:00,0.2044,0.3538,0,0,0,0,0,0
2002-01-05 11:00:00,0.2104,0.396,0,0,0,0,0,0
2002-01-05 12:00:00,0.2218,0.1088,0,0,0,0,0,0
2002-01-05 13:00:00,0.2483,0.1298,0,0,0,0,0,0
2002-01-05 14:00:00,0.2567,0.121,0,0,0,0,0,0
2002-01-05 15:00:00,0.2797,0.1513,0,0,0,0,0,0
2002-01-05 16:00:00,0.289,0.6684,0,0,0,0,0,0
2002-01-05 17:00:00,0.3248,0.6809,0,0,0,0,0,0
2002-01-05 18:00:00,0.3953,0.7157,0,0,0,0,0,0
2002-01-05 19:00:00,0.4436,0.6859,0,0,0,0,0,0
2002-01-05 20:00:00,0.4496,0.221,0,0,0,0,0,0
2002-01-05 21:00:00,0.4164,0.2783,0,0,0,0,0,0
2002-01-05 22:00:00,0.42,0.312,0,0,0,0,0,0
2002-01-05 23:00:00,0.4022,0.2483,0,0,0,0,0,0
2002-01-06 00:00:00,0.404,0.5813,0,0,0,0,0,0
2002-01-06 01:00:00,0.4158,0.6293,0,0,0,0,0,0
2002-01-06 02:00:00,0.414,0.6612,0,0,0,0,0,0
2002-01-06 03:00:00,0.382,0.6287,0,0,0,0,0,0
2002-01-06 04:00:00,0.3723,0.2401,0,0,0,0,0,0
2002-01-06 05:00:00,0.3596,0.2131,0,0,0,0,0,0
2002-01-06 06:00:00,0.1682,0.0743,0,0,0,0,0,0
2002-01-06 07:00:00,0.1082,0.0218,0,0,0,0,0,0
2002-01-06 08:00:00,0.0795,0.3121,0,0,0,0,0,0
