time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
2012-01-01 00:00:00,0.8911,0.8608,0,0,0,0,0,0
2012-01-01 01:00:00,0.8824,0.8312,0,0,0,0,0,0
2012-01-01 02:00:00,0.879,0.7566,0,0,0,0,0,0
2012-01-01 03:00:00,0.8846,0.7458,0,0,0,0,0,0
2012-01-01 04:00:00,0.8851,0.8975,0,0,0,0,0,0
2012-01-01 05:00:00,0.8851,0.8981,0,0,0,0,0,0
2012-01-01 06:00:00,0.8876,0.8969,0,0,0,0,0,0
2012-01-01 07:00:00,0.888,0.8956,0,0,0,0,0,0
2012-01-01 08:00:00,0.8802,0.8695,0,0,0,0,0,0
2012-01-01 09:00:00,0.8815,0.8561,0,0,0,0,0,0
2012-01-01 10:00:00,0.8891,0.8709,0,0,0,0,0,0
2012-01-01 11:00:00,0.8953,0.8849,0,0,0,0,0,0
2012-01-01 12:00:00,0.8979,0.856,0,0,0,0,0,0
2012-01-01 13:00:00,0.8978,0.8616,0,0,0,0,0,0
2012-01-01 14:00:00,0.8978,0.8487,0,0,0,0,0,0
2012-01-01 15:00:00,0.8977,0.8452,0,0,0,0,0,0
2012-01-01 16:00:00,0.8972,0.8915,0,0,0,0,0,0
2012-01-01 17:00:00,0.8973,0.8951,0,0,0,0,0,0
2012-01-01 18:00:00,0.8972,0.897,0,0,0,0,0,0
2012-01-01 19:00:00,0.8984,0.8982,0,0,0,0,0,0
2012-01-01 20:00:00,0.8997,0.8999,0,0,0,0,0,0
2012-01-01 21:00:00,0.8999,0.9,0,0,0,0,0,0
2012-01-01 22:00:00,0.8992,0.8999,0,0,0,0,0,0
2012-01-01 23:00:00,0.8975,0.8997,0,0,0,0,0,0
2012-01-02 00:00:00,0.8963,0.8833,0,0,0,0,0,0
2012-01-02 01:00:00,0.8938,0.8631,0,0,0,0,0,0
2012-01-02 02:00:00,0.8908,0.859,0,0,0,0,0,0
2012-01-02 03:00:00,0.8828,0.8402,0,0,0,0,0,0
2012-01-02 04:00:00,0.8913,0.8984,0,0,0,0,0,0
2012-01-02 05:00:00,0.8945,0.8993,0,0,0,0,0,0
2012-01-02 06:00:00,0.8971,0.8996,0,0,0,0,0,0
2012-01-02 07:00:00,0.8971,0.8995,0,0,0,0,0,0
2012-01-02 08:00:00,0.8916,0.8898,0,0,0,0,0,0
2012-01-02 09:00:00,0.8819,0.8734,0,0,0,0,0,0
2012-01-02 10:00:00,0.8973,0.8947,0,0,0,0,0,0
2012-01-02 11:00:00,0.8975,0.8908,0,0,0,0,0,0
2012-01-02 12:00:00,0.8976,0.8868,0,0,0,0,0,0
2012-01-02 13:00:00,0.8978,0.8887,0,0,0,0,0,0
2012-01-02 14:00:00,0.8953,0.8763,0,0,0,0,0,0
2012-01-02 15:00:00,0.8953,0.876,0,0,0,0,0,0
2012-01-02 16:00:00,0.895,0.8974,0,0,0,0,0,0
2012-01-02 17:00:00,0.8941,0.8957,0,0,0,0,0,0
2012-01-02 18:00:00,0.8825,0.8901,0,0,0,0,0,0
2012-01-02 19:00:00,0.873,0.8936,0,0,0,0,0,0
2012-01-02 20:00:00,0.7969,0.8349,0,0,0,0,0,0
2012-01-02 21:00:00,0.7302,0.7765,0,0,0,0,0,0
2012-01-02 22:00:00,0.6561,0.6692,0,0,0,0,0,0
2012-01-02 23:00:00,0.7254,0.7016,0,0,0,0,0,0
2012-01-03 00:00:00,0.8666,0.786,0,0,0,0,0,0
2012-01-03 01:00:00,0.8756,0.7862,0,0,0,0,0,0
2012-01-03 02:00:00,0.89,0.8527,0,0,0,0,0,0
2012-01-03 03:00:00,0.893,0.8726,0,0,0,0,0,0
2012-01-03 04:00:00,0.8975,0.8984,0,0,0,0,0,0
2012-01-03 05:00:00,0.8988,0.8992,0,0,0,0,0,0
2012-01-03 06:00:00,0.8992,0.8995,0,0,0,0,0,0
2012-01-03 07:00:00,0.8994,0.8996,0,0,0,0,0,0
2012-01-03 08:00:00,0.8998,0.8999,0,0,0,0,0,0
2012-01-03 09:00:00,0.8999,0.8999,0,0,0,0,0,0
2012-01-03 10:00:00,0.8999,0.8999,0,0,0,0,0,0
2012-01-03 11:00:00,0.9,0.9,0,0,0,0,0,0
2012-01-03 12:00:00,0.9,0.9,0,0,0,0,0,0
2012-01-03 13:00:00,0.9,0.9,0,0,0,0,0,0
2012-01-03 14:00:00,0.9,0.8999,0,0,0,0,0,0
2012-01-03 15:00:00,0.9,0.8999,0,0,0,0,0,0
2012-01-03 16:00:00,0.9,0.8999,0,0,0,0,0,0
2012-01-03 17:00:00,0.9,0.8999,0,0,0,0,0,0
2012-01-03 18:00:00,0.9,0.8999,0,0,0,0,0,0
2012-01-03 19:00:00,0.9,0.9,0,0,0,0,0,0
2012-01-03 20:00:00,0.9,0.9,0,0,0,0,0,0
2012-01-03 21:00:00,0.9,0.9,0,0,0,0,0,0
2012-01-03 22:00:00,0.9,0.9,0,0,0,0,0,0
2012-01-03 23:00:00,0.9,0.9,0,0,0,0,0,0
2012-01-04 00:00:00,0.8963,0.8979,0,0,0,0,0,0
2012-01-04 01:00:00,0.7878,0.822,0,0,0,0,0,0
2012-01-04 02:00:00,0.8708,0.8847,0,0,0,0,0,0
2012-01-04 03:00:00,0.8626,0.8761,0,0,0,0,0,0
2012-01-04 04:00:00,0.8704,0.8464,0,0,0,0,0,0
2012-01-04 05:00:00,0.8879,0.8808,0,0,0,0,0,0
2012-01-04 06:00:00,0.8757,0.8593,0,0,0,0,0,0
2012-01-04 07:00:00,0.7843,0.6944,0,0,0,0,0,0
2012-01-04 08:00:00,0.6749,0.8537,0,0,0,0,0,0
2012-01-04 09:00:00,0.4822,0.7194,0,0,0,0,0,0
2012-01-04 10:00:00,0.3779,0.5656,0,0,0,0,0,0
2012-01-04 11:00:00,0.4396,0.5924,0,0,0,0,0,0
2012-01-04 12:00:00,0.5219,0.3915,0,0,0,0,0,0
2012-01-04 13:00:00,0.5837,0.4874,0,0,0,0,0,0
2012-01-04 14:00:00,0.5341,0.5212,0,0,0,0,0,0
2012-01-04 15:00:00,0.6787,0.6363,0,0,0,0,0,0
2012-01-04 16:00:00,0.6484,0.4493,0,0,0,0,0,0
2012-01-04 17:00:00,0.7166,0.4829,0,0,0,0,0,0
2012-01-04 18:00:00,0.8487,0.6928,0,0,0,0,0,0
2012-01-04 19:00:00,0.8857,0.8267,0,0,0,0,0,0
2012-01-04 20:00:00,0.895,0.8836,0,0,0,0,0,0
2012-01-04 21:00:00,0.8978,0.892,0,0,0,0,0,0
2012-01-04 22:00:00,0.8996,0.8984,0,0,0,0,0,0
2012-01-04 23:00:00,0.8998,0.8988,0,0,0,0,0,0
2012-01-05 00:00:00,0.8998,0.8999,0,0,0,0,0,0
2012-01-05 01:00:00,0.8998,0.8998,0,0,0,0,0,0
2012-01-05 02:00:00,0.8999,0.8998,0,0,0,0,0,0
