SM,dis_SM,cha_SM,w_SM,RT,Ref,dis_RT,cha_RT
500.0,0.0,0.0,6902.626499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6796.7955,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6780.3615,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7089.291,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7400.2995,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7693.092000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7749.620999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7766.2035,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8043.304499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8213.535,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8361.144,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8404.3575,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8456.481,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8181.7065,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7857.036,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8140.374,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8170.123499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8258.0355,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8422.227,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8664.2325,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9029.988,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9148.787999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8652.699,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9399.8025,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3746.16,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3707.748,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3573.504,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3537.6659999999997,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3518.2619999999997,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3513.6585,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3399.9075,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3253.2885,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3179.2859999999996,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3039.4979999999996,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2899.3635000000004,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2786.2065000000002,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2531.7765,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2298.3345,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1877.733,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1496.781,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1189.6335000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,984.753,500.0,500.0,0.0,0.0
500.0,0.0,0.0,767.8439999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,727.749,500.0,500.0,0.0,0.0
500.0,0.0,0.0,840.411,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1033.164,500.0,500.0,0.0,0.0
500.0,0.0,0.0,882.8820000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,866.646,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3509.8965,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2719.4805,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1826.3024999999998,500.0,500.0,0.0,0.0
500.0,0.0,0.0,970.3979999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1259.9235,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1754.3294999999998,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2576.8215,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3644.982,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4406.2425,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4520.834999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4887.432,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6028.9515,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6703.3395,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6774.075,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6860.4525,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6974.2035,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7311.991499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7391.686500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7483.41,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7697.9925,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7519.644,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7296.893999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6885.4005,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6860.1555,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4736.3085,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5022.9135,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5222.448,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5433.565500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5863.1759999999995,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6405.052500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6729.9705,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6694.379999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6513.1605,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6295.311000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6209.181,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5854.563,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5532.516,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5141.6145,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4799.718,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4565.2365,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4359.2175,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4187.106,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3921.192,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3786.453,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3614.1435,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3388.671,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3034.944,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2738.439,500.0,500.0,0.0,0.0
0,10782.287999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5534.8425,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6037.0695,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6203.191500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6543.504000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6755.76,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7059.789,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6956.284500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6975.1935,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7163.838,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7364.4615,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7561.7685,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7773.876,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7592.5575,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7266.798000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7066.818,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6935.494500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6627.753,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6249.6225,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5755.761,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4836.545999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4747.990500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5007.8655,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4924.755,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4419.5085,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4766.7015,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4825.6065,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4906.4400000000005,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4838.6745,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4561.8705,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4112.856,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3804.471,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3313.035,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2811.699,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2287.8405000000002,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1919.709,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1368.576,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1385.307,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1750.716,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2304.5715,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2796.75,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3340.1115,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4302.7875,500.0,500.0,0.0,0.0
500.0,0.0,0.0,5414.112,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6253.6815,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6741.2565,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6999.893999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7140.4245,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7311.249000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1558.557,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1638.351,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1820.7585000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,1928.8665,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2159.2889999999998,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2500.3935,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2807.0955,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2876.6924999999997,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2717.451,500.0,500.0,0.0,0.0
500.0,0.0,0.0,2677.8015,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3113.7974999999997,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3113.055,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3180.87,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3343.4280000000003,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3679.2360000000003,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3979.3545,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4254.03,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4250.0205000000005,500.0,500.0,0.0,0.0
500.0,0.0,0.0,4067.5634999999997,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3896.541,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3726.855,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3565.2374999999997,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3635.478,500.0,500.0,0.0,0.0
500.0,0.0,0.0,3663.3464999999997,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8138.592000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8132.849999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8139.185999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7733.4345,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7248.1365,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7048.206,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6747.345,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6420.3975,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6493.0635,500.0,500.0,0.0,0.0
500.0,0.0,0.0,6766.402499999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7141.3155,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7269.5205000000005,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7643.7405,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8072.262000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8126.415000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8124.038999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7988.409000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,7880.152499999999,500.0,500.0,0.0,0.0
